,region,birth,death_children,marriage,divorce,year,month
5,Российская Федерация,155082,971,64092,52737,2016,11
6,Центральный федеральный округ,37427,210,16157,14105,2016,11
7,Белгородская область,1463,8,551,602,2016,11
8,Брянская область,1023,11,496,551,2016,11
9,Владимирская область,1250,8,504,486,2016,11
10,Воронежская область,2125,4,910,908,2016,11
11,Ивановская область,876,2,417,348,2016,11
12,Калужская область,1022,4,413,374,2016,11
13,Костромская область,620,5,268,210,2016,11
14,Курская область,1014,7,428,466,2016,11
15,Липецкая область,1096,8,488,443,2016,11
16,Московская область,8002,37,3587,2983,2016,11
17,Орловская область,688,5,262,278,2016,11
18,Рязанская область,1044,6,489,483,2016,11
19,Смоленская область,825,4,380,368,2016,11
20,Тамбовская область,844,1,384,346,2016,11
21,Тверская область,1118,13,534,453,2016,11
22,Тульская область,1260,15,589,530,2016,11
23,Ярославская область,1244,6,461,423,2016,11
24,г.Москва,11913,66,4996,3853,2016,11
25,Северо-Западный федеральный округ,13826,64,6776,5473,2016,11
26,Республика Карелия,541,3,293,228,2016,11
27,Республика Коми,867,3,363,341,2016,11
28,Архангельская область,1140,6,480,448,2016,11
29,Hенецкий авт.округ,82,0,17,21,2016,11
30,Архангельская область без автономии,1058,6,463,427,2016,11
31,Вологодская область,1145,8,384,360,2016,11
32,Калининградская область,1022,2,441,441,2016,11
33,Ленинградская область,1343,7,634,676,2016,11
34,Мурманская область,708,3,418,364,2016,11
35,Новгородская область,583,4,343,250,2016,11
36,Псковская область,635,1,254,232,2016,11
37,г.Санкт-Петербург,5842,27,3166,2133,2016,11
38,Южный федеральный округ,17452,95,7677,6183,2016,11
39,Республика Адыгея,496,2,178,141,2016,11
40,Республика Калмыкия,287,3,78,79,2016,11
41,Республика Крым,2002,6,1013,574,2016,11
42,Краснодарский край,6236,33,2884,2160,2016,11
43,Астраханская область,1267,10,481,363,2016,11
44,Волгоградская область,2419,8,996,969,2016,11
45,Ростовская область,4258,31,1782,1704,2016,11
47,Северо-Кавказский федеральный округ,13858,138,4474,1993,2016,11
48,Республика Дагестан,4850,55,1541,381,2016,11
49,Республика Ингушетия,729,8,157,36,2016,11
50,Кабардино-Балкарская Республика,964,6,377,223,2016,11
51,Карачаево-Черкесская Республика,494,7,202,127,2016,11
52,Республика Северная Осетия- Алания,858,8,317,160,2016,11
53,Чеченская Республика,2774,19,692,123,2016,11
54,Ставропольский край,3189,35,1188,943,2016,11
55,Приволжский федеральный округ,30245,176,11426,10022,2016,11
56,Республика Башкортостан,4528,29,1481,1335,2016,11
57,Республика Марий Эл,745,6,252,206,2016,11
58,Республика Мордовия,658,0,312,243,2016,11
59,Республика Татарстан(Татарстан),4402,25,1521,1123,2016,11
60,Удмуртская Республика,1663,14,532,441,2016,11
61,Чувашская Республика(Чувашия),1131,2,421,331,2016,11
62,Пермский край,2882,18,1238,985,2016,11
63,Кировская область,1261,2,475,478,2016,11
64,Hижегородская область,3115,21,1405,1139,2016,11
65,Оренбургская область,2095,18,834,767,2016,11
66,Пензенская область,1083,5,476,502,2016,11
67,Самарская область,3295,21,1206,1239,2016,11
68,Саратовская область,2305,9,851,856,2016,11
69,Ульяновская область,1082,6,422,377,2016,11
70,Уральский федеральный округ,14141,88,5747,5013,2016,11
71,Курганская область,847,9,349,325,2016,11
72,Свердловская область,4696,31,1932,1678,2016,11
73,Тюменская область,4726,19,2001,1625,2016,11
74,Ханты-Мансийский авт.округ-Югра,2077,9,956,775,2016,11
75,Ямало-Hенецкий авт.округ,699,3,345,289,2016,11
76,Тюменская область без автономии,1950,7,700,561,2016,11
77,Челябинская область,3872,29,1465,1385,2016,11
78,Сибирский федеральный округ,21118,161,8646,7250,2016,11
79,Республика Алтай,337,5,101,68,2016,11
80,Республика Бурятия,1254,9,417,296,2016,11
81,Республика Тыва,589,7,140,30,2016,11
82,Республика Хакасия,550,3,267,188,2016,11
83,Алтайский край,2454,22,910,819,2016,11
84,Забайкальский край,1224,11,517,366,2016,11
85,Красноярский край,3168,17,1365,1198,2016,11
86,Иркутская область,2885,24,1203,1002,2016,11
87,Кемеровская область,2605,25,1023,1072,2016,11
88,Новосибирская область,2904,17,1331,1068,2016,11
89,Омская область,2041,17,904,754,2016,11
90,Томская область,1107,4,468,389,2016,11
91,Дальневосточный федеральный округ,7015,39,3189,2698,2016,11
92,Республика Саха (Якутия),1315,7,436,350,2016,11
93,Камчатский край,328,2,250,184,2016,11
94,Приморский край,2039,9,987,815,2016,11
95,Хабаровский край,1560,7,614,608,2016,11
96,Амурская область,820,4,382,350,2016,11
97,Магаданская область,149,1,87,88,2016,11
98,Сахалинская область,567,5,315,236,2016,11
99,Еврейская автономная область,191,4,93,54,2016,11
100,Чукотский авт.округ,46,0,25,13,2016,11
