,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1242,12,535,505,2016,02
8,Брянская область,1122,10,437,470,2016,02
9,Владимирская область,1253,6,466,457,2016,02
10,Воронежская область,1904,13,789,631,2016,02
11,Ивановская область,832,10,335,306,2016,02
12,Калужская область,914,5,352,333,2016,02
13,Костромская область,666,5,253,242,2016,02
14,Курская область,943,6,414,352,2016,02
15,Липецкая область,1014,18,429,358,2016,02
16,Московская область,7259,45,3279,2435,2016,02
17,Орловская область,663,6,245,238,2016,02
18,Рязанская область,978,4,396,346,2016,02
19,Смоленская область,786,7,338,349,2016,02
20,Тамбовская область,831,3,338,316,2016,02
21,Тверская область,1143,5,498,424,2016,02
22,Тульская область,1202,9,470,459,2016,02
23,Ярославская область,1202,4,463,429,2016,02
24,г.Москва,11379,58,4944,2967,2016,02
26,Республика Карелия,588,4,249,241,2016,02
27,Республика Коми,884,7,369,342,2016,02
28,Архангельская область,1049,1,467,374,2016,02
29,Hенецкий авт.округ,60,0,13,17,2016,02
30,Архангельская область без автономии,989,1,454,357,2016,02
31,Вологодская область,1268,9,427,361,2016,02
32,Калининградская область,951,2,428,444,2016,02
33,Ленинградская область,1346,6,466,584,2016,02
34,Мурманская область,681,4,427,291,2016,02
35,Новгородская область,582,4,272,207,2016,02
36,Псковская область,526,6,209,218,2016,02
37,г.Санкт-Петербург,5543,28,2579,1813,2016,02
39,Республика Адыгея,438,0,122,121,2016,02
40,Республика Калмыкия,260,1,65,76,2016,02
41,Краснодарский край,5790,28,1854,1947,2016,02
42,Астраханская область,1098,3,326,300,2016,02
43,Волгоградская область,2192,13,820,768,2016,02
44,Ростовская область,3687,19,1300,1355,2016,02
46,Республика Дагестан,4349,44,1113,389,2016,02
47,Республика Ингушетия,730,6,151,43,2016,02
48,Кабардино-Балкарская Республика,1003,11,251,207,2016,02
49,Карачаево-Черкесская Республика,488,7,170,125,2016,02
50,Республика Северная Осетия- Алания,811,6,242,134,2016,02
51,Чеченская Республика,2859,25,687,98,2016,02
52,Ставропольский край,2737,25,893,819,2016,02
54,Республика Башкортостан,4354,25,1388,1155,2016,02
55,Республика Марий Эл,758,6,248,211,2016,02
56,Республика Мордовия,617,5,269,198,2016,02
57,Республика Татарстан(Татарстан),4279,34,1391,1093,2016,02
58,Удмуртская Республика,1826,12,490,399,2016,02
59,Чувашская Республика(Чувашия),1342,4,428,352,2016,02
60,Пермский край,3023,20,1168,872,2016,02
61,Кировская область,1336,8,486,468,2016,02
62,Hижегородская область,3082,16,1219,1016,2016,02
63,Оренбургская область,1956,11,719,639,2016,02
64,Пензенская область,1018,5,431,361,2016,02
65,Самарская область,3124,19,1051,1022,2016,02
66,Саратовская область,2152,12,818,744,2016,02
67,Ульяновская область,1064,9,447,361,2016,02
69,Курганская область,894,4,306,281,2016,02
70,Свердловская область,4946,29,1816,1664,2016,02
71,Тюменская область,4520,23,1710,1468,2016,02
72,Ханты-Мансийский авт.округ-Югра,1978,5,804,719,2016,02
73,Ямало-Hенецкий авт.округ,686,5,282,253,2016,02
74,Тюменская область без автономии,1856,13,624,496,2016,02
75,Челябинская область,3544,20,1320,1209,2016,02
77,Республика Алтай,303,2,65,88,2016,02
78,Республика Бурятия,1287,8,379,266,2016,02
79,Республика Тыва,614,8,105,43,2016,02
80,Республика Хакасия,624,11,193,186,2016,02
81,Алтайский край,2299,10,799,816,2016,02
82,Забайкальский край,1256,9,457,413,2016,02
83,Красноярский край,3186,16,1214,1058,2016,02
84,Иркутская область,2930,18,1035,908,2016,02
85,Кемеровская область,2496,25,971,908,2016,02
86,Новосибирская область,3020,14,1186,1036,2016,02
87,Омская область,2094,18,729,661,2016,02
88,Томская область,1285,12,421,382,2016,02
90,Республика Саха (Якутия),1160,15,424,355,2016,02
91,Камчатский край,299,4,164,147,2016,02
92,Приморский край,1838,13,796,670,2016,02
93,Хабаровский край,1429,7,580,556,2016,02
94,Амурская область,816,10,355,323,2016,02
95,Магаданская область,144,1,62,71,2016,02
96,Сахалинская область,565,0,243,220,2016,02
97,Еврейская автономная область,195,3,71,76,2016,02
98,Чукотский авт.округ,50,0,22,24,2016,02
100,Республика Крым,1707,12,702,474,2016,02
101,г Севастополь,387,1,202,101,2016,02
