,region,birth,death_children,marriage,divorce,year,month
5,Российская Федерация,159819,891,115462,49534,2016,09
6,Центральный федеральный округ,38129,219,31401,13056,2016,09
7,Белгородская область,1514,9,1194,572,2016,09
8,Брянская область,1113,7,922,496,2016,09
9,Владимирская область,1362,8,1175,473,2016,09
10,Воронежская область,2098,9,1946,727,2016,09
11,Ивановская область,934,8,754,334,2016,09
12,Калужская область,1061,3,820,417,2016,09
13,Костромская область,630,5,535,239,2016,09
14,Курская область,1100,6,883,363,2016,09
15,Липецкая область,1169,10,937,396,2016,09
16,Московская область,8201,35,6269,2782,2016,09
17,Орловская область,707,3,610,276,2016,09
18,Рязанская область,1120,2,861,402,2016,09
19,Смоленская область,749,2,678,329,2016,09
20,Тамбовская область,826,1,848,363,2016,09
21,Тверская область,1229,6,1005,453,2016,09
22,Тульская область,1258,12,1136,496,2016,09
23,Ярославская область,1322,8,1021,378,2016,09
24,г.Москва,11736,85,9807,3560,2016,09
25,Северо-Западный федеральный округ,13998,55,11942,5185,2016,09
26,Республика Карелия,588,5,416,214,2016,09
27,Республика Коми,902,4,549,327,2016,09
28,Архангельская область,1141,10,734,394,2016,09
29,Hенецкий авт.округ,67,0,25,8,2016,09
31,Вологодская область,1223,9,796,362,2016,09
32,Калининградская область,1053,4,908,428,2016,09
33,Ленинградская область,1294,4,956,622,2016,09
34,Мурманская область,739,1,544,350,2016,09
35,Новгородская область,600,0,474,230,2016,09
36,Псковская область,553,6,425,238,2016,09
37,г.Санкт-Петербург,5905,12,6140,2020,2016,09
38,Южный федеральный округ,17968,81,14943,5713,2016,09
39,Республика Адыгея,483,4,311,129,2016,09
40,Республика Калмыкия,285,1,185,104,2016,09
41,Республика Крым,2088,11,1824,488,2016,09
42,Краснодарский край,6620,30,5372,2163,2016,09
43,Астраханская область,1197,6,914,353,2016,09
44,Волгоградская область,2470,8,2065,831,2016,09
45,Ростовская область,4371,18,3703,1502,2016,09
47,Северо-Кавказский федеральный округ,13748,100,5618,1834,2016,09
48,Республика Дагестан,4733,29,1656,396,2016,09
49,Республика Ингушетия,712,7,157,38,2016,09
50,Кабардино-Балкарская Республика,1120,10,545,183,2016,09
51,Карачаево-Черкесская Республика,501,1,246,127,2016,09
52,Республика Северная Осетия- Алания,857,5,335,150,2016,09
53,Чеченская Республика,2558,20,652,85,2016,09
54,Ставропольский край,3267,28,2027,855,2016,09
55,Приволжский федеральный округ,32090,170,22557,9511,2016,09
56,Республика Башкортостан,4457,32,2685,1273,2016,09
57,Республика Марий Эл,775,7,415,250,2016,09
58,Республика Мордовия,730,5,596,233,2016,09
59,Республика Татарстан(Татарстан),5034,22,3257,1184,2016,09
60,Удмуртская Республика,1783,6,1006,485,2016,09
61,Чувашская Республика(Чувашия),1352,5,809,284,2016,09
62,Пермский край,3120,18,1947,882,2016,09
63,Кировская область,1336,8,897,376,2016,09
64,Hижегородская область,3155,16,2756,1073,2016,09
65,Оренбургская область,2337,15,1511,713,2016,09
66,Пензенская область,1115,0,950,408,2016,09
67,Самарская область,3403,14,2849,1117,2016,09
68,Саратовская область,2209,15,1855,850,2016,09
69,Ульяновская область,1284,7,1024,383,2016,09
70,Уральский федеральный округ,14396,83,9542,4681,2016,09
71,Курганская область,899,8,584,328,2016,09
72,Свердловская область,4876,24,3638,1536,2016,09
73,Тюменская область,4779,24,2761,1442,2016,09
74,Ханты-Мансийский авт.округ-Югра,2117,11,1280,721,2016,09
75,Ямало-Hенецкий авт.округ,719,6,352,227,2016,09
77,Челябинская область,3842,27,2559,1375,2016,09
78,Сибирский федеральный округ,22461,138,13887,7104,2016,09
79,Республика Алтай,343,3,148,90,2016,09
80,Республика Бурятия,1373,6,476,289,2016,09
81,Республика Тыва,659,10,159,44,2016,09
82,Республика Хакасия,616,4,366,194,2016,09
83,Алтайский край,2328,17,1529,870,2016,09
84,Забайкальский край,1341,8,714,400,2016,09
85,Красноярский край,3343,13,2163,1147,2016,09
86,Иркутская область,3033,19,1793,951,2016,09
87,Кемеровская область,2733,25,1848,987,2016,09
88,Новосибирская область,3347,16,2424,1043,2016,09
89,Омская область,2210,12,1328,725,2016,09
90,Томская область,1135,5,939,364,2016,09
91,Дальневосточный федеральный округ,7029,45,5572,2450,2016,09
92,Республика Саха (Якутия),1352,11,601,317,2016,09
93,Камчатский край,347,3,329,135,2016,09
94,Приморский край,1973,10,2049,764,2016,09
95,Хабаровский край,1430,9,1241,559,2016,09
96,Амурская область,909,3,617,325,2016,09
97,Магаданская область,114,1,98,64,2016,09
98,Сахалинская область,661,4,467,218,2016,09
99,Еврейская автономная область,179,3,142,53,2016,09
100,Чукотский авт.округ,64,1,28,15,2016,09
