,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1319,12,1357,627,2018,07
8,Брянская область,1017,5,995,538,2018,07
9,Владимирская область,1164,3,1187,494,2018,07
10,Воронежская область,1942,8,2012,865,2018,07
11,Ивановская область,875,0,783,398,2018,07
12,Калужская область,955,5,939,387,2018,07
13,Костромская область,615,5,537,256,2018,07
14,Курская область,1043,5,935,444,2018,07
15,Липецкая область,1006,6,989,468,2018,07
16,Московская область,7317,32,6473,2954,2018,07
17,Орловская область,616,1,684,307,2018,07
18,Рязанская область,897,3,1026,408,2018,07
19,Смоленская область,716,10,718,383,2018,07
20,Тамбовская область,714,2,898,376,2018,07
21,Тверская область,1051,4,1018,522,2018,07
22,Тульская область,1088,4,1154,508,2018,07
23,Ярославская область,1184,2,1129,491,2018,07
24,г.Москва,12086,75,9912,3847,2018,07
26,Республика Карелия,587,5,524,234,2018,07
27,Республика Коми,785,2,609,347,2018,07
28,Архангельская область,991,5,860,423,2018,07
29,Hенецкий авт.округ,60,0,20,13,2018,07
30,Архангельская область без автономии,931,5,840,410,2018,07
31,Вологодская область,1114,8,967,417,2018,07
32,Калининградская область,861,3,852,422,2018,07
33,Ленинградская область,1341,4,972,685,2018,07
34,Мурманская область,667,3,475,280,2018,07
35,Новгородская область,516,2,459,253,2018,07
36,Псковская область,556,2,518,235,2018,07
37,г.Санкт-Петербург,5957,32,6138,2148,2018,07
39,Республика Адыгея,396,0,230,129,2018,07
40,Республика Калмыкия,267,1,138,102,2018,07
41,Республика Крым,1836,9,1203,674,2018,07
42,Краснодарский край,5879,30,3830,2320,2018,07
43,Астраханская область,1021,8,558,405,2018,07
44,Волгоградская область,2164,9,1394,902,2018,07
45,Ростовская область,3693,19,2627,1616,2018,07
48,Республика Дагестан,4146,49,1322,367,2018,07
49,Республика Ингушетия,735,3,199,53,2018,07
50,Кабардино-Балкарская Республика,941,4,394,233,2018,07
51,Карачаево-Черкесская Республика,465,5,210,153,2018,07
52,Республика Северная Осетия- Алания,779,7,311,141,2018,07
53,Чеченская Республика,2830,19,769,73,2018,07
54,Ставропольский край,2658,23,1548,920,2018,07
56,Республика Башкортостан,4403,24,3216,1344,2018,07
57,Республика Марий Эл,727,5,503,261,2018,07
58,Республика Мордовия,622,1,580,226,2018,07
59,Республика Татарстан(Татарстан),4156,16,3035,1148,2018,07
60,Удмуртская Республика,1505,7,1170,447,2018,07
61,Чувашская Республика(Чувашия),1212,4,894,380,2018,07
62,Пермский край,2686,15,2184,977,2018,07
63,Кировская область,1231,5,813,417,2018,07
64,Hижегородская область,2935,14,2996,1231,2018,07
65,Оренбургская область,1915,8,1598,771,2018,07
66,Пензенская область,1120,1,1016,464,2018,07
67,Самарская область,3161,20,2642,1254,2018,07
68,Саратовская область,2043,12,1739,910,2018,07
69,Ульяновская область,1079,6,1055,441,2018,07
71,Курганская область,866,3,566,347,2018,07
72,Свердловская область,4602,17,3696,1796,2018,07
73,Тюменская область,4547,16,3057,1591,2018,07
74,Ханты-Мансийский авт.округ-Югра,2076,7,1392,791,2018,07
75,Ямало-Hенецкий авт.округ,612,0,327,200,2018,07
76,Тюменская область без автономии,1859,9,1338,600,2018,07
77,Челябинская область,3375,19,2831,1395,2018,07
79,Республика Алтай,266,4,191,71,2018,07
80,Республика Бурятия,1296,4,691,342,2018,07
81,Республика Тыва,603,6,226,57,2018,07
82,Республика Хакасия,593,3,439,225,2018,07
83,Алтайский край,2154,17,1811,981,2018,07
84,Забайкальский край,1240,10,832,387,2018,07
85,Красноярский край,3046,10,2472,1273,2018,07
86,Иркутская область,2822,21,2240,1065,2018,07
87,Кемеровская область,2351,10,2168,1000,2018,07
88,Новосибирская область,2932,14,2412,1167,2018,07
89,Омская область,1880,10,1600,779,2018,07
90,Томская область,1083,4,974,439,2018,07
92,Республика Саха (Якутия),1213,17,628,349,2018,07
93,Камчатский край,313,4,223,139,2018,07
94,Приморский край,1899,11,1473,867,2018,07
95,Хабаровский край,1384,7,995,618,2018,07
96,Амурская область,774,1,646,346,2018,07
97,Магаданская область,131,0,94,59,2018,07
98,Сахалинская область,543,0,345,263,2018,07
99,Еврейская автономная область,170,3,97,63,2018,07
100,Чукотский авт.округ,59,0,34,10,2018,07
