,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1035,12,551,514,2018,02
8,Брянская область,836,1,423,410,2018,02
9,Владимирская область,969,6,478,435,2018,02
10,Воронежская область,1664,3,812,675,2018,02
11,Ивановская область,708,2,316,293,2018,02
12,Калужская область,791,5,400,329,2018,02
13,Костромская область,469,5,234,160,2018,02
14,Курская область,795,6,361,353,2018,02
15,Липецкая область,819,1,395,295,2018,02
16,Московская область,6399,21,3105,2535,2018,02
17,Орловская область,533,3,250,235,2018,02
18,Рязанская область,858,2,354,350,2018,02
19,Смоленская область,607,6,313,301,2018,02
20,Тамбовская область,624,3,312,273,2018,02
21,Тверская область,874,3,419,397,2018,02
22,Тульская область,1010,4,513,408,2018,02
23,Ярославская область,858,1,392,377,2018,02
24,г.Москва,9737,68,4457,2904,2018,02
26,Республика Карелия,449,2,241,226,2018,02
27,Республика Коми,626,2,313,355,2018,02
28,Архангельская область,901,0,415,367,2018,02
29,Hенецкий авт.округ,63,0,9,12,2018,02
30,Архангельская область без автономии,838,0,406,355,2018,02
31,Вологодская область,957,2,375,319,2018,02
32,Калининградская область,815,2,359,419,2018,02
33,Ленинградская область,1042,6,411,559,2018,02
34,Мурманская область,519,3,380,305,2018,02
35,Новгородская область,449,1,202,213,2018,02
36,Псковская область,449,1,209,200,2018,02
37,г.Санкт-Петербург,4615,21,2854,1901,2018,02
39,Республика Адыгея,343,3,118,122,2018,02
40,Республика Калмыкия,226,1,65,54,2018,02
41,Республика Крым,1572,7,651,512,2018,02
42,Краснодарский край,4760,22,1999,1830,2018,02
43,Астраханская область,905,3,309,313,2018,02
44,Волгоградская область,1869,13,663,741,2018,02
45,Ростовская область,3150,12,1317,1282,2018,02
48,Республика Дагестан,4058,31,1038,359,2018,02
49,Республика Ингушетия,656,5,156,42,2018,02
50,Кабардино-Балкарская Республика,872,5,252,184,2018,02
51,Карачаево-Черкесская Республика,390,2,129,100,2018,02
52,Республика Северная Осетия- Алания,674,2,218,118,2018,02
53,Чеченская Республика,2257,19,554,70,2018,02
54,Ставропольский край,2272,22,833,816,2018,02
56,Республика Башкортостан,3585,24,1400,1225,2018,02
57,Республика Марий Эл,547,4,202,203,2018,02
58,Республика Мордовия,530,0,248,166,2018,02
59,Республика Татарстан(Татарстан),3340,14,1309,1040,2018,02
60,Удмуртская Республика,1293,8,485,374,2018,02
61,Чувашская Республика(Чувашия),998,2,391,316,2018,02
62,Пермский край,2262,11,1044,874,2018,02
63,Кировская область,1021,3,403,407,2018,02
64,Hижегородская область,2403,21,1188,998,2018,02
65,Оренбургская область,1692,8,766,633,2018,02
66,Пензенская область,854,4,419,349,2018,02
67,Самарская область,2497,12,1043,955,2018,02
68,Саратовская область,1734,6,760,772,2018,02
69,Ульяновская область,873,8,438,355,2018,02
71,Курганская область,666,6,304,319,2018,02
72,Свердловская область,3850,19,1668,1508,2018,02
73,Тюменская область,3692,15,1665,1406,2018,02
74,Ханты-Мансийский авт.округ-Югра,1614,4,792,681,2018,02
75,Ямало-Hенецкий авт.округ,562,6,278,228,2018,02
76,Тюменская область без автономии,1516,5,595,497,2018,02
77,Челябинская область,2916,24,1217,1180,2018,02
79,Республика Алтай,235,2,67,72,2018,02
80,Республика Бурятия,1071,4,354,297,2018,02
81,Республика Тыва,494,5,105,39,2018,02
82,Республика Хакасия,502,3,184,173,2018,02
83,Алтайский край,1906,15,709,760,2018,02
84,Забайкальский край,982,7,405,359,2018,02
85,Красноярский край,2622,16,1124,1069,2018,02
86,Иркутская область,2448,22,1018,891,2018,02
87,Кемеровская область,2094,16,916,943,2018,02
88,Новосибирская область,2530,19,1011,1010,2018,02
89,Омская область,1694,11,765,671,2018,02
90,Томская область,935,7,401,363,2018,02
92,Республика Саха (Якутия),1042,3,447,322,2018,02
93,Камчатский край,265,0,168,170,2018,02
94,Приморский край,1514,4,742,694,2018,02
95,Хабаровский край,1139,2,527,528,2018,02
96,Амурская область,702,4,390,329,2018,02
97,Магаданская область,104,0,70,61,2018,02
98,Сахалинская область,436,3,202,221,2018,02
99,Еврейская автономная область,156,1,58,62,2018,02
100,Чукотский авт.округ,52,0,30,17,2018,02
