,region,birth,death_children,marriage,divorce,year,month
8,Белгородская область,1426,8,1898,634,2018,08
9,Брянская область,1038,9,1370,444,2018,08
10,Владимирская область,1153,5,1563,481,2018,08
11,Воронежская область,2031,9,2703,865,2018,08
12,Ивановская область,820,5,1108,368,2018,08
13,Калужская область,915,3,1175,390,2018,08
14,Костромская область,533,1,689,198,2018,08
15,Курская область,919,4,1084,448,2018,08
16,Липецкая область,1049,7,1110,441,2018,08
17,Московская область,7931,32,8447,2936,2018,08
18,Орловская область,630,2,830,299,2018,08
19,Рязанская область,961,5,1069,458,2018,08
20,Смоленская область,752,8,978,355,2018,08
21,Тамбовская область,786,1,1090,362,2018,08
22,Тверская область,1132,6,1319,479,2018,08
23,Тульская область,1158,10,1540,589,2018,08
24,Ярославская область,1155,3,1474,497,2018,08
25,г.Москва,12185,52,12076,3986,2018,08
27,Республика Карелия,509,3,685,231,2018,08
28,Республика Коми,740,6,735,308,2018,08
29,Архангельская область,1030,4,1109,447,2018,08
30,Hенецкий авт.округ,61,1,31,12,2018,08
31,Архангельская область без автономии,969,3,1078,435,2018,08
32,Вологодская область,1144,4,1155,413,2018,08
33,Калининградская область,962,5,1177,461,2018,08
34,Ленинградская область,1133,3,1156,622,2018,08
35,Мурманская область,624,4,606,348,2018,08
36,Новгородская область,533,2,597,226,2018,08
37,Псковская область,549,3,682,246,2018,08
38,г.Санкт-Петербург,5951,20,7178,2322,2018,08
40,Республика Адыгея,396,2,320,118,2018,08
41,Республика Калмыкия,287,1,175,104,2018,08
42,Республика Крым,1989,5,1717,609,2018,08
43,Краснодарский край,6308,33,5513,2307,2018,08
44,Астраханская область,1167,8,881,382,2018,08
45,Волгоградская область,2273,7,2286,924,2018,08
46,Ростовская область,4047,23,4037,1752,2018,08
49,Республика Дагестан,4593,30,1912,425,2018,08
50,Республика Ингушетия,695,3,167,37,2018,08
51,Кабардино-Балкарская Республика,1009,3,631,184,2018,08
52,Карачаево-Черкесская Республика,480,4,334,136,2018,08
53,Республика Северная Осетия- Алания,911,2,429,167,2018,08
54,Чеченская Республика,2601,19,726,82,2018,08
55,Ставропольский край,3111,18,2258,909,2018,08
57,Республика Башкортостан,4184,19,4295,1316,2018,08
58,Республика Марий Эл,681,4,592,257,2018,08
59,Республика Мордовия,671,3,707,235,2018,08
60,Республика Татарстан(Татарстан),4269,14,4620,1109,2018,08
61,Удмуртская Республика,1422,3,1498,463,2018,08
62,Чувашская Республика(Чувашия),1249,6,1123,361,2018,08
63,Пермский край,2703,14,2885,968,2018,08
64,Кировская область,1113,1,1110,478,2018,08
65,Hижегородская область,2991,19,3801,1238,2018,08
66,Оренбургская область,2079,9,2155,763,2018,08
67,Пензенская область,1068,2,1206,483,2018,08
68,Самарская область,3130,16,3737,1281,2018,08
69,Саратовская область,2178,7,2670,953,2018,08
70,Ульяновская область,1118,11,1332,447,2018,08
72,Курганская область,773,6,799,364,2018,08
73,Свердловская область,4652,24,4908,1642,2018,08
74,Тюменская область,4444,11,3820,1610,2018,08
75,Ханты-Мансийский авт.округ-Югра,1934,4,1678,734,2018,08
76,Ямало-Hенецкий авт.округ,577,3,415,236,2018,08
77,Тюменская область без автономии,1933,4,1727,640,2018,08
78,Челябинская область,3470,19,4027,1442,2018,08
80,Республика Алтай,298,3,231,71,2018,08
81,Республика Бурятия,1231,8,875,318,2018,08
82,Республика Тыва,644,9,256,65,2018,08
83,Республика Хакасия,565,3,591,223,2018,08
84,Алтайский край,2241,27,2385,946,2018,08
85,Забайкальский край,1247,5,893,445,2018,08
86,Красноярский край,2972,21,3014,1266,2018,08
87,Иркутская область,2808,19,2864,1072,2018,08
88,Кемеровская область,2391,10,2476,1096,2018,08
89,Новосибирская область,2928,8,2999,1142,2018,08
90,Омская область,2014,16,2021,802,2018,08
91,Томская область,1123,3,1214,431,2018,08
93,Республика Саха (Якутия),1169,6,952,341,2018,08
94,Камчатский край,319,3,353,139,2018,08
95,Приморский край,1848,8,1930,864,2018,08
96,Хабаровский край,1418,10,1358,614,2018,08
97,Амурская область,838,3,900,362,2018,08
98,Магаданская область,122,0,124,55,2018,08
99,Сахалинская область,574,2,540,253,2018,08
100,Еврейская автономная область,171,0,148,71,2018,08
101,Чукотский авт.округ,49,2,26,19,2018,08
