,region,birth,death_children,marriage,divorce,year,month
6,Белгородская область,1132,3,354,155,2018,11
7,Брянская область,908,1,408,132,2018,11
8,Владимирская область,1019,5,394,152,2018,11
9,Воронежская область,1669,7,632,311,2018,11
10,Ивановская область,738,1,360,338,2018,11
11,Калужская область,820,0,239,167,2018,11
12,Костромская область,459,7,244,226,2018,11
13,Курская область,816,6,283,118,2018,11
14,Липецкая область,886,1,247,109,2018,11
15,Московская область,5942,19,2157,1087,2018,11
16,Орловская область,510,2,260,281,2018,11
17,Рязанская область,802,2,130,333,2018,11
18,Смоленская область,557,2,248,118,2018,11
19,Тамбовская область,681,0,288,90,2018,11
20,Тверская область,888,5,360,188,2018,11
21,Тульская область,968,5,676,562,2018,11
22,Ярославская область,1023,3,236,150,2018,11
23,г.Москва,11561,44,2962,1804,2018,11
25,Республика Карелия,470,5,262,245,2018,11
26,Республика Коми,679,3,254,154,2018,11
27,Архангельская область,893,5,319,169,2018,11
28,Hенецкий авт.округ,32,0,11,13,2018,11
29,Архангельская область без автономии,861,5,308,156,2018,11
30,Вологодская область,977,4,240,135,2018,11
31,Калининградская область,788,2,332,414,2018,11
32,Ленинградская область,1128,7,412,255,2018,11
33,Мурманская область,537,2,329,126,2018,11
34,Новгородская область,438,4,106,97,2018,11
35,Псковская область,461,2,238,211,2018,11
36,г.Санкт-Петербург,5060,14,1114,1034,2018,11
38,Республика Адыгея,418,0,191,140,2018,11
39,Республика Калмыкия,265,3,106,47,2018,11
40,Республика Крым,1698,12,575,222,2018,11
41,Краснодарский край,5143,25,2139,678,2018,11
42,Астраханская область,976,8,444,335,2018,11
43,Волгоградская область,1871,14,580,216,2018,11
44,Ростовская область,3306,18,1324,505,2018,11
47,Республика Дагестан,4106,39,1115,394,2018,11
48,Республика Ингушетия,721,4,140,33,2018,11
49,Кабардино-Балкарская Республика,901,4,434,179,2018,11
50,Карачаево-Черкесская Республика,396,2,192,122,2018,11
51,Республика Северная Осетия- Алания,729,1,248,55,2018,11
52,Чеченская Республика,2430,5,460,22,2018,11
53,Ставропольский край,1976,0,476,232,2018,11
55,Республика Башкортостан,3529,15,1032,330,2018,11
56,Республика Марий Эл,594,0,247,240,2018,11
57,Республика Мордовия,504,3,313,221,2018,11
58,Республика Татарстан(Татарстан),3724,15,1487,1063,2018,11
59,Удмуртская Республика,1316,4,528,517,2018,11
60,Чувашская Республика(Чувашия),1018,1,325,76,2018,11
61,Пермский край,2251,3,819,336,2018,11
62,Кировская область,876,4,390,171,2018,11
63,Hижегородская область,2536,11,1254,1190,2018,11
64,Оренбургская область,1780,7,850,689,2018,11
65,Пензенская область,881,7,378,126,2018,11
66,Самарская область,2602,23,846,422,2018,11
67,Саратовская область,1821,9,520,191,2018,11
68,Ульяновская область,941,3,363,119,2018,11
70,Курганская область,671,5,379,288,2018,11
71,Свердловская область,3738,20,1407,660,2018,11
72,Тюменская область,3965,18,939,546,2018,11
73,Ханты-Мансийский авт.округ-Югра,1769,5,437,276,2018,11
74,Ямало-Hенецкий авт.округ,586,2,175,93,2018,11
75,Тюменская область без автономии,1610,11,327,177,2018,11
76,Челябинская область,2951,10,869,419,2018,11
78,Республика Алтай,247,2,61,13,2018,11
79,Республика Тыва,521,3,128,11,2018,11
80,Республика Хакасия,471,0,151,62,2018,11
81,Алтайский край,1812,7,663,299,2018,11
82,Красноярский край,2553,17,1510,1115,2018,11
83,Иркутская область,2372,14,968,374,2018,11
84,Кемеровская область,2063,11,1160,972,2018,11
85,Новосибирская область,2552,16,690,437,2018,11
86,Омская область,1656,13,524,193,2018,11
87,Томская область,927,7,315,107,2018,11
89,Республика Бурятия,1096,6,333,88,2018,11
90,Республика Саха (Якутия),961,3,320,56,2018,11
91,Забайкальский край,1123,8,481,100,2018,11
92,Камчатский край,273,0,134,76,2018,11
93,Приморский край,1568,7,1098,731,2018,11
94,Хабаровский край,1149,5,426,169,2018,11
95,Амурская область,684,6,363,336,2018,11
96,Магаданская область,120,0,60,16,2018,11
97,Сахалинская область,477,3,282,200,2018,11
98,Еврейская автономная область,176,0,64,9,2018,11
99,Чукотский авт.округ,44,0,36,18,2018,11
