,region,birth,death_children,marriage,divorce,year,month
6,Белгородская область,1233,5,488,529,2018,01
7,Брянская область,949,4,364,446,2018,01
8,Владимирская область,1076,4,418,459,2018,01
9,Воронежская область,1791,9,826,785,2018,01
10,Ивановская область,746,4,286,292,2018,01
11,Калужская область,860,3,399,345,2018,01
12,Костромская область,494,3,201,249,2018,01
13,Курская область,884,2,365,400,2018,01
14,Липецкая область,971,2,395,380,2018,01
15,Московская область,6930,29,2970,2765,2018,01
16,Орловская область,611,5,236,250,2018,01
17,Рязанская область,865,2,359,396,2018,01
18,Смоленская область,690,7,283,331,2018,01
19,Тамбовская область,677,2,284,341,2018,01
20,Тверская область,945,5,398,466,2018,01
21,Тульская область,1037,4,473,482,2018,01
22,Ярославская область,1086,2,368,440,2018,01
23,г.Москва,10391,68,4076,3679,2018,01
25,Республика Карелия,503,1,210,188,2018,01
26,Республика Коми,765,5,271,325,2018,01
27,Архангельская область,917,3,343,407,2018,01
28,Hенецкий авт.округ,44,0,5,13,2018,01
29,Архангельская область без автономии,873,3,338,394,2018,01
30,Вологодская область,1016,7,317,382,2018,01
31,Калининградская область,833,3,368,465,2018,01
32,Ленинградская область,1253,1,471,622,2018,01
33,Мурманская область,629,6,336,300,2018,01
34,Новгородская область,470,2,179,231,2018,01
35,Псковская область,504,1,175,211,2018,01
36,г.Санкт-Петербург,5142,19,2414,2122,2018,01
38,Республика Адыгея,420,3,112,158,2018,01
39,Республика Калмыкия,247,1,69,81,2018,01
40,Республика Крым,1712,3,611,561,2018,01
41,Краснодарский край,5591,24,1944,2159,2018,01
42,Астраханская область,1013,6,308,310,2018,01
43,Волгоградская область,2024,7,674,895,2018,01
44,Ростовская область,3524,15,1217,1349,2018,01
47,Республика Дагестан,4192,47,1041,351,2018,01
48,Республика Ингушетия,702,4,155,23,2018,01
49,Кабардино-Балкарская Республика,958,9,301,174,2018,01
50,Карачаево-Черкесская Республика,404,1,131,95,2018,01
51,Республика Северная Осетия- Алания,777,4,207,170,2018,01
52,Чеченская Республика,2752,18,516,89,2018,01
55,Республика Башкортостан,4125,25,1319,1305,2018,01
56,Республика Марий Эл,673,7,210,212,2018,01
57,Республика Мордовия,538,4,233,227,2018,01
58,Республика Татарстан(Татарстан),3868,20,1233,1089,2018,01
59,Удмуртская Республика,1424,5,443,446,2018,01
60,Чувашская Республика(Чувашия),1063,6,356,314,2018,01
61,Пермский край,2501,9,970,941,2018,01
62,Кировская область,1040,6,347,400,2018,01
63,Hижегородская область,2785,16,1133,1102,2018,01
64,Оренбургская область,1992,13,669,644,2018,01
65,Пензенская область,928,4,410,431,2018,01
66,Самарская область,2653,14,915,1075,2018,01
67,Саратовская область,1827,11,682,764,2018,01
68,Ульяновская область,943,2,368,360,2018,01
70,Курганская область,729,2,238,338,2018,01
71,Свердловская область,4234,23,1372,1529,2018,01
72,Тюменская область,4237,18,1599,1508,2018,01
73,Ханты-Мансийский авт.округ-Югра,1936,4,784,701,2018,01
74,Ямало-Hенецкий авт.округ,583,3,246,261,2018,01
75,Тюменская область без автономии,1718,11,569,546,2018,01
76,Челябинская область,3342,23,1084,1231,2018,01
78,Республика Алтай,266,1,94,68,2018,01
79,Республика Бурятия,1145,11,337,289,2018,01
80,Республика Тыва,579,6,95,48,2018,01
81,Республика Хакасия,536,5,161,173,2018,01
82,Алтайский край,2049,15,684,731,2018,01
83,Забайкальский край,1103,7,436,394,2018,01
84,Красноярский край,2817,18,1062,1081,2018,01
85,Иркутская область,2713,23,967,968,2018,01
86,Кемеровская область,2223,7,877,862,2018,01
87,Новосибирская область,2752,14,968,1006,2018,01
88,Омская область,1815,10,745,634,2018,01
89,Томская область,880,3,299,388,2018,01
91,Республика Саха (Якутия),1147,7,265,374,2018,01
92,Камчатский край,333,1,141,158,2018,01
93,Приморский край,1742,16,666,798,2018,01
94,Хабаровский край,1304,12,476,539,2018,01
95,Амурская область,794,8,298,314,2018,01
96,Магаданская область,114,0,54,66,2018,01
97,Сахалинская область,533,1,189,207,2018,01
98,Еврейская автономная область,165,0,59,64,2018,01
99,Чукотский авт.округ,44,0,31,22,2018,01
