,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1148,3,1446,527,2018,09
8,Брянская область,897,3,910,468,2018,09
9,Владимирская область,985,3,1014,433,2018,09
10,Воронежская область,1771,9,2051,816,2018,09
11,Ивановская область,733,4,745,291,2018,09
12,Калужская область,870,8,868,356,2018,09
13,Костромская область,494,4,424,212,2018,09
14,Курская область,818,3,890,425,2018,09
15,Липецкая область,830,2,949,387,2018,09
16,Московская область,6773,21,6084,2680,2018,09
17,Орловская область,541,1,587,253,2018,09
18,Рязанская область,891,3,910,419,2018,09
19,Смоленская область,548,4,632,322,2018,09
20,Тамбовская область,633,5,782,312,2018,09
21,Тверская область,937,6,938,475,2018,09
22,Тульская область,1022,7,1098,518,2018,09
23,Ярославская область,963,2,884,409,2018,09
24,г.Москва,10909,58,10142,3816,2018,09
26,Республика Карелия,462,1,444,227,2018,09
27,Республика Коми,696,2,457,265,2018,09
28,Архангельская область,919,8,713,389,2018,09
29,Hенецкий авт.округ,53,0,25,16,2018,09
30,Архангельская область без автономии,866,8,688,373,2018,09
31,Вологодская область,947,2,772,394,2018,09
32,Калининградская область,973,4,948,456,2018,09
33,Ленинградская область,1130,4,845,582,2018,09
34,Мурманская область,624,2,488,306,2018,09
35,Новгородская область,463,1,373,227,2018,09
36,Псковская область,433,1,470,226,2018,09
37,г.Санкт-Петербург,5101,26,6158,2015,2018,09
39,Республика Адыгея,393,0,310,134,2018,09
40,Республика Калмыкия,273,2,207,92,2018,09
41,Республика Крым,1812,7,1850,570,2018,09
42,Краснодарский край,5407,31,5864,2162,2018,09
43,Астраханская область,1020,8,849,345,2018,09
44,Волгоградская область,1885,9,2066,789,2018,09
45,Ростовская область,3409,20,3864,1528,2018,09
48,Республика Дагестан,4638,34,1483,395,2018,09
49,Республика Ингушетия,653,4,172,28,2018,09
50,Кабардино-Балкарская Республика,991,4,565,156,2018,09
51,Карачаево-Черкесская Республика,422,3,235,128,2018,09
52,Республика Северная Осетия- Алания,849,1,351,147,2018,09
53,Чеченская Республика,3008,23,864,91,2018,09
54,Ставропольский край,2581,18,2154,846,2018,09
56,Республика Башкортостан,3811,12,2619,1305,2018,09
57,Республика Марий Эл,556,1,457,211,2018,09
58,Республика Мордовия,474,3,555,233,2018,09
59,Республика Татарстан(Татарстан),3800,8,3245,1168,2018,09
60,Удмуртская Республика,1328,6,922,417,2018,09
61,Чувашская Республика(Чувашия),1062,7,782,334,2018,09
62,Пермский край,2257,6,1763,819,2018,09
63,Кировская область,1050,2,719,428,2018,09
64,Hижегородская область,2554,11,2408,972,2018,09
65,Оренбургская область,1763,10,1466,634,2018,09
66,Пензенская область,931,7,940,441,2018,09
67,Самарская область,2700,7,2642,1128,2018,09
68,Саратовская область,1814,7,1687,789,2018,09
69,Ульяновская область,984,4,857,397,2018,09
71,Курганская область,658,6,549,303,2018,09
72,Свердловская область,3958,12,3157,1590,2018,09
73,Тюменская область,4168,12,2874,1396,2018,09
74,Ханты-Мансийский авт.округ-Югра,1947,5,1278,635,2018,09
75,Ямало-Hенецкий авт.округ,555,2,380,211,2018,09
76,Тюменская область без автономии,1666,5,1216,550,2018,09
77,Челябинская область,3109,15,2602,1302,2018,09
79,Республика Алтай,274,1,149,79,2018,09
80,Республика Бурятия,1060,12,500,265,2018,09
81,Республика Тыва,527,4,157,56,2018,09
82,Республика Хакасия,500,0,353,206,2018,09
83,Алтайский край,1885,17,1518,833,2018,09
84,Забайкальский край,1079,6,661,368,2018,09
85,Красноярский край,2689,20,2056,1066,2018,09
86,Иркутская область,2553,15,1704,955,2018,09
87,Кемеровская область,2089,8,1798,910,2018,09
88,Новосибирская область,2645,15,2272,1069,2018,09
89,Омская область,1739,13,1391,676,2018,09
90,Томская область,950,4,896,381,2018,09
92,Республика Саха (Якутия),1127,4,573,273,2018,09
93,Камчатский край,254,3,249,132,2018,09
94,Приморский край,1600,6,1912,771,2018,09
95,Хабаровский край,1282,6,1158,545,2018,09
96,Амурская область,720,2,579,319,2018,09
97,Магаданская область,109,1,97,57,2018,09
98,Сахалинская область,423,1,404,193,2018,09
99,Еврейская автономная область,146,3,99,62,2018,09
100,Чукотский авт.округ,43,0,30,16,2018,09
