,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1203,6,366,622,2018,05
8,Брянская область,967,2,243,500,2018,05
9,Владимирская область,1053,2,279,473,2018,05
10,Воронежская область,2011,10,640,810,2018,05
11,Ивановская область,792,2,200,361,2018,05
12,Калужская область,909,4,335,404,2018,05
13,Костромская область,504,4,117,213,2018,05
14,Курская область,904,6,247,397,2018,05
15,Липецкая область,915,0,244,424,2018,05
16,Московская область,7334,38,2245,3032,2018,05
17,Орловская область,579,3,151,264,2018,05
18,Рязанская область,861,8,271,397,2018,05
19,Смоленская область,712,2,215,370,2018,05
20,Тамбовская область,792,0,198,324,2018,05
21,Тверская область,1014,4,372,535,2018,05
22,Тульская область,1043,5,371,499,2018,05
23,Ярославская область,1086,3,322,482,2018,05
24,г.Москва,11007,54,3872,4146,2018,05
26,Республика Карелия,532,4,142,230,2018,05
27,Республика Коми,750,2,199,358,2018,05
28,Архангельская область,978,1,239,413,2018,05
29,Hенецкий авт.округ,56,0,10,13,2018,05
30,Архангельская область без автономии,922,1,229,400,2018,05
31,Вологодская область,1080,8,267,386,2018,05
32,Калининградская область,915,6,387,463,2018,05
33,Ленинградская область,1315,2,413,647,2018,05
34,Мурманская область,637,7,293,350,2018,05
35,Новгородская область,516,2,140,229,2018,05
36,Псковская область,502,1,160,234,2018,05
37,г.Санкт-Петербург,5837,31,2578,2325,2018,05
39,Республика Адыгея,319,1,111,146,2018,05
40,Республика Калмыкия,236,0,32,90,2018,05
41,Республика Крым,1545,5,583,587,2018,05
42,Краснодарский край,4949,25,1755,2155,2018,05
43,Астраханская область,941,5,275,348,2018,05
44,Волгоградская область,1707,9,620,861,2018,05
45,Ростовская область,3386,21,1147,1493,2018,05
48,Республика Дагестан,3472,32,1068,377,2018,05
49,Республика Ингушетия,606,5,174,32,2018,05
50,Кабардино-Балкарская Республика,844,4,216,187,2018,05
51,Карачаево-Черкесская Республика,407,4,136,138,2018,05
52,Республика Северная Осетия- Алания,739,3,177,140,2018,05
53,Чеченская Республика,2319,16,544,88,2018,05
54,Ставропольский край,2422,10,608,958,2018,05
56,Республика Башкортостан,4074,17,895,1270,2018,05
57,Республика Марий Эл,649,3,147,210,2018,05
58,Республика Мордовия,572,1,104,214,2018,05
59,Республика Татарстан(Татарстан),3964,19,849,1159,2018,05
60,Удмуртская Республика,1430,3,313,467,2018,05
61,Чувашская Республика(Чувашия),1107,5,260,298,2018,05
62,Пермский край,2558,12,670,868,2018,05
63,Кировская область,1090,5,299,423,2018,05
64,Hижегородская область,2817,23,818,1189,2018,05
65,Оренбургская область,1748,9,474,712,2018,05
66,Пензенская область,958,6,224,438,2018,05
67,Самарская область,2780,14,714,1190,2018,05
68,Саратовская область,1979,10,434,834,2018,05
69,Ульяновская область,1078,6,266,403,2018,05
71,Курганская область,739,4,184,318,2018,05
72,Свердловская область,4676,27,1143,1696,2018,05
73,Тюменская область,4500,22,1183,1662,2018,05
74,Ханты-Мансийский авт.округ-Югра,2017,5,607,805,2018,05
75,Ямало-Hенецкий авт.округ,647,9,161,286,2018,05
76,Тюменская область без автономии,1836,8,415,571,2018,05
77,Челябинская область,3334,20,780,1417,2018,05
79,Республика Алтай,272,1,44,68,2018,05
80,Республика Бурятия,1198,5,170,293,2018,05
81,Республика Тыва,510,4,121,55,2018,05
82,Республика Хакасия,540,0,122,204,2018,05
83,Алтайский край,1919,19,513,880,2018,05
84,Забайкальский край,1155,8,268,420,2018,05
85,Красноярский край,2978,10,813,1280,2018,05
86,Иркутская область,2742,17,677,954,2018,05
87,Кемеровская область,2342,18,610,1125,2018,05
88,Новосибирская область,2998,12,811,1230,2018,05
89,Омская область,1790,11,514,711,2018,05
90,Томская область,1119,10,280,410,2018,05
92,Республика Саха (Якутия),1197,5,243,345,2018,05
93,Камчатский край,335,1,114,169,2018,05
94,Приморский край,1753,8,627,802,2018,05
95,Хабаровский край,1232,7,454,590,2018,05
96,Амурская область,784,6,182,356,2018,05
97,Магаданская область,150,0,36,62,2018,05
98,Сахалинская область,560,1,195,246,2018,05
99,Еврейская автономная область,163,2,45,80,2018,05
100,Чукотский авт.округ,63,1,19,26,2018,05
