,region,birth,death_children,marriage,divorce,year,month
3,Российская Федерация,171488,1088,95908,59813,2015,01
4,Центральный федеральный округ,40388,241,23625,16061,2015,01
5,Белгородская область,1583,15,1007,694,2015,01
6,Брянская область,1219,10,794,584,2015,01
7,Владимирская область,1410,8,707,559,2015,01
8,Воронежская область,2259,13,1333,939,2015,01
9,Ивановская область,1055,5,542,397,2015,01
10,Калужская область,1132,9,637,462,2015,01
11,Костромская область,704,6,397,265,2015,01
12,Курская область,1186,4,657,490,2015,01
13,Липецкая область,1187,9,550,504,2015,01
14,Московская область,8679,40,5101,3531,2015,01
15,Орловская область,719,4,467,309,2015,01
16,Рязанская область,1159,5,579,510,2015,01
17,Смоленская область,880,8,610,385,2015,01
18,Тамбовская область,838,2,390,402,2015,01
19,Тверская область,1272,6,826,524,2015,01
20,Тульская область,1377,8,794,638,2015,01
21,Ярославская область,1359,4,769,519,2015,01
22,г.Москва,12370,85,7465,4349,2015,01
23,Северо-Западный федеральный округ,15474,64,10082,6244,2015,01
24,Республика Карелия,677,4,409,250,2015,01
25,Республика Коми,1062,2,728,421,2015,01
26,Архангельская область,1322,10,973,499,2015,01
27,Hенецкий авт.округ,77,1,39,15,2015,01
29,Вологодская область,1458,7,794,427,2015,01
30,Калининградская область,1094,7,658,486,2015,01
31,Ленинградская область,1346,6,817,707,2015,01
32,Мурманская область,824,3,640,442,2015,01
33,Новгородская область,661,0,436,251,2015,01
34,Псковская область,629,4,407,282,2015,01
35,г.Санкт-Петербург,6401,21,4220,2479,2015,01
36,Южный федеральный округ,15958,87,8758,6021,2015,01
37,Республика Адыгея,511,5,232,152,2015,01
38,Республика Калмыкия,344,1,149,82,2015,01
39,Краснодарский край,6692,35,3826,2484,2015,01
40,Астраханская область,1338,11,552,436,2015,01
41,Волгоградская область,2602,15,1278,1087,2015,01
42,Ростовская область,4471,20,2721,1780,2015,01
43,Северо-Кавказский федеральный округ,13509,150,5050,2190,2015,01
44,Республика Дагестан,4686,71,1736,469,2015,01
45,Республика Ингушетия,683,4,180,44,2015,01
46,Кабардино-Балкарская Республика,1064,5,469,222,2015,01
47,Карачаево-Черкесская Республика,520,7,234,144,2015,01
48,Республика Северная Осетия- Алания,914,7,414,183,2015,01
49,Чеченская Республика,2559,26,635,97,2015,01
50,Ставропольский край,3083,30,1382,1031,2015,01
51,Приволжский федеральный округ,35174,197,18114,11262,2015,01
52,Республика Башкортостан,5598,31,2953,1512,2015,01
53,Республика Марий Эл,832,5,447,243,2015,01
54,Республика Мордовия,685,2,277,270,2015,01
55,Республика Татарстан(Татарстан),5016,26,2577,1302,2015,01
56,Удмуртская Республика,1920,12,1063,504,2015,01
57,Чувашская Республика(Чувашия),1435,8,620,388,2015,01
58,Пермский край,3390,13,2244,1029,2015,01
59,Кировская область,1396,6,882,486,2015,01
60,Hижегородская область,3587,18,1545,1334,2015,01
61,Оренбургская область,2435,17,1147,835,2015,01
62,Пензенская область,1323,12,569,512,2015,01
63,Самарская область,3744,28,1761,1342,2015,01
64,Саратовская область,2511,15,1364,979,2015,01
65,Ульяновская область,1302,4,665,526,2015,01
66,Уральский федеральный округ,16114,92,9153,5705,2015,01
67,Курганская область,1005,6,503,352,2015,01
68,Свердловская область,5418,35,3141,1989,2015,01
69,Тюменская область,5279,24,3127,1804,2015,01
70,Ханты-Мансийский авт.округ-Югра,2376,13,1480,854,2015,01
71,Ямало-Hенецкий авт.округ,826,5,504,339,2015,01
73,Челябинская область,4412,27,2382,1560,2015,01
74,Сибирский федеральный округ,24490,175,14441,8534,2015,01
75,Республика Алтай,352,7,118,103,2015,01
76,Республика Бурятия,1427,10,878,360,2015,01
77,Республика Тыва,589,11,194,51,2015,01
78,Республика Хакасия,641,7,453,259,2015,01
79,Алтайский край,2637,15,1312,1016,2015,01
80,Забайкальский край,1367,8,951,446,2015,01
81,Красноярский край,3678,24,2379,1405,2015,01
82,Иркутская область,3425,26,2544,1253,2015,01
83,Кемеровская область,3014,22,1530,1121,2015,01
84,Новосибирская область,3455,22,1988,1201,2015,01
85,Омская область,2514,15,1377,860,2015,01
86,Томская область,1391,8,717,459,2015,01
87,Дальневосточный федеральный округ,7657,66,4755,3069,2015,01
88,Республика Саха (Якутия),1454,17,926,376,2015,01
89,Камчатский край,375,2,266,170,2015,01
90,Приморский край,2214,17,1281,922,2015,01
91,Хабаровский край,1652,12,967,712,2015,01
92,Амурская область,933,8,579,425,2015,01
93,Магаданская область,172,2,116,92,2015,01
94,Сахалинская область,605,2,431,273,2015,01
95,Еврейская автономная область,175,5,133,71,2015,01
96,Чукотский авт.округ,77,1,56,28,2015,01
97,Крымский федеральный округ,2724,16,1930,727,2015,01
