,region,birth,death_children,marriage,divorce,year,month
3,Российская Федерация,180373,1364,102743,63222,2013,01
4,Центральный федеральный округ,41692,290,25460,16899,2013,01
5,Белгородская область,1710,7,1067,706,2013,01
6,Брянская область,1250,16,737,611,2013,01
7,Владимирская область,1452,16,849,674,2013,01
8,Воронежская область,2440,13,1656,1188,2013,01
9,Ивановская область,1171,6,642,473,2013,01
10,Калужская область,1096,7,633,389,2013,01
11,Костромская область,727,4,466,323,2013,01
12,Курская область,1299,4,746,441,2013,01
13,Липецкая область,1286,10,771,572,2013,01
14,Московская область,8233,53,4991,3410,2013,01
15,Орловская область,834,5,493,305,2013,01
16,Рязанская область,1154,9,787,553,2013,01
17,Смоленская область,950,8,646,504,2013,01
18,Тамбовская область,981,7,653,476,2013,01
19,Тверская область,1487,12,827,571,2013,01
20,Тульская область,1379,10,842,706,2013,01
21,Ярославская область,1410,16,818,620,2013,01
22,г.Москва,12833,87,7836,4377,2013,01
23,Северо-Западный федеральный округ,15650,82,10564,6625,2013,01
24,Республика Карелия,703,7,520,311,2013,01
25,Республика Коми,1145,9,557,467,2013,01
26,Архангельская область,1369,4,751,589,2013,01
27,Hенецкий авт.округ,49,0,21,19,2013,01
28,Вологодская область,1501,14,738,478,2013,01
29,Калининградская область,1166,6,671,548,2013,01
30,Ленинградская область,1446,7,846,811,2013,01
31,Мурманская область,910,3,595,457,2013,01
32,Новгородская область,713,3,394,266,2013,01
33,Псковская область,696,3,440,299,2013,01
34,г.Санкт-Петербург,6001,26,5052,2399,2013,01
35,Южный федеральный округ,17581,125,12356,6307,2013,01
36,Республика Адыгея,570,2,335,178,2013,01
37,Республика Калмыкия,417,0,221,140,2013,01
38,Краснодарский край,7249,48,5404,2559,2013,01
39,Астраханская область,1609,12,966,518,2013,01
40,Волгоградская область,2763,23,1874,1191,2013,01
41,Ростовская область,4973,40,3556,1721,2013,01
42,Северо-Кавказский федеральный округ,15770,176,6530,2230,2013,01
43,Республика Дагестан,5409,59,2050,420,2013,01
44,Республика Ингушетия,842,11,197,35,2013,01
45,Кабардино-Балкарская Республика,1262,9,661,196,2013,01
46,Карачаево-Черкесская Республика,679,6,255,135,2013,01
47,Республика Северная Осетия- Алания,1067,7,454,182,2013,01
48,Чеченская Республика,3038,52,723,136,2013,01
49,Ставропольский край,3473,32,2190,1126,2013,01
50,Приволжский федеральный округ,37191,253,19479,12426,2013,01
51,Республика Башкортостан,5642,43,2734,1640,2013,01
52,Республика Марий Эл,926,5,421,307,2013,01
53,Республика Мордовия,798,4,488,310,2013,01
54,Республика Татарстан(Татарстан),5144,30,2558,1524,2013,01
55,Удмуртская Республика,2080,16,916,547,2013,01
56,Чувашская Республика(Чувашия),1528,6,676,413,2013,01
57,Пермский край,3530,29,1738,1094,2013,01
58,Кировская область,1553,8,839,623,2013,01
59,Hижегородская область,3751,27,2178,1282,2013,01
60,Оренбургская область,2821,34,1494,791,2013,01
61,Пензенская область,1472,8,810,674,2013,01
62,Самарская область,3731,16,2120,1378,2013,01
63,Саратовская область,2863,20,1719,1223,2013,01
64,Ульяновская область,1352,7,788,620,2013,01
65,Уральский федеральный округ,17505,119,9102,5998,2013,01
66,Курганская область,1193,14,644,434,2013,01
67,Свердловская область,5673,42,3090,2095,2013,01
68,Тюменская область,5731,38,2883,1916,2013,01
69,Ханты-Мансийский авт.округ-Югра,2657,18,1334,937,2013,01
70,Ямало-Hенецкий авт.округ,876,5,425,271,2013,01
71,Челябинская область,4908,25,2485,1553,2013,01
72,Сибирский федеральный округ,26544,210,14003,9402,2013,01
73,Республика Алтай,406,5,188,90,2013,01
74,Республика Бурятия,1614,10,684,292,2013,01
75,Республика Тыва,724,12,119,57,2013,01
76,Республика Хакасия,762,5,405,215,2013,01
77,Алтайский край,3015,33,1626,1246,2013,01
78,Забайкальский край,1554,8,850,478,2013,01
79,Красноярский край,3894,33,2143,1185,2013,01
80,Иркутская область,3428,30,1753,1296,2013,01
81,Кемеровская область,3425,28,1711,1425,2013,01
82,Новосибирская область,3607,23,2229,1496,2013,01
83,Омская область,2799,17,1613,1049,2013,01
84,Томская область,1316,6,682,573,2013,01
85,Дальневосточный федеральный округ,8440,109,5249,3335,2013,01
86,Республика Саха (Якутия),1654,17,622,409,2013,01
87,Камчатский край,392,5,304,190,2013,01
88,Приморский край,2433,34,1856,1103,2013,01
89,Хабаровский край,1861,29,1075,727,2013,01
90,Амурская область,1076,11,620,431,2013,01
91,Магаданская область,175,1,120,97,2013,01
92,Сахалинская область,592,5,480,269,2013,01
93,Еврейская автономная область,191,5,133,83,2013,01
94,Чукотский авт.округ,66,2,39,26,2013,01
