,region,birth,death_children,marriage,divorce,year,month
3,Российская Федерация,157904,1294,80145,62760,2013,11
4,Центральный федеральный округ,36401,279,19355,16559,2013,11
5,Белгородская область,1457,8,672,718,2013,11
6,Брянская область,1157,13,488,603,2013,11
7,Владимирская область,1339,15,662,713,2013,11
8,Воронежская область,2000,16,936,1105,2013,11
9,Ивановская область,953,3,499,513,2013,11
10,Калужская область,990,5,514,407,2013,11
11,Костромская область,684,5,350,355,2013,11
12,Курская область,1083,9,504,452,2013,11
13,Липецкая область,1107,3,408,521,2013,11
14,Московская область,7234,58,4111,3257,2013,11
15,Орловская область,730,7,393,299,2013,11
16,Рязанская область,952,11,433,484,2013,11
17,Смоленская область,883,9,522,525,2013,11
18,Тамбовская область,840,4,309,479,2013,11
19,Тверская область,1198,14,730,581,2013,11
20,Тульская область,1282,6,716,724,2013,11
21,Ярославская область,1318,7,646,633,2013,11
22,г.Москва,11194,86,6462,4190,2013,11
23,Северо-Западный федеральный округ,13901,79,8686,6911,2013,11
24,Республика Карелия,664,2,396,343,2013,11
25,Республика Коми,986,7,575,488,2013,11
26,Архангельская область,1299,11,768,673,2013,11
27,Hенецкий авт.округ,57,0,32,21,2013,11
28,Вологодская область,1379,9,688,566,2013,11
29,Калининградская область,981,8,564,580,2013,11
30,Ленинградская область,1378,10,825,783,2013,11
31,Мурманская область,752,5,577,408,2013,11
32,Новгородская область,757,4,364,316,2013,11
33,Псковская область,595,8,319,310,2013,11
34,г.Санкт-Петербург,5110,15,3610,2444,2013,11
35,Южный федеральный округ,14501,103,7001,5905,2013,11
36,Республика Адыгея,473,3,226,146,2013,11
37,Республика Калмыкия,312,4,135,101,2013,11
38,Краснодарский край,5849,25,3059,2371,2013,11
39,Астраханская область,1228,10,565,502,2013,11
40,Волгоградская область,2604,22,1061,1152,2013,11
41,Ростовская область,4035,39,1955,1633,2013,11
42,Северо-Кавказский федеральный округ,13542,204,5092,2106,2013,11
43,Республика Дагестан,4882,83,1927,448,2013,11
44,Республика Ингушетия,819,21,241,42,2013,11
45,Кабардино-Балкарская Республика,995,4,484,190,2013,11
46,Карачаево-Черкесская Республика,493,6,248,123,2013,11
47,Республика Северная Осетия- Алания,802,4,348,155,2013,11
48,Чеченская Республика,2695,63,670,110,2013,11
49,Ставропольский край,2856,23,1174,1038,2013,11
50,Приволжский федеральный округ,33199,245,14876,12235,2013,11
51,Республика Башкортостан,5052,34,2479,1663,2013,11
52,Республика Марий Эл,847,5,370,299,2013,11
53,Республика Мордовия,676,3,174,295,2013,11
54,Республика Татарстан(Татарстан),4737,36,2151,1278,2013,11
55,Удмуртская Республика,1845,10,844,581,2013,11
56,Чувашская Республика(Чувашия),1463,10,457,474,2013,11
57,Пермский край,3254,26,1646,1192,2013,11
58,Кировская область,1474,7,741,711,2013,11
59,Hижегородская область,3316,30,1244,1274,2013,11
60,Оренбургская область,2401,35,1008,828,2013,11
61,Пензенская область,1295,6,508,606,2013,11
62,Самарская область,3141,14,1537,1363,2013,11
63,Саратовская область,2462,17,1132,1111,2013,11
64,Ульяновская область,1236,12,585,560,2013,11
65,Уральский федеральный округ,15172,108,8164,6066,2013,11
66,Курганская область,1017,8,550,474,2013,11
67,Свердловская область,5228,34,2706,2204,2013,11
68,Тюменская область,4955,43,2806,1852,2013,11
69,Ханты-Мансийский авт.округ-Югра,2234,9,1305,868,2013,11
70,Ямало-Hенецкий авт.округ,762,18,468,296,2013,11
71,Челябинская область,3972,23,2102,1536,2013,11
72,Сибирский федеральный округ,23878,199,12528,9582,2013,11
73,Республика Алтай,353,7,109,113,2013,11
74,Республика Бурятия,1449,12,629,358,2013,11
75,Республика Тыва,709,8,157,67,2013,11
76,Республика Хакасия,725,12,367,245,2013,11
77,Алтайский край,2638,27,1367,1290,2013,11
78,Забайкальский край,1460,8,768,497,2013,11
79,Красноярский край,3488,35,2086,1279,2013,11
80,Иркутская область,2981,25,1646,1363,2013,11
81,Кемеровская область,3006,22,1559,1331,2013,11
82,Новосибирская область,3324,18,1836,1509,2013,11
83,Омская область,2417,16,1331,922,2013,11
84,Томская область,1328,9,673,608,2013,11
85,Дальневосточный федеральный округ,7310,77,4443,3396,2013,11
86,Республика Саха (Якутия),1421,13,745,387,2013,11
87,Камчатский край,340,3,287,196,2013,11
88,Приморский край,1997,18,1187,1017,2013,11
89,Хабаровский край,1611,14,986,771,2013,11
90,Амурская область,940,16,599,494,2013,11
91,Магаданская область,167,2,134,116,2013,11
92,Сахалинская область,565,6,336,282,2013,11
93,Еврейская автономная область,213,3,125,96,2013,11
94,Чукотский авт.округ,56,2,44,37,2013,11
