,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,156589,160444,1016,-3855,47334,49305
6,Центральный федеральный округ,38059,44239,231,-6180,14128,13140
7,Белгородская область,1415,1938,11,-523,610,541
8,Брянская область,1132,1721,8,-589,355,470
9,Владимирская область,1281,1983,4,-702,362,442
10,Воронежская область,2063,2970,11,-907,901,800
11,Ивановская область,974,1376,6,-402,309,357
12,Калужская область,1082,1266,7,-184,352,356
13,Костромская область,635,858,10,-223,178,242
14,Курская область,1060,1542,8,-482,467,399
15,Липецкая область,1111,1509,4,-398,354,465
16,Московская область,8014,7870,43,144,3029,2722
17,Орловская область,749,1094,2,-345,252,297
18,Рязанская область,979,1545,1,-566,393,353
19,Смоленская область,890,1307,5,-417,235,341
20,Тамбовская область,842,1436,4,-594,302,312
21,Тверская область,1153,1872,9,-719,427,443
22,Тульская область,1250,2169,9,-919,533,547
23,Ярославская область,1334,1689,3,-355,409,444
24,г.Москва,12095,10094,86,2001,4660,3609
25,Северо-Западный федеральный округ,14708,15281,89,-573,5209,5216
26,Республика Карелия,662,800,3,-138,182,248
27,Республика Коми,946,918,11,28,279,332
28,Архангельская область,1176,1351,10,-175,322,419
29,Hенецкий авт.округ,58,22,1,36,12,14
30,Архангельская область без автономии,1118,1329,9,-211,310,405
31,Вологодская область,1423,1479,11,-56,276,371
32,Калининградская область,999,1044,3,-45,344,413
33,Ленинградская область,1466,2095,3,-629,483,574
34,Мурманская область,686,756,1,-70,308,367
35,Новгородская область,619,903,3,-284,211,225
36,Псковская область,620,982,6,-362,192,207
37,г.Санкт-Петербург,6111,4953,38,1158,2612,2060
38,Южный федеральный округ,13440,15439,83,-1999,4750,4728
39,Республика Адыгея,417,556,2,-139,104,118
40,Республика Калмыкия,279,210,3,69,43,95
41,Краснодарский край,5449,5750,29,-301,2007,1939
42,Астраханская область,1184,1018,5,166,366,306
43,Волгоградская область,2285,2924,16,-639,805,838
44,Ростовская область,3826,4981,28,-1155,1425,1432
45,Северо-Кавказский федеральный округ,11989,6203,126,5786,3462,1777
46,Республика Дагестан,4106,1304,51,2802,1302,421
47,Республика Ингушетия,621,139,6,482,141,40
48,Кабардино-Балкарская Республика,970,574,4,396,266,181
49,Карачаево-Черкесская Республика,441,330,2,111,138,117
50,Республика Северная Осетия- Алания,748,567,5,181,181,138
51,Чеченская Республика,2378,539,31,1839,655,86
52,Ставропольский край,2725,2750,27,-25,779,794
53,Приволжский федеральный округ,32696,35262,212,-2566,8035,9406
54,Республика Башкортостан,4730,4650,34,80,924,1212
55,Республика Марий Эл,827,786,7,41,150,222
56,Республика Мордовия,637,967,4,-330,196,201
57,Республика Татарстан(Татарстан),4675,4015,23,660,1072,1102
58,Удмуртская Республика,1826,1673,13,153,336,457
59,Чувашская Республика(Чувашия),1460,1436,7,24,345,332
60,Пермский край,3323,3177,11,146,655,898
61,Кировская область,1469,1780,9,-311,309,439
62,Hижегородская область,3271,4336,33,-1065,1122,1151
63,Оренбургская область,2246,2239,15,7,531,733
64,Пензенская область,1213,1693,7,-480,359,408
65,Самарская область,3492,3917,19,-425,945,1105
66,Саратовская область,2289,3000,21,-711,673,763
67,Ульяновская область,1238,1593,9,-355,418,383
68,Уральский федеральный округ,14840,13054,66,1786,3856,4744
69,Курганская область,961,1174,3,-213,267,342
70,Свердловская область,5230,5185,23,45,1289,1577
71,Тюменская область,4897,2565,24,2332,1253,1569
72,Ханты-Мансийский авт.округ-Югра,2229,918,11,1311,602,776
73,Ямало-Hенецкий авт.округ,709,236,4,473,209,255
74,Тюменская область без автономии,1959,1411,9,548,442,538
75,Челябинская область,3752,4130,16,-378,1047,1256
76,Сибирский федеральный округ,22324,21629,159,695,5124,7105
77,Республика Алтай,327,178,4,149,59,70
78,Республика Бурятия,1281,957,10,324,162,294
79,Республика Тыва,617,248,11,369,76,37
80,Республика Хакасия,638,577,5,61,106,207
81,Алтайский край,2298,2923,15,-625,546,781
82,Забайкальский край,1371,1164,11,207,257,387
83,Красноярский край,3401,3142,30,259,877,1159
84,Иркутская область,3027,2720,18,307,733,890
85,Кемеровская область,2651,3270,15,-619,597,970
86,Новосибирская область,3228,3092,17,136,863,1176
87,Омская область,2247,2340,14,-93,553,728
88,Томская область,1238,1018,9,220,295,406
89,Дальневосточный федеральный округ,6479,6466,37,13,1959,2563
90,Республика Саха (Якутия),1210,655,6,555,254,350
91,Камчатский край,339,328,2,11,119,165
92,Приморский край,1890,2187,16,-297,606,774
93,Хабаровский край,1286,1472,5,-186,453,547
94,Амурская область,877,891,3,-14,235,334
95,Магаданская область,122,136,0,-14,47,97
96,Сахалинская область,559,550,2,9,172,219
97,Еврейская автономная область,144,203,2,-59,54,54
98,Чукотский авт.округ,52,44,1,8,19,23
99,Крымский федеральный округ,2054,2871,13,-817,811,626
100,Республика Крым,1662,2389,11,-727,611,476
101,г Севастополь,392,482,2,-90,200,150
