,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,147692,150748,937,-3056,58968,51921
6,Центральный федеральный округ,36439,41759,212,-5320,12792,13563
7,Белгородская область,1379,1702,7,-323,338,537
8,Брянская область,1013,1482,6,-469,225,446
9,Владимирская область,1224,1783,9,-559,331,481
10,Воронежская область,1901,2804,10,-903,513,840
11,Ивановская область,891,1296,7,-405,288,359
12,Калужская область,990,1171,9,-181,322,380
13,Костромская область,626,789,3,-163,173,224
14,Курская область,975,1450,6,-475,202,391
15,Липецкая область,990,1397,6,-407,191,343
16,Московская область,7895,7559,32,336,2766,2962
17,Орловская область,608,977,4,-369,158,241
18,Рязанская область,1016,1426,5,-410,236,406
19,Смоленская область,796,1241,7,-445,287,359
20,Тамбовская область,741,1280,6,-539,174,358
21,Тверская область,1180,1841,7,-661,499,441
22,Тульская область,1305,2059,9,-754,397,528
23,Ярославская область,1181,1598,4,-417,436,413
24,г.Москва,11728,9904,75,1824,5256,3854
25,Северо-Западный федеральный округ,14120,14309,65,-189,6559,5609
26,Республика Карелия,604,727,6,-123,242,211
27,Республика Коми,939,790,7,149,368,342
28,Архангельская область,1164,1229,3,-65,497,384
29,Hенецкий авт.округ,64,28,0,36,20,16
31,Вологодская область,1258,1349,7,-91,412,409
32,Калининградская область,942,1015,5,-73,516,417
33,Ленинградская область,1279,1915,8,-636,586,600
34,Мурманская область,742,633,2,109,460,392
35,Новгородская область,615,856,2,-241,268,249
36,Псковская область,569,845,6,-276,247,249
37,г.Санкт-Петербург,6008,4950,19,1058,2963,2356
38,Южный федеральный округ,13207,14685,67,-1478,5550,5275
39,Республика Адыгея,430,432,2,-2,163,145
40,Республика Калмыкия,282,206,1,76,158,75
41,Краснодарский край,5635,5732,31,-97,2555,2280
42,Астраханская область,1036,1009,3,27,485,358
43,Волгоградская область,2113,2752,13,-639,817,867
44,Ростовская область,3711,4554,17,-843,1372,1550
45,Северо-Кавказский федеральный округ,11365,6133,129,5232,4037,2041
46,Республика Дагестан,3878,1268,51,2610,1481,451
47,Республика Ингушетия,650,130,6,520,152,45
48,Кабардино-Балкарская Республика,882,674,10,208,451,225
49,Карачаево-Черкесская Республика,381,338,1,43,193,127
50,Республика Северная Осетия- Алания,750,567,3,183,292,159
51,Чеченская Республика,2065,577,31,1488,662,107
52,Ставропольский край,2759,2579,27,180,806,927
53,Приволжский федеральный округ,29083,32758,183,-3675,9780,9777
54,Республика Башкортостан,4424,4349,25,75,1735,1315
55,Республика Марий Эл,739,745,3,-6,162,191
56,Республика Мордовия,617,867,5,-250,113,233
57,Республика Татарстан(Татарстан),4330,3629,27,701,1605,1213
58,Удмуртская Республика,1550,1533,10,17,537,406
59,Чувашская Республика(Чувашия),1241,1316,4,-75,242,317
60,Пермский край,2763,2930,16,-167,1155,891
61,Кировская область,1200,1567,8,-367,435,424
62,Hижегородская область,2927,4059,20,-1132,699,1092
63,Оренбургская область,2072,2235,17,-163,699,741
64,Пензенская область,1065,1618,6,-553,265,414
65,Самарская область,3087,3655,17,-568,1007,1254
66,Саратовская область,2000,2786,16,-786,737,864
67,Ульяновская область,1068,1469,9,-401,389,422
68,Уральский федеральный округ,13446,12067,78,1379,6140,4981
69,Курганская область,810,1078,7,-268,421,332
70,Свердловская область,4624,4762,36,-138,2198,1613
71,Тюменская область,4466,2279,14,2187,1992,1692
72,Ханты-Мансийский авт.округ-Югра,2049,757,6,1292,935,840
73,Ямало-Hенецкий авт.округ,639,220,1,419,328,276
75,Челябинская область,3546,3948,21,-402,1529,1344
76,Сибирский федеральный округ,21361,20202,159,1159,9077,7338
77,Республика Алтай,324,185,5,139,79,71
78,Республика Бурятия,1311,919,11,392,475,320
79,Республика Тыва,605,255,4,350,128,35
80,Республика Хакасия,620,557,6,63,233,204
81,Алтайский край,2406,2665,20,-259,960,936
82,Забайкальский край,1283,1003,4,280,572,389
83,Красноярский край,3221,2821,18,400,1629,1180
84,Иркутская область,2835,2629,13,206,1262,976
85,Кемеровская область,2649,3179,22,-530,1075,1109
86,Новосибирская область,2990,2914,24,76,1284,1059
87,Омская область,2039,2129,21,-90,912,669
88,Томская область,1078,946,11,132,468,390
89,Дальневосточный федеральный округ,6374,6117,34,257,3704,2660
90,Республика Саха (Якутия),1207,636,9,571,625,362
91,Камчатский край,313,285,1,28,196,180
92,Приморский край,1761,2165,12,-404,1123,788
93,Хабаровский край,1411,1384,6,27,830,575
94,Амурская область,767,843,2,-76,397,352
95,Магаданская область,129,120,0,9,82,74
96,Сахалинская область,560,477,1,83,312,237
97,Еврейская автономная область,171,174,2,-3,111,75
98,Чукотский авт.округ,55,33,1,22,28,17
99,Крымский федеральный округ,2297,2718,10,-421,1329,677
100,Республика Крым,1826,2299,9,-473,1015,518
101,г Севастополь,471,419,1,52,314,159
