,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
5,Российская Федерация,165340,146874,875,18466,138733,50926,2016,07
6,Центральный федеральный округ,40185,41353,187,-1168,39471,13252,2016,07
7,Белгородская область,1523,1817,12,-294,1383,611,2016,07
8,Брянская область,1123,1459,7,-336,1216,475,2016,07
9,Владимирская область,1396,1783,9,-387,1522,466,2016,07
10,Воронежская область,2223,3164,8,-941,2204,783,2016,07
11,Ивановская область,1060,1302,7,-242,1069,389,2016,07
12,Калужская область,1095,1203,6,-108,1127,402,2016,07
13,Костромская область,666,744,4,-78,677,202,2016,07
14,Курская область,1011,1439,7,-428,1023,380,2016,07
15,Липецкая область,1162,1433,6,-271,1122,423,2016,07
16,Московская область,8573,7385,34,1188,7998,2793,2016,07
17,Орловская область,699,886,2,-187,729,260,2016,07
18,Рязанская область,1139,1463,4,-324,1126,379,2016,07
19,Смоленская область,871,1240,3,-369,965,351,2016,07
20,Тамбовская область,856,1380,2,-524,949,344,2016,07
21,Тверская область,1347,1746,7,-399,1253,483,2016,07
22,Тульская область,1253,1972,9,-719,1448,547,2016,07
23,Ярославская область,1263,1588,9,-325,1371,404,2016,07
24,г.Москва,12925,9349,51,3576,12289,3560,2016,07
25,Северо-Западный федеральный округ,15383,14105,58,1278,15112,5227,2016,07
26,Республика Карелия,682,731,3,-49,661,224,2016,07
27,Республика Коми,917,806,4,111,778,329,2016,07
28,Архангельская область,1228,1300,9,-72,1059,418,2016,07
29,Hенецкий авт.округ,85,42,0,43,25,10,2016,07
30,Архангельская область без автономии,1143,1258,9,-115,1034,408,2016,07
31,Вологодская область,1447,1417,11,30,1154,410,2016,07
32,Калининградская область,1048,914,2,134,1079,408,2016,07
33,Ленинградская область,1300,2005,3,-705,1246,557,2016,07
34,Мурманская область,732,662,4,70,617,319,2016,07
35,Новгородская область,632,854,3,-222,704,232,2016,07
36,Псковская область,622,892,3,-270,641,228,2016,07
37,г.Санкт-Петербург,6775,4524,16,2251,7173,2102,2016,07
38,Южный федеральный округ,18093,17572,85,521,12792,5855,2016,07
39,Республика Адыгея,450,450,1,0,259,146,2016,07
40,Республика Калмыкия,316,239,2,77,136,114,2016,07
41,Республика Крым,2071,2224,8,-153,1467,503,2016,07
42,Краснодарский край,6476,5649,25,827,4574,2155,2016,07
43,Астраханская область,1332,1001,4,331,732,368,2016,07
44,Волгоградская область,2550,2893,13,-343,1958,879,2016,07
45,Ростовская область,4447,4693,31,-246,3211,1538,2016,07
46,г Севастополь,451,423,1,28,455,152,2016,07
47,Северо-Кавказский федеральный округ,12937,5626,122,7311,5474,1910,2016,07
48,Республика Дагестан,4215,1078,41,3137,1579,397,2016,07
49,Республика Ингушетия,676,121,11,555,140,33,2016,07
50,Кабардино-Балкарская Республика,1052,572,10,480,474,195,2016,07
51,Карачаево-Черкесская Республика,476,362,6,114,213,108,2016,07
52,Республика Северная Осетия- Алания,859,583,6,276,375,164,2016,07
53,Чеченская Республика,2440,476,28,1964,733,105,2016,07
54,Ставропольский край,3219,2434,20,785,1960,908,2016,07
55,Приволжский федеральный округ,33722,31271,169,2451,28132,9828,2016,07
56,Республика Башкортостан,4822,4045,34,777,3983,1307,2016,07
57,Республика Марий Эл,832,685,1,147,546,224,2016,07
58,Республика Мордовия,720,911,3,-191,645,214,2016,07
59,Республика Татарстан(Татарстан),4949,3509,18,1440,3867,1115,2016,07
60,Удмуртская Республика,1819,1474,3,345,1296,438,2016,07
61,Чувашская Республика(Чувашия),1469,1266,7,203,1034,350,2016,07
62,Пермский край,3198,2816,19,382,2567,918,2016,07
63,Кировская область,1443,1406,6,37,1029,432,2016,07
64,Hижегородская область,3349,3789,20,-440,3387,1021,2016,07
65,Оренбургская область,2604,2161,6,443,1764,794,2016,07
66,Пензенская область,1220,1534,15,-314,1187,446,2016,07
67,Самарская область,3673,3461,17,212,3347,1216,2016,07
68,Саратовская область,2369,2813,16,-444,2173,918,2016,07
69,Ульяновская область,1255,1401,4,-146,1307,435,2016,07
70,Уральский федеральный округ,14936,11418,61,3518,12720,4933,2016,07
71,Курганская область,950,1006,5,-56,759,331,2016,07
72,Свердловская область,5035,4602,20,433,4782,1722,2016,07
73,Тюменская область,4940,2253,13,2687,3678,1540,2016,07
74,Ханты-Мансийский авт.округ-Югра,2216,773,5,1443,1738,738,2016,07
75,Ямало-Hенецкий авт.округ,678,199,0,479,464,215,2016,07
76,Тюменская область без автономии,2046,1281,8,765,1476,587,2016,07
77,Челябинская область,4011,3557,23,454,3501,1340,2016,07
78,Сибирский федеральный округ,23044,19568,148,3476,19229,7474,2016,07
79,Республика Алтай,378,163,3,215,215,81,2016,07
80,Республика Бурятия,1380,877,6,503,739,315,2016,07
81,Республика Тыва,595,248,7,347,249,50,2016,07
82,Республика Хакасия,713,564,4,149,535,195,2016,07
83,Алтайский край,2493,2582,15,-89,2349,908,2016,07
84,Забайкальский край,1314,1041,7,273,937,408,2016,07
85,Красноярский край,3294,2784,21,510,3062,1107,2016,07
86,Иркутская область,3068,2530,14,538,2552,1032,2016,07
87,Кемеровская область,2838,3027,15,-189,2513,1016,2016,07
88,Новосибирская область,3282,2751,28,531,3024,1114,2016,07
89,Омская область,2437,2047,21,390,1913,840,2016,07
90,Томская область,1252,954,7,298,1141,408,2016,07
91,Дальневосточный федеральный округ,7040,5961,45,1079,5803,2447,2016,07
92,Республика Саха (Якутия),1250,584,8,666,759,348,2016,07
93,Камчатский край,335,270,3,65,306,145,2016,07
94,Приморский край,2041,1989,9,52,1936,688,2016,07
95,Хабаровский край,1538,1355,15,183,1280,583,2016,07
96,Амурская область,896,900,5,-4,739,324,2016,07
97,Магаданская область,124,128,0,-4,138,58,2016,07
98,Сахалинская область,618,489,3,129,480,208,2016,07
99,Еврейская автономная область,193,194,2,-1,128,68,2016,07
100,Чукотский авт.округ,45,52,0,-7,37,25,2016,07
