,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
5,Российская Федерация,165872,156514,959,9358,114936,50155,2016,06
6,Центральный федеральный округ,40928,43527,216,-2599,32717,13139,2016,06
7,Белгородская область,1531,1886,7,-355,1273,572,2016,06
8,Брянская область,1211,1566,13,-355,956,479,2016,06
9,Владимирская область,1372,1983,8,-611,1124,430,2016,06
10,Воронежская область,2094,2999,8,-905,1767,806,2016,06
11,Ивановская область,1019,1310,4,-291,812,361,2016,06
12,Калужская область,1077,1272,8,-195,853,360,2016,06
13,Костромская область,719,847,3,-128,499,228,2016,06
14,Курская область,1096,1600,5,-504,843,420,2016,06
15,Липецкая область,1143,1461,6,-318,993,390,2016,06
16,Московская область,8903,7778,34,1125,6744,2837,2016,06
17,Орловская область,734,1068,6,-334,548,252,2016,06
18,Рязанская область,1238,1543,6,-305,904,432,2016,06
19,Смоленская область,831,1313,3,-482,771,361,2016,06
20,Тамбовская область,907,1364,4,-457,793,368,2016,06
21,Тверская область,1370,1911,15,-541,943,489,2016,06
22,Тульская область,1409,2261,6,-852,1226,501,2016,06
23,Ярославская область,1362,1655,8,-293,1032,396,2016,06
24,г.Москва,12912,9710,72,3202,10636,3457,2016,06
25,Северо-Западный федеральный округ,15417,14577,69,840,12238,5050,2016,06
26,Республика Карелия,707,730,5,-23,502,212,2016,06
27,Республика Коми,1023,871,5,152,605,343,2016,06
28,Архангельская область,1280,1290,4,-10,864,393,2016,06
29,Hенецкий авт.округ,51,27,0,24,22,14,2016,06
30,Архангельская область без автономии,1229,1263,4,-34,842,379,2016,06
31,Вологодская область,1462,1504,8,-42,855,365,2016,06
32,Калининградская область,1023,951,5,72,838,420,2016,06
33,Ленинградская область,1491,2021,5,-530,952,632,2016,06
34,Мурманская область,748,697,2,51,557,315,2016,06
35,Новгородская область,635,861,4,-226,538,221,2016,06
36,Псковская область,685,1008,4,-323,454,236,2016,06
37,г.Санкт-Петербург,6363,4644,27,1719,6073,1913,2016,06
38,Южный федеральный округ,14287,15534,84,-1247,10574,5003,2016,06
39,Республика Адыгея,424,495,2,-71,273,155,2016,06
40,Республика Калмыкия,297,244,1,53,165,86,2016,06
41,Краснодарский край,5884,5709,23,175,4561,2023,2016,06
42,Астраханская область,1099,1005,10,94,601,372,2016,06
43,Волгоградская область,2477,3035,17,-558,1765,856,2016,06
44,Ростовская область,4106,5046,31,-940,3209,1511,2016,06
45,Северо-Кавказский федеральный округ,12265,6112,117,6153,4866,1954,2016,06
46,Республика Дагестан,4063,1222,37,2841,1247,384,2016,06
47,Республика Ингушетия,549,91,9,458,127,29,2016,06
48,Кабардино-Балкарская Республика,1041,595,7,446,353,228,2016,06
49,Карачаево-Черкесская Республика,481,383,3,98,197,127,2016,06
50,Республика Северная Осетия- Алания,769,610,7,159,355,150,2016,06
51,Чеченская Республика,2329,537,29,1792,679,112,2016,06
52,Ставропольский край,3033,2674,25,359,1908,924,2016,06
53,Приволжский федеральный округ,34502,33855,178,647,22324,9482,2016,06
54,Республика Башкортостан,5040,4299,35,741,2863,1284,2016,06
55,Республика Марий Эл,908,828,4,80,435,208,2016,06
56,Республика Мордовия,720,982,3,-262,597,228,2016,06
57,Республика Татарстан(Татарстан),5087,3705,24,1382,2718,1066,2016,06
58,Удмуртская Республика,1876,1641,10,235,1085,438,2016,06
59,Чувашская Республика(Чувашия),1476,1416,5,60,807,356,2016,06
60,Пермский край,3341,2918,18,423,2025,926,2016,06
61,Кировская область,1477,1658,4,-181,886,396,2016,06
62,Hижегородская область,3454,4097,20,-643,2929,1022,2016,06
63,Оренбургская область,2480,2325,10,155,1637,726,2016,06
64,Пензенская область,1265,1701,7,-436,965,424,2016,06
65,Самарская область,3536,3765,16,-229,2679,1136,2016,06
66,Саратовская область,2520,2927,13,-407,1717,848,2016,06
67,Ульяновская область,1322,1593,9,-271,981,424,2016,06
68,Уральский федеральный округ,15606,12412,79,3194,10502,4944,2016,06
69,Курганская область,952,1067,10,-115,598,364,2016,06
70,Свердловская область,5282,5056,27,226,3744,1631,2016,06
71,Тюменская область,5048,2397,22,2651,3343,1616,2016,06
72,Ханты-Мансийский авт.округ-Югра,2282,804,8,1478,1614,788,2016,06
73,Ямало-Hенецкий авт.округ,725,225,5,500,415,246,2016,06
74,Тюменская область без автономии,2041,1368,9,673,1314,582,2016,06
75,Челябинская область,4324,3892,20,432,2817,1333,2016,06
76,Сибирский федеральный округ,23658,21041,148,2617,15003,7309,2016,06
77,Республика Алтай,359,174,4,185,133,76,2016,06
78,Республика Бурятия,1388,973,8,415,618,292,2016,06
79,Республика Тыва,585,270,7,315,143,42,2016,06
80,Республика Хакасия,678,595,2,83,420,212,2016,06
81,Алтайский край,2635,2877,19,-242,1646,910,2016,06
82,Забайкальский край,1311,1080,12,231,768,443,2016,06
83,Красноярский край,3599,2943,25,656,2343,1159,2016,06
84,Иркутская область,3067,2722,19,345,1981,985,2016,06
85,Кемеровская область,2923,3263,17,-340,1946,1010,2016,06
86,Новосибирская область,3472,3003,21,469,2540,1056,2016,06
87,Омская область,2306,2121,8,185,1548,757,2016,06
88,Томская область,1335,1020,6,315,917,367,2016,06
89,Дальневосточный федеральный округ,6932,6470,57,462,4908,2651,2016,06
90,Республика Саха (Якутия),1314,676,10,638,671,337,2016,06
91,Камчатский край,387,295,4,92,257,167,2016,06
92,Приморский край,1975,2164,19,-189,1501,797,2016,06
93,Хабаровский край,1458,1460,16,-2,1098,614,2016,06
94,Амурская область,826,951,2,-125,706,362,2016,06
95,Магаданская область,150,132,2,18,124,81,2016,06
96,Сахалинская область,576,538,0,38,386,211,2016,06
97,Еврейская автономная область,194,213,3,-19,128,56,2016,06
98,Чукотский авт.округ,52,41,1,11,37,26,2016,06
99,Крымский федеральный округ,2277,2986,11,-709,1804,623,2016,06
100,Республика Крым,1829,2502,9,-673,1340,457,2016,06
101,г Севастополь,448,484,2,-36,464,166,2016,06
