,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
5,Российская Федерация,167141,166307,1034,834,64867,55627,2016,03
6,Центральный федеральный округ,40209,45047,249,-4838,16392,14643,2016,03
7,Белгородская область,1518,1959,17,-441,556,631,2016,03
8,Брянская область,1222,1680,7,-458,446,510,2016,03
9,Владимирская область,1425,1904,10,-479,554,486,2016,03
10,Воронежская область,2381,3093,16,-712,845,848,2016,03
11,Ивановская область,997,1552,8,-555,407,368,2016,03
12,Калужская область,1084,1300,7,-216,420,420,2016,03
13,Костромская область,703,842,4,-139,250,211,2016,03
14,Курская область,1104,1588,4,-484,455,500,2016,03
15,Липецкая область,1183,1506,9,-323,448,458,2016,03
16,Московская область,8480,8095,40,385,3632,3077,2016,03
17,Орловская область,724,1089,4,-365,281,315,2016,03
18,Рязанская область,1156,1562,7,-406,475,458,2016,03
19,Смоленская область,854,1328,10,-474,309,392,2016,03
20,Тамбовская область,838,1416,7,-578,354,363,2016,03
21,Тверская область,1354,2034,13,-680,584,484,2016,03
22,Тульская область,1408,2141,6,-733,609,553,2016,03
23,Ярославская область,1370,1737,9,-367,478,532,2016,03
24,г.Москва,12408,10221,71,2187,5289,4037,2016,03
25,Северо-Западный федеральный округ,15141,16022,70,-881,6791,5870,2016,03
26,Республика Карелия,655,812,5,-157,269,250,2016,03
27,Республика Коми,1043,999,3,44,428,425,2016,03
28,Архангельская область,1327,1454,4,-127,513,451,2016,03
29,Hенецкий авт.округ,70,50,0,20,18,20,2016,03
31,Вологодская область,1395,1504,9,-109,461,434,2016,03
32,Калининградская область,1096,1059,11,37,461,437,2016,03
33,Ленинградская область,1453,2079,5,-626,624,694,2016,03
34,Мурманская область,771,836,3,-65,528,427,2016,03
35,Новгородская область,608,890,1,-282,284,261,2016,03
36,Псковская область,614,993,7,-379,279,217,2016,03
37,г.Санкт-Петербург,6179,5396,22,783,2944,2274,2016,03
38,Южный федеральный округ,15155,16388,86,-1233,5977,5516,2016,03
39,Республика Адыгея,482,496,2,-14,166,162,2016,03
40,Республика Калмыкия,304,224,1,80,80,85,2016,03
41,Краснодарский край,6262,6307,35,-45,2598,2283,2016,03
42,Астраханская область,1271,1107,7,164,459,357,2016,03
43,Волгоградская область,2574,3056,12,-482,958,988,2016,03
44,Ростовская область,4262,5198,29,-936,1716,1641,2016,03
45,Северо-Кавказский федеральный округ,13285,7027,123,6258,4220,2068,2016,03
46,Республика Дагестан,4592,1451,49,3141,1481,441,2016,03
47,Республика Ингушетия,686,131,3,555,158,41,2016,03
48,Кабардино-Балкарская Республика,1025,691,9,334,300,213,2016,03
49,Карачаево-Черкесская Республика,513,408,7,105,187,136,2016,03
50,Республика Северная Осетия- Алания,885,725,6,160,273,162,2016,03
51,Чеченская Республика,2418,590,21,1828,718,103,2016,03
52,Ставропольский край,3166,3031,28,135,1103,972,2016,03
53,Приволжский федеральный округ,33424,35089,194,-1665,11985,10592,2016,03
54,Республика Башкортостан,5001,4571,36,430,1663,1447,2016,03
55,Республика Марий Эл,850,778,1,72,238,199,2016,03
56,Республика Мордовия,697,1059,3,-362,282,225,2016,03
57,Республика Татарстан(Татарстан),4873,3820,26,1053,1657,1216,2016,03
58,Удмуртская Республика,1851,1693,8,158,598,480,2016,03
59,Чувашская Республика(Чувашия),1459,1360,2,99,424,380,2016,03
60,Пермский край,3228,3099,20,129,1195,964,2016,03
61,Кировская область,1343,1598,7,-255,530,482,2016,03
62,Hижегородская область,3482,4382,24,-900,1355,1313,2016,03
63,Оренбургская область,2372,2415,16,-43,844,743,2016,03
64,Пензенская область,1178,1725,5,-547,500,459,2016,03
65,Самарская область,3333,3950,18,-617,1288,1258,2016,03
66,Саратовская область,2434,3018,14,-584,895,984,2016,03
67,Ульяновская область,1323,1621,14,-298,516,442,2016,03
68,Уральский федеральный округ,15470,13059,90,2411,6128,5326,2016,03
69,Курганская область,888,1147,6,-259,351,349,2016,03
70,Свердловская область,5180,5105,32,75,2175,1739,2016,03
71,Тюменская область,5028,2531,27,2497,2074,1718,2016,03
72,Ханты-Мансийский авт.округ-Югра,2229,853,12,1376,977,767,2016,03
73,Ямало-Hенецкий авт.округ,803,252,2,551,387,331,2016,03
75,Челябинская область,4374,4276,25,98,1528,1520,2016,03
76,Сибирский федеральный округ,24230,23153,158,1077,9178,7954,2016,03
77,Республика Алтай,353,200,2,153,99,78,2016,03
78,Республика Бурятия,1447,907,10,540,428,326,2016,03
79,Республика Тыва,631,272,6,359,127,52,2016,03
80,Республика Хакасия,639,678,7,-39,242,250,2016,03
81,Алтайский край,2542,3017,21,-475,899,871,2016,03
82,Забайкальский край,1429,1282,8,147,618,439,2016,03
83,Красноярский край,3781,3334,18,447,1487,1292,2016,03
84,Иркутская область,3157,3077,21,80,1246,1092,2016,03
85,Кемеровская область,3173,3732,21,-559,1130,1112,2016,03
86,Новосибирская область,3418,3198,25,220,1385,1219,2016,03
87,Омская область,2411,2402,15,9,998,812,2016,03
88,Томская область,1249,1054,4,195,519,411,2016,03
89,Дальневосточный федеральный округ,7717,7304,46,413,3134,2924,2016,03
90,Республика Саха (Якутия),1404,761,5,643,484,403,2016,03
91,Камчатский край,370,333,1,37,200,165,2016,03
92,Приморский край,2274,2534,17,-260,908,909,2016,03
93,Хабаровский край,1672,1635,7,37,625,670,2016,03
94,Амурская область,953,984,5,-31,409,357,2016,03
95,Магаданская область,162,165,1,-3,68,77,2016,03
96,Сахалинская область,603,619,2,-16,307,245,2016,03
97,Еврейская автономная область,202,230,4,-28,98,63,2016,03
98,Чукотский авт.округ,77,43,4,34,35,35,2016,03
99,Крымский федеральный округ,2510,3218,18,-708,1062,734,2016,03
100,Республика Крым,1989,2687,15,-698,822,543,2016,03
101,г Севастополь,521,531,3,-10,240,191,2016,03
