,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,149012,156779,964,-7767,55748,46169
6,Центральный федеральный округ,35333,43681,226,-8348,14981,11617
7,Белгородская область,1242,1779,12,-537,535,505
8,Брянская область,1122,1636,10,-514,437,470
9,Владимирская область,1253,1886,6,-633,466,457
10,Воронежская область,1904,2956,13,-1052,789,631
11,Ивановская область,832,1333,10,-501,335,306
12,Калужская область,914,1248,5,-334,352,333
13,Костромская область,666,886,5,-220,253,242
14,Курская область,943,1531,6,-588,414,352
15,Липецкая область,1014,1435,18,-421,429,358
16,Московская область,7259,7842,45,-583,3279,2435
17,Орловская область,663,1060,6,-397,245,238
18,Рязанская область,978,1435,4,-457,396,346
19,Смоленская область,786,1368,7,-582,338,349
20,Тамбовская область,831,1388,3,-557,338,316
21,Тверская область,1143,1969,5,-826,498,424
22,Тульская область,1202,2060,9,-858,470,459
23,Ярославская область,1202,1666,4,-464,463,429
24,г.Москва,11379,10203,58,1176,4944,2967
25,Северо-Западный федеральный округ,13418,15576,71,-2158,5893,4875
26,Республика Карелия,588,750,4,-162,249,241
27,Республика Коми,884,885,7,-1,369,342
28,Архангельская область,1049,1239,1,-190,467,374
29,Hенецкий авт.округ,60,33,0,27,13,17
30,Архангельская область без автономии,989,1206,1,-217,454,357
31,Вологодская область,1268,1460,9,-192,427,361
32,Калининградская область,951,1055,2,-104,428,444
33,Ленинградская область,1346,2226,6,-880,466,584
34,Мурманская область,681,775,4,-94,427,291
35,Новгородская область,582,928,4,-346,272,207
36,Псковская область,526,973,6,-447,209,218
37,г.Санкт-Петербург,5543,5285,28,258,2579,1813
38,Южный федеральный округ,13465,15279,64,-1814,4487,4567
39,Республика Адыгея,438,498,0,-60,122,121
40,Республика Калмыкия,260,226,1,34,65,76
41,Краснодарский край,5790,5878,28,-88,1854,1947
42,Астраханская область,1098,929,3,169,326,300
43,Волгоградская область,2192,2850,13,-658,820,768
44,Ростовская область,3687,4898,19,-1211,1300,1355
45,Северо-Кавказский федеральный округ,12977,6644,124,6333,3507,1815
46,Республика Дагестан,4349,1551,44,2798,1113,389
47,Республика Ингушетия,730,128,6,602,151,43
48,Кабардино-Балкарская Республика,1003,662,11,341,251,207
49,Карачаево-Черкесская Республика,488,388,7,100,170,125
50,Республика Северная Осетия- Алания,811,650,6,161,242,134
51,Чеченская Республика,2859,523,25,2336,687,98
52,Ставропольский край,2737,2742,25,-5,893,819
53,Приволжский федеральный округ,29931,32458,186,-2527,10553,8891
54,Республика Башкортостан,4354,4097,25,257,1388,1155
55,Республика Марий Эл,758,731,6,27,248,211
56,Республика Мордовия,617,950,5,-333,269,198
57,Республика Татарстан(Татарстан),4279,3595,34,684,1391,1093
58,Удмуртская Республика,1826,1587,12,239,490,399
59,Чувашская Республика(Чувашия),1342,1297,4,45,428,352
60,Пермский край,3023,3014,20,9,1168,872
61,Кировская область,1336,1664,8,-328,486,468
62,Hижегородская область,3082,4263,16,-1181,1219,1016
63,Оренбургская область,1956,2026,11,-70,719,639
64,Пензенская область,1018,1495,5,-477,431,361
65,Самарская область,3124,3474,19,-350,1051,1022
66,Саратовская область,2152,2697,12,-545,818,744
67,Ульяновская область,1064,1568,9,-504,447,361
68,Уральский федеральный округ,13904,12662,76,1242,5152,4622
69,Курганская область,894,1216,4,-322,306,281
70,Свердловская область,4946,5108,29,-162,1816,1664
71,Тюменская область,4520,2431,23,2089,1710,1468
72,Ханты-Мансийский авт.округ-Югра,1978,824,5,1154,804,719
73,Ямало-Hенецкий авт.округ,686,223,5,463,282,253
74,Тюменская область без автономии,1856,1384,13,472,624,496
75,Челябинская область,3544,3907,20,-363,1320,1209
76,Сибирский федеральный округ,21394,21375,151,19,7554,6765
77,Республика Алтай,303,160,2,143,65,88
78,Республика Бурятия,1287,916,8,371,379,266
79,Республика Тыва,614,244,8,370,105,43
80,Республика Хакасия,624,615,11,9,193,186
81,Алтайский край,2299,2777,10,-478,799,816
82,Забайкальский край,1256,1159,9,97,457,413
83,Красноярский край,3186,3132,16,54,1214,1058
84,Иркутская область,2930,2675,18,255,1035,908
85,Кемеровская область,2496,3114,25,-618,971,908
86,Новосибирская область,3020,3167,14,-147,1186,1036
87,Омская область,2094,2178,18,-84,729,661
88,Томская область,1285,1238,12,47,421,382
89,Дальневосточный федеральный округ,6496,6241,53,255,2717,2442
90,Республика Саха (Якутия),1160,613,15,547,424,355
91,Камчатский край,299,309,4,-10,164,147
92,Приморский край,1838,2101,13,-263,796,670
93,Хабаровский край,1429,1342,7,87,580,556
94,Амурская область,816,923,10,-107,355,323
95,Магаданская область,144,139,1,5,62,71
96,Сахалинская область,565,554,0,11,243,220
97,Еврейская автономная область,195,230,3,-35,71,76
98,Чукотский авт.округ,50,30,0,20,22,24
99,Крымский федеральный округ,2094,2863,13,-769,904,575
100,Республика Крым,1707,2368,12,-661,702,474
101,г Севастополь,387,495,1,-108,202,101
