,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,152816,150667,854,2149,82752,50074
6,Центральный федеральный округ,36906,42650,190,-5744,21207,12989
7,Белгородская область,1367,1627,8,-260,806,537
8,Брянская область,1138,1494,2,-356,586,472
9,Владимирская область,1223,1834,8,-611,671,513
10,Воронежская область,1867,2674,13,-807,1241,810
11,Ивановская область,864,1283,1,-419,432,342
12,Калужская область,952,1265,7,-313,573,331
13,Костромская область,661,821,1,-160,275,229
14,Курская область,937,1401,4,-464,538,392
15,Липецкая область,1053,1368,6,-315,610,430
16,Московская область,7848,7867,31,-19,4447,2776
17,Орловская область,660,1055,5,-395,370,275
18,Рязанская область,991,1431,7,-440,629,378
19,Смоленская область,803,1263,5,-460,462,352
20,Тамбовская область,813,1354,5,-541,499,350
21,Тверская область,1143,1875,6,-732,718,441
22,Тульская область,1153,2081,4,-928,762,504
23,Ярославская область,1260,1624,4,-364,589,435
24,г.Москва,12173,10333,73,1840,6999,3422
25,Северо-Западный федеральный округ,13977,14591,63,-614,8682,5383
26,Республика Карелия,636,742,6,-106,281,268
27,Республика Коми,926,857,4,69,413,347
28,Архангельская область,1104,1151,5,-47,515,404
29,Hенецкий авт.округ,62,30,0,32,18,13
31,Вологодская область,1192,1434,8,-242,492,389
32,Калининградская область,930,955,3,-25,580,424
33,Ленинградская область,1320,1971,5,-651,786,650
34,Мурманская область,679,695,3,-16,515,339
35,Новгородская область,559,838,3,-279,311,248
36,Псковская область,578,872,8,-294,333,241
37,г.Санкт-Петербург,6053,5076,18,977,4456,2073
38,Южный федеральный округ,16454,17128,77,-674,12042,5694
39,Республика Адыгея,411,424,1,-13,284,137
40,Республика Калмыкия,288,216,1,72,153,82
41,Республика Крым,1921,2187,5,-266,1580,586
42,Краснодарский край,5968,5547,30,421,4682,2054
43,Астраханская область,1185,979,10,206,740,380
44,Волгоградская область,2282,2666,11,-384,1426,850
45,Ростовская область,3934,4639,17,-705,2758,1439
47,Северо-Кавказский федеральный округ,13327,6070,118,7257,5235,1794
48,Республика Дагестан,4538,1174,45,3364,1457,369
49,Республика Ингушетия,703,171,7,532,143,21
50,Кабардино-Балкарская Республика,1021,569,3,452,600,207
51,Карачаево-Черкесская Республика,453,321,5,132,236,107
52,Республика Северная Осетия- Алания,814,590,3,224,364,134
53,Чеченская Республика,2808,625,28,2183,749,92
54,Ставропольский край,2990,2620,27,370,1686,864
55,Приволжский федеральный округ,30215,31801,166,-1586,13885,9746
56,Республика Башкортостан,4321,3904,18,417,1890,1300
57,Республика Марий Эл,737,731,4,6,284,246
58,Республика Мордовия,595,905,4,-310,309,226
59,Республика Татарстан(Татарстан),4320,3580,23,740,1819,1096
60,Удмуртская Республика,1666,1552,9,114,588,436
61,Чувашская Республика(Чувашия),1360,1342,3,18,489,354
62,Пермский край,3124,2892,14,232,1238,941
63,Кировская область,1361,1566,8,-205,510,451
64,Hижегородская область,3104,3980,20,-876,1440,1075
65,Оренбургская область,2015,1997,13,18,1013,695
66,Пензенская область,1089,1546,9,-457,681,465
67,Самарская область,3278,3565,18,-287,1726,1196
68,Саратовская область,2096,2798,15,-702,1288,868
69,Ульяновская область,1149,1443,8,-294,610,397
70,Уральский федеральный округ,13879,12274,79,1605,6819,5025
71,Курганская область,827,1102,6,-275,426,329
72,Свердловская область,4925,4936,17,-11,2187,1734
73,Тюменская область,4443,2419,28,2024,2248,1661
74,Ханты-Мансийский авт.округ-Югра,2029,802,8,1227,1019,860
75,Ямало-Hенецкий авт.округ,593,237,7,356,397,222
77,Челябинская область,3684,3817,28,-133,1958,1301
78,Сибирский федеральный округ,21275,19803,120,1472,10500,6950
79,Республика Алтай,252,156,3,96,140,75
80,Республика Бурятия,1366,923,10,443,483,300
81,Республика Тыва,644,276,7,368,88,42
82,Республика Хакасия,621,540,4,81,292,208
83,Алтайский край,2256,2655,13,-399,1125,804
84,Забайкальский край,1372,1101,8,271,621,385
85,Красноярский край,3153,2836,16,317,1635,1084
86,Иркутская область,2814,2459,17,355,1426,947
87,Кемеровская область,2524,2901,18,-377,1380,959
88,Новосибирская область,2951,2961,14,-10,1664,1085
89,Омская область,2141,2024,7,117,1087,659
90,Томская область,1181,971,3,210,559,402
91,Дальневосточный федеральный округ,6783,6350,41,433,4382,2493
92,Республика Саха (Якутия),1332,631,13,701,470,326
93,Камчатский край,331,315,4,16,266,148
94,Приморский край,1894,2141,9,-247,1610,758
95,Хабаровский край,1475,1453,7,22,950,518
96,Амурская область,868,948,3,-80,481,347
97,Магаданская область,116,101,0,15,105,65
98,Сахалинская область,530,502,1,28,373,255
99,Еврейская автономная область,186,220,4,-34,97,55
100,Чукотский авт.округ,51,39,0,12,30,21
