,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
3,Российская Федерация,142052,169771,993,-27719,48523,43550,2016,01
4,Центральный федеральный округ,33181,48570,217,-15389,13118,11401,2016,01
5,Белгородская область,1280,1892,6,-612,438,455,2016,01
6,Брянская область,992,1779,14,-787,353,379,2016,01
7,Владимирская область,1221,2118,12,-897,439,394,2016,01
8,Воронежская область,1814,3203,10,-1389,737,708,2016,01
9,Ивановская область,805,1543,7,-738,308,292,2016,01
10,Калужская область,920,1434,10,-514,354,333,2016,01
11,Костромская область,558,923,6,-365,170,205,2016,01
12,Курская область,931,1622,8,-691,359,355,2016,01
13,Липецкая область,937,1550,10,-613,375,325,2016,01
14,Московская область,6691,8935,24,-2244,2899,2434,2016,01
15,Орловская область,656,1026,10,-370,202,213,2016,01
16,Рязанская область,922,1587,8,-665,359,334,2016,01
17,Смоленская область,717,1452,5,-735,259,330,2016,01
18,Тамбовская область,767,1551,2,-784,278,273,2016,01
19,Тверская область,1060,2142,11,-1082,427,386,2016,01
20,Тульская область,1148,2394,3,-1246,479,461,2016,01
21,Ярославская область,1092,1746,8,-654,350,391,2016,01
22,г.Москва,10670,11673,63,-1003,4332,3133,2016,01
23,Северо-Западный федеральный округ,12816,17346,72,-4530,4934,4683,2016,01
24,Республика Карелия,554,846,3,-292,179,195,2016,01
25,Республика Коми,876,891,3,-15,268,315,2016,01
26,Архангельская область,1082,1418,11,-336,380,415,2016,01
27,Hенецкий авт.округ,58,37,0,21,16,15,2016,01
28,Архангельская область без автономии,1024,1381,11,-357,364,400,2016,01
29,Вологодская область,1104,1741,8,-637,353,344,2016,01
30,Калининградская область,886,1139,4,-253,334,407,2016,01
31,Ленинградская область,1139,2295,7,-1156,503,481,2016,01
32,Мурманская область,690,789,7,-99,324,300,2016,01
33,Новгородская область,527,982,2,-455,195,183,2016,01
34,Псковская область,517,1170,0,-653,171,201,2016,01
35,г.Санкт-Петербург,5441,6075,27,-634,2227,1842,2016,01
36,Южный федеральный округ,13404,17187,103,-3783,4244,4355,2016,01
37,Республика Адыгея,441,563,4,-122,99,106,2016,01
38,Республика Калмыкия,293,237,4,56,66,77,2016,01
39,Краснодарский край,5748,6710,39,-962,1832,1819,2016,01
