,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,155082,156836,971,-1754,64092,52737
6,Центральный федеральный округ,37427,43107,210,-5680,16157,14105
7,Белгородская область,1463,1725,8,-262,551,602
8,Брянская область,1023,1585,11,-562,496,551
9,Владимирская область,1250,1813,8,-563,504,486
10,Воронежская область,2125,2979,4,-854,910,908
11,Ивановская область,876,1392,2,-516,417,348
12,Калужская область,1022,1210,4,-188,413,374
13,Костромская область,620,812,5,-192,268,210
14,Курская область,1014,1466,7,-452,428,466
15,Липецкая область,1096,1479,8,-383,488,443
16,Московская область,8002,7691,37,311,3587,2983
17,Орловская область,688,1011,5,-323,262,278
18,Рязанская область,1044,1487,6,-443,489,483
19,Смоленская область,825,1279,4,-454,380,368
20,Тамбовская область,844,1394,1,-550,384,346
21,Тверская область,1118,1878,13,-760,534,453
22,Тульская область,1260,2118,15,-858,589,530
23,Ярославская область,1244,1602,6,-358,461,423
24,г.Москва,11913,10186,66,1727,4996,3853
25,Северо-Западный федеральный округ,13826,15386,64,-1560,6776,5473
26,Республика Карелия,541,786,3,-245,293,228
27,Республика Коми,867,893,3,-26,363,341
28,Архангельская область,1140,1374,6,-234,480,448
29,Hенецкий авт.округ,82,33,0,49,17,21
30,Архангельская область без автономии,1058,1341,6,-283,463,427
31,Вологодская область,1145,1439,8,-294,384,360
32,Калининградская область,1022,1037,2,-15,441,441
33,Ленинградская область,1343,2051,7,-708,634,676
34,Мурманская область,708,701,3,7,418,364
35,Новгородская область,583,871,4,-288,343,250
36,Псковская область,635,974,1,-339,254,232
37,г.Санкт-Петербург,5842,5260,27,582,3166,2133
38,Южный федеральный округ,17452,18804,95,-1352,7677,6183
39,Республика Адыгея,496,473,2,23,178,141
40,Республика Калмыкия,287,229,3,58,78,79
41,Республика Крым,2002,2490,6,-488,1013,574
42,Краснодарский край,6236,6179,33,57,2884,2160
43,Астраханская область,1267,1064,10,203,481,363
44,Волгоградская область,2419,2968,8,-549,996,969
45,Ростовская область,4258,4904,31,-646,1782,1704
47,Северо-Кавказский федеральный округ,13858,6711,138,7147,4474,1993
48,Республика Дагестан,4850,1416,55,3434,1541,381
49,Республика Ингушетия,729,127,8,602,157,36
50,Кабардино-Балкарская Республика,964,643,6,321,377,223
51,Карачаево-Черкесская Республика,494,382,7,112,202,127
52,Республика Северная Осетия- Алания,858,659,8,199,317,160
53,Чеченская Республика,2774,563,19,2211,692,123
54,Ставропольский край,3189,2921,35,268,1188,943
55,Приволжский федеральный округ,30245,32701,176,-2456,11426,10022
56,Республика Башкортостан,4528,4325,29,203,1481,1335
57,Республика Марий Эл,745,757,6,-12,252,206
58,Республика Мордовия,658,905,0,-247,312,243
59,Республика Татарстан(Татарстан),4402,3452,25,950,1521,1123
60,Удмуртская Республика,1663,1484,14,179,532,441
61,Чувашская Республика(Чувашия),1131,1299,2,-168,421,331
62,Пермский край,2882,2953,18,-71,1238,985
63,Кировская область,1261,1512,2,-251,475,478
64,Hижегородская область,3115,4103,21,-988,1405,1139
65,Оренбургская область,2095,2319,18,-224,834,767
66,Пензенская область,1083,1631,5,-548,476,502
67,Самарская область,3295,3580,21,-285,1206,1239
68,Саратовская область,2305,2924,9,-619,851,856
69,Ульяновская область,1082,1457,6,-375,422,377
70,Уральский федеральный округ,14141,12598,88,1543,5747,5013
71,Курганская область,847,1177,9,-330,349,325
72,Свердловская область,4696,5021,31,-325,1932,1678
73,Тюменская область,4726,2468,19,2258,2001,1625
74,Ханты-Мансийский авт.округ-Югра,2077,798,9,1279,956,775
75,Ямало-Hенецкий авт.округ,699,255,3,444,345,289
76,Тюменская область без автономии,1950,1415,7,535,700,561
77,Челябинская область,3872,3932,29,-60,1465,1385
78,Сибирский федеральный округ,21118,20883,161,235,8646,7250
79,Республика Алтай,337,184,5,153,101,68
80,Республика Бурятия,1254,886,9,368,417,296
81,Республика Тыва,589,256,7,333,140,30
82,Республика Хакасия,550,582,3,-32,267,188
83,Алтайский край,2454,2880,22,-426,910,819
84,Забайкальский край,1224,1044,11,180,517,366
85,Красноярский край,3168,2878,17,290,1365,1198
86,Иркутская область,2885,2631,24,254,1203,1002
87,Кемеровская область,2605,3342,25,-737,1023,1072
88,Новосибирская область,2904,2966,17,-62,1331,1068
89,Омская область,2041,2224,17,-183,904,754
90,Томская область,1107,1010,4,97,468,389
91,Дальневосточный федеральный округ,7015,6646,39,369,3189,2698
92,Республика Саха (Якутия),1315,680,7,635,436,350
93,Камчатский край,328,303,2,25,250,184
94,Приморский край,2039,2211,9,-172,987,815
95,Хабаровский край,1560,1605,7,-45,614,608
96,Амурская область,820,926,4,-106,382,350
97,Магаданская область,149,144,1,5,87,88
98,Сахалинская область,567,502,5,65,315,236
99,Еврейская автономная область,191,226,4,-35,93,54
100,Чукотский авт.округ,46,49,0,-3,25,13
