,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
5,Российская Федерация,159819,149829,891,9990,115462,49534,2016,09
6,Центральный федеральный округ,38129,41862,219,-3733,31401,13056,2016,09
7,Белгородская область,1514,1656,9,-142,1194,572,2016,09
8,Брянская область,1113,1429,7,-316,922,496,2016,09
9,Владимирская область,1362,1902,8,-540,1175,473,2016,09
10,Воронежская область,2098,2648,9,-550,1946,727,2016,09
11,Ивановская область,934,1317,8,-383,754,334,2016,09
12,Калужская область,1061,1230,3,-169,820,417,2016,09
13,Костромская область,630,850,5,-220,535,239,2016,09
14,Курская область,1100,1422,6,-322,883,363,2016,09
15,Липецкая область,1169,1419,10,-250,937,396,2016,09
16,Московская область,8201,7660,35,541,6269,2782,2016,09
17,Орловская область,707,1000,3,-293,610,276,2016,09
18,Рязанская область,1120,1443,2,-323,861,402,2016,09
19,Смоленская область,749,1137,2,-388,678,329,2016,09
20,Тамбовская область,826,1301,1,-475,848,363,2016,09
21,Тверская область,1229,1896,6,-667,1005,453,2016,09
22,Тульская область,1258,2082,12,-824,1136,496,2016,09
23,Ярославская область,1322,1634,8,-312,1021,378,2016,09
24,г.Москва,11736,9836,85,1900,9807,3560,2016,09
25,Северо-Западный федеральный округ,13998,14776,55,-778,11942,5185,2016,09
26,Республика Карелия,588,799,5,-211,416,214,2016,09
27,Республика Коми,902,844,4,58,549,327,2016,09
28,Архангельская область,1141,1373,10,-232,734,394,2016,09
29,Hенецкий авт.округ,67,28,0,39,25,8,2016,09
31,Вологодская область,1223,1432,9,-209,796,362,2016,09
32,Калининградская область,1053,897,4,156,908,428,2016,09
33,Ленинградская область,1294,1990,4,-696,956,622,2016,09
34,Мурманская область,739,745,1,-6,544,350,2016,09
35,Новгородская область,600,900,0,-300,474,230,2016,09
36,Псковская область,553,870,6,-317,425,238,2016,09
37,г.Санкт-Петербург,5905,4926,12,979,6140,2020,2016,09
38,Южный федеральный округ,17968,16680,81,1288,14943,5713,2016,09
39,Республика Адыгея,483,446,4,37,311,129,2016,09
40,Республика Калмыкия,285,204,1,81,185,104,2016,09
41,Республика Крым,2088,2105,11,-17,1824,488,2016,09
42,Краснодарский край,6620,5551,30,1069,5372,2163,2016,09
43,Астраханская область,1197,923,6,274,914,353,2016,09
44,Волгоградская область,2470,2631,8,-161,2065,831,2016,09
45,Ростовская область,4371,4347,18,24,3703,1502,2016,09
47,Северо-Кавказский федеральный округ,13748,5721,100,8027,5618,1834,2016,09
48,Республика Дагестан,4733,1207,29,3526,1656,396,2016,09
49,Республика Ингушетия,712,126,7,586,157,38,2016,09
50,Кабардино-Балкарская Республика,1120,544,10,576,545,183,2016,09
51,Карачаево-Черкесская Республика,501,351,1,150,246,127,2016,09
52,Республика Северная Осетия- Алания,857,567,5,290,335,150,2016,09
53,Чеченская Республика,2558,460,20,2098,652,85,2016,09
54,Ставропольский край,3267,2466,28,801,2027,855,2016,09
55,Приволжский федеральный округ,32090,32295,170,-205,22557,9511,2016,09
56,Республика Башкортостан,4457,4113,32,344,2685,1273,2016,09
57,Республика Марий Эл,775,724,7,51,415,250,2016,09
58,Республика Мордовия,730,885,5,-155,596,233,2016,09
59,Республика Татарстан(Татарстан),5034,3618,22,1416,3257,1184,2016,09
60,Удмуртская Республика,1783,1511,6,272,1006,485,2016,09
61,Чувашская Республика(Чувашия),1352,1332,5,20,809,284,2016,09
62,Пермский край,3120,2974,18,146,1947,882,2016,09
63,Кировская область,1336,1596,8,-260,897,376,2016,09
64,Hижегородская область,3155,4111,16,-956,2756,1073,2016,09
65,Оренбургская область,2337,2074,15,263,1511,713,2016,09
66,Пензенская область,1115,1546,0,-431,950,408,2016,09
67,Самарская область,3403,3524,14,-121,2849,1117,2016,09
68,Саратовская область,2209,2820,15,-611,1855,850,2016,09
69,Ульяновская область,1284,1467,7,-183,1024,383,2016,09
70,Уральский федеральный округ,14396,12103,83,2293,9542,4681,2016,09
71,Курганская область,899,1096,8,-197,584,328,2016,09
72,Свердловская область,4876,4848,24,28,3638,1536,2016,09
73,Тюменская область,4779,2413,24,2366,2761,1442,2016,09
74,Ханты-Мансийский авт.округ-Югра,2117,874,11,1243,1280,721,2016,09
75,Ямало-Hенецкий авт.округ,719,216,6,503,352,227,2016,09
77,Челябинская область,3842,3746,27,96,2559,1375,2016,09
78,Сибирский федеральный округ,22461,20196,138,2265,13887,7104,2016,09
79,Республика Алтай,343,195,3,148,148,90,2016,09
80,Республика Бурятия,1373,903,6,470,476,289,2016,09
81,Республика Тыва,659,259,10,400,159,44,2016,09
82,Республика Хакасия,616,510,4,106,366,194,2016,09
83,Алтайский край,2328,2597,17,-269,1529,870,2016,09
84,Забайкальский край,1341,1054,8,287,714,400,2016,09
85,Красноярский край,3343,2959,13,384,2163,1147,2016,09
86,Иркутская область,3033,2661,19,372,1793,951,2016,09
87,Кемеровская область,2733,3178,25,-445,1848,987,2016,09
88,Новосибирская область,3347,2774,16,573,2424,1043,2016,09
89,Омская область,2210,2111,12,99,1328,725,2016,09
90,Томская область,1135,995,5,140,939,364,2016,09
91,Дальневосточный федеральный округ,7029,6196,45,833,5572,2450,2016,09
92,Республика Саха (Якутия),1352,703,11,649,601,317,2016,09
93,Камчатский край,347,263,3,84,329,135,2016,09
94,Приморский край,1973,2004,10,-31,2049,764,2016,09
95,Хабаровский край,1430,1388,9,42,1241,559,2016,09
96,Амурская область,909,860,3,49,617,325,2016,09
97,Магаданская область,114,148,1,-34,98,64,2016,09
98,Сахалинская область,661,599,4,62,467,218,2016,09
99,Еврейская автономная область,179,182,3,-3,142,53,2016,09
100,Чукотский авт.округ,64,49,1,15,28,15,2016,09
