,region,birth,death,death_children,inc_decr,marriage,divorce
5,Российская Федерация,150079,163274,910,-13195,62663,53631
6,Центральный федеральный округ,36118,47195,194,-11077,15466,14504
7,Белгородская область,1366,1785,4,-419,443,599
8,Брянская область,1032,1590,6,-558,424,513
9,Владимирская область,1161,1988,7,-827,472,487
10,Воронежская область,1904,3109,11,-1205,677,840
11,Ивановская область,895,1409,3,-514,435,385
12,Калужская область,944,1281,5,-337,412,408
13,Костромская область,605,909,6,-304,239,244
14,Курская область,933,1441,10,-508,363,413
15,Липецкая область,1018,1528,5,-510,340,421
16,Московская область,7953,9026,27,-1073,3346,3154
17,Орловская область,597,1084,2,-487,248,285
18,Рязанская область,990,1517,6,-527,368,442
19,Смоленская область,775,1270,8,-495,346,386
20,Тамбовская область,758,1397,1,-639,274,381
21,Тверская область,1131,1871,7,-740,576,481
22,Тульская область,1158,2181,10,-1023,554,555
23,Ярославская область,1129,1729,10,-600,506,455
24,г.Москва,11769,12080,66,-311,5443,4055
25,Северо-Западный федеральный округ,13850,15665,82,-1815,7112,5782
26,Республика Карелия,573,750,5,-177,321,266
27,Республика Коми,897,919,9,-22,457,351
28,Архангельская область,1161,1325,10,-164,524,485
29,Hенецкий авт.округ,82,28,0,54,28,20
31,Вологодская область,1255,1451,8,-196,491,427
32,Калининградская область,1017,1121,9,-104,504,431
33,Ленинградская область,1251,2066,6,-815,656,597
34,Мурманская область,631,720,1,-89,488,377
35,Новгородская область,612,922,0,-310,309,234
36,Псковская область,519,972,4,-453,257,252
37,г.Санкт-Петербург,5934,5419,30,515,3105,2362
38,Южный федеральный округ,16834,19519,99,-2685,6863,6015
39,Республика Адыгея,460,520,2,-60,159,127
40,Республика Калмыкия,279,234,4,45,109,77
41,Республика Крым,1798,2644,6,-846,903,632
42,Краснодарский край,6643,6573,28,70,2543,2242
43,Астраханская область,1039,1026,7,13,466,376
44,Волгоградская область,2176,2913,16,-737,877,894
45,Ростовская область,4018,5059,34,-1041,1571,1508
47,Северо-Кавказский федеральный округ,12741,6555,117,6186,3878,1869
48,Республика Дагестан,4621,1408,64,3213,1416,497
49,Республика Ингушетия,643,153,4,490,166,36
50,Кабардино-Балкарская Республика,964,643,2,321,357,183
51,Карачаево-Черкесская Республика,424,416,2,8,206,119
52,Республика Северная Осетия- Алания,841,581,3,260,268,165
53,Чеченская Республика,2389,608,25,1781,611,124
54,Ставропольский край,2859,2746,17,113,854,745
55,Приволжский федеральный округ,29553,34262,165,-4709,10954,10119
56,Республика Башкортостан,4279,4477,28,-198,1745,1348
57,Республика Марий Эл,726,699,3,27,215,229
58,Республика Мордовия,631,1036,0,-405,143,232
60,Удмуртская Республика,1558,1524,8,34,515,503
62,Пермский край,2811,3044,19,-233,1128,920
63,Кировская область,1218,1653,8,-435,451,418
64,Hижегородская область,2939,4164,23,-1225,1020,1175
65,Оренбургская область,1929,2207,13,-278,791,738
66,Пензенская область,1051,1654,7,-603,372,469
67,Самарская область,3110,3846,12,-736,1223,1221
68,Саратовская область,2218,2917,12,-699,881,905
69,Ульяновская область,1280,1683,8,-403,498,481
70,Уральский федеральный округ,13534,12863,73,671,5869,4965
71,Курганская область,793,1084,6,-291,340,328
72,Свердловская область,4616,5094,29,-478,2134,1652
73,Тюменская область,4570,2616,15,1954,1955,1661
74,Ханты-Мансийский авт.округ-Югра,2085,907,9,1178,928,795
75,Ямало-Hенецкий авт.округ,653,212,0,441,370,258
77,Челябинская область,3555,4069,23,-514,1440,1324
78,Сибирский федеральный округ,20892,20732,136,160,8957,7668
79,Республика Алтай,291,179,3,112,100,95
80,Республика Бурятия,1260,899,11,361,413,294
81,Республика Тыва,604,237,6,367,148,53
82,Республика Хакасия,558,552,9,6,220,250
83,Алтайский край,2213,2763,18,-550,936,907
84,Забайкальский край,1279,1133,5,146,522,464
85,Красноярский край,3108,2864,17,244,1449,1240
86,Иркутская область,2765,2681,22,84,1227,1133
87,Кемеровская область,2639,3179,12,-540,1181,1036
88,Новосибирская область,2976,3059,18,-83,1324,1111
89,Омская область,2028,2172,13,-144,918,680
90,Томская область,1171,1014,2,157,519,405
91,Дальневосточный федеральный округ,6557,6483,44,74,3564,2709
92,Республика Саха (Якутия),1276,681,8,595,512,350
93,Камчатский край,319,300,4,19,226,185
94,Приморский край,1778,2187,17,-409,1004,782
95,Хабаровский край,1451,1489,6,-38,814,564
96,Амурская область,816,943,5,-127,450,355
97,Магаданская область,149,159,0,-10,97,83
98,Сахалинская область,549,491,2,58,328,290
99,Еврейская автономная область,157,195,1,-38,97,69
100,Чукотский авт.округ,62,38,1,24,36,31
