,region,birth,death_children,marriage,divorce,year,month
3,Российская Федерация,153269,1321,59291,58064,2014,01
4,Центральный федеральный округ,35054,271,15406,15306,2014,01
5,Белгородская область,1475,9,662,679,2014,01
6,Брянская область,1132,9,449,644,2014,01
7,Владимирская область,1280,8,578,568,2014,01
8,Воронежская область,2017,12,919,987,2014,01
9,Ивановская область,989,11,380,453,2014,01
10,Калужская область,964,12,374,405,2014,01
11,Костромская область,699,7,276,259,2014,01
12,Курская область,1076,7,448,532,2014,01
13,Липецкая область,1088,7,443,475,2014,01
14,Московская область,6775,53,3152,2971,2014,01
15,Орловская область,651,12,252,288,2014,01
16,Рязанская область,1052,10,490,458,2014,01
17,Смоленская область,877,4,333,500,2014,01
18,Тамбовская область,856,2,403,386,2014,01
19,Тверская область,1196,11,497,544,2014,01
20,Тульская область,1163,7,583,634,2014,01
21,Ярославская область,1157,5,465,592,2014,01
22,г.Москва,10607,85,4702,3931,2014,01
23,Северо-Западный федеральный округ,12748,95,5880,5948,2014,01
24,Республика Карелия,641,10,236,255,2014,01
25,Республика Коми,978,5,408,360,2014,01
26,Архангельская область,1165,9,488,547,2014,01
27,Hенецкий авт.округ,41,0,14,20,2014,01
28,Архангельская область без автономии,1124,9,474,527,2014,01
29,Вологодская область,1219,15,472,461,2014,01
30,Калининградская область,972,12,414,451,2014,01
31,Ленинградская область,1176,9,564,682,2014,01
32,Мурманская область,755,3,412,436,2014,01
33,Новгородская область,375,2,236,243,2014,01
34,Псковская область,586,4,232,280,2014,01
35,г.Санкт-Петербург,4881,26,2418,2233,2014,01
36,Южный федеральный округ,14448,134,5015,5442,2014,01
37,Республика Адыгея,440,4,145,162,2014,01
38,Республика Калмыкия,348,7,82,96,2014,01
39,Краснодарский край,6003,37,2134,2192,2014,01
40,Астраханская область,1325,12,393,462,2014,01
41,Волгоградская область,2255,29,838,920,2014,01
42,Ростовская область,4077,45,1423,1610,2014,01
43,Северо-Кавказский федеральный округ,13529,134,3853,2062,2014,01
44,Республика Дагестан,4500,39,1310,431,2014,01
45,Республика Ингушетия,783,7,127,34,2014,01
46,Кабардино-Балкарская Республика,1161,3,371,231,2014,01
47,Карачаево-Черкесская Республика,590,2,169,135,2014,01
48,Республика Северная Осетия- Алания,925,7,297,142,2014,01
49,Чеченская Республика,2621,43,563,96,2014,01
50,Ставропольский край,2949,33,1016,993,2014,01
51,Приволжский федеральный округ,32440,268,12292,11524,2014,01
52,Республика Башкортостан,4974,42,1764,1498,2014,01
53,Республика Марий Эл,819,8,266,299,2014,01
54,Республика Мордовия,697,6,307,287,2014,01
55,Республика Татарстан(Татарстан),4767,30,1602,1288,2014,01
56,Удмуртская Республика,1764,17,599,489,2014,01
57,Чувашская Республика(Чувашия),1455,6,466,419,2014,01
58,Пермский край,3116,24,1179,996,2014,01
59,Кировская область,1258,12,479,573,2014,01
60,Hижегородская область,3133,17,1367,1376,2014,01
61,Оренбургская область,2533,38,912,847,2014,01
62,Пензенская область,1207,14,556,543,2014,01
63,Самарская область,3197,23,1272,1412,2014,01
64,Саратовская область,2258,23,1035,986,2014,01
65,Ульяновская область,1262,8,488,511,2014,01
66,Уральский федеральный округ,14751,110,5751,5619,2014,01
67,Курганская область,1008,11,401,455,2014,01
68,Свердловская область,4776,39,1903,1860,2014,01
69,Тюменская область,4896,33,1975,1679,2014,01
70,Ханты-Мансийский авт.округ-Югра,2212,11,969,789,2014,01
71,Ямало-Hенецкий авт.округ,765,6,329,265,2014,01
72,Тюменская область без автономии,1919,16,677,625,2014,01
73,Челябинская область,4071,27,1472,1625,2014,01
74,Сибирский федеральный округ,23064,211,8293,8959,2014,01
75,Республика Алтай,417,2,94,109,2014,01
76,Республика Бурятия,1349,8,365,357,2014,01
77,Республика Тыва,641,5,106,63,2014,01
78,Республика Хакасия,680,12,240,232,2014,01
79,Алтайский край,2529,27,935,1104,2014,01
80,Забайкальский край,1385,10,542,458,2014,01
81,Красноярский край,3318,29,1394,1248,2014,01
82,Иркутская область,3125,34,1042,1263,2014,01
83,Кемеровская область,3088,33,1074,1348,2014,01
84,Новосибирская область,3090,24,1216,1408,2014,01
85,Омская область,2373,21,902,882,2014,01
86,Томская область,1069,6,383,487,2014,01
87,Дальневосточный федеральный округ,7235,98,2801,3204,2014,01
88,Республика Саха (Якутия),1323,13,379,345,2014,01
89,Камчатский край,343,3,163,202,2014,01
90,Приморский край,2188,36,843,1044,2014,01
91,Хабаровский край,1497,22,589,691,2014,01
92,Амурская область,999,12,380,455,2014,01
93,Магаданская область,154,3,80,73,2014,01
94,Сахалинская область,510,5,270,276,2014,01
95,Еврейская автономная область,185,4,68,83,2014,01
96,Чукотский авт.округ,36,0,29,35,2014,01
