,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1314,4,1316,549,2017,06
8,Брянская область,992,10,944,416,2017,06
9,Владимирская область,1202,9,1010,495,2017,06
10,Воронежская область,1901,5,1769,744,2017,06
11,Ивановская область,844,2,695,349,2017,06
12,Калужская область,956,5,783,452,2017,06
13,Костромская область,615,4,544,238,2017,06
14,Курская область,883,5,841,407,2017,06
15,Липецкая область,1042,2,877,409,2017,06
16,Московская область,7894,28,6436,2971,2017,06
17,Орловская область,622,3,614,270,2017,06
18,Рязанская область,1024,3,839,432,2017,06
19,Смоленская область,766,3,729,380,2017,06
20,Тамбовская область,788,2,690,374,2017,06
21,Тверская область,1143,13,989,486,2017,06
22,Тульская область,1176,9,1208,454,2017,06
23,Ярославская область,1175,9,970,372,2017,06
24,г.Москва,11431,69,10614,3552,2017,06
26,Республика Карелия,577,5,463,224,2017,06
27,Республика Коми,824,4,679,329,2017,06
28,Архангельская область,1059,3,925,429,2017,06
29,Hенецкий авт.округ,46,0,30,13,2017,06
30,Архангельская область без автономии,1013,3,895,416,2017,06
31,Вологодская область,1126,17,902,400,2017,06
32,Калининградская область,849,5,847,408,2017,06
33,Ленинградская область,1232,8,982,601,2017,06
34,Мурманская область,684,0,570,300,2017,06
35,Новгородская область,539,4,450,234,2017,06
36,Псковская область,532,1,438,240,2017,06
37,г.Санкт-Петербург,5749,21,6050,1922,2017,06
39,Республика Адыгея,403,2,264,139,2017,06
40,Республика Калмыкия,239,0,131,65,2017,06
41,Республика Крым,1663,10,1296,516,2017,06
42,Краснодарский край,5429,20,4690,2128,2017,06
43,Астраханская область,1006,6,514,390,2017,06
44,Волгоградская область,2112,14,1630,917,2017,06
45,Ростовская область,3734,25,3118,1480,2017,06
48,Республика Дагестан,3748,21,1001,394,2017,06
49,Республика Ингушетия,473,6,112,27,2017,06
50,Кабардино-Балкарская Республика,887,6,238,237,2017,06
51,Карачаево-Черкесская Республика,426,1,181,144,2017,06
52,Республика Северная Осетия- Алания,728,6,273,134,2017,06
53,Чеченская Республика,1827,23,335,87,2017,06
54,Ставропольский край,2580,22,1703,814,2017,06
56,Республика Башкортостан,3955,22,2944,1278,2017,06
57,Республика Марий Эл,719,4,437,184,2017,06
58,Республика Мордовия,657,3,463,249,2017,06
59,Республика Татарстан(Татарстан),4196,19,2511,1146,2017,06
60,Удмуртская Республика,1511,8,1117,425,2017,06
61,Чувашская Республика(Чувашия),1238,4,719,299,2017,06
62,Пермский край,2764,9,2158,904,2017,06
63,Кировская область,1187,5,821,452,2017,06
64,Hижегородская область,2895,14,2409,1103,2017,06
65,Оренбургская область,1867,12,1401,708,2017,06
66,Пензенская область,1039,5,855,395,2017,06
67,Самарская область,2969,18,2578,1040,2017,06
68,Саратовская область,1894,13,1579,830,2017,06
69,Ульяновская область,1084,7,838,417,2017,06
71,Курганская область,809,3,613,320,2017,06
72,Свердловская область,4382,23,3832,1584,2017,06
73,Тюменская область,4349,22,3333,1591,2017,06
74,Ханты-Мансийский авт.округ-Югра,1956,10,1611,779,2017,06
75,Ямало-Hенецкий авт.округ,621,1,432,241,2017,06
76,Тюменская область без автономии,1772,11,1290,571,2017,06
77,Челябинская область,3437,16,2661,1313,2017,06
79,Республика Алтай,307,2,127,65,2017,06
80,Республика Бурятия,1191,6,678,283,2017,06
81,Республика Тыва,577,4,205,53,2017,06
82,Республика Хакасия,582,6,457,215,2017,06
83,Алтайский край,2215,12,1682,879,2017,06
84,Забайкальский край,1227,8,913,419,2017,06
85,Красноярский край,3102,17,2518,1065,2017,06
86,Иркутская область,2765,23,2064,955,2017,06
87,Кемеровская область,2406,17,1962,985,2017,06
88,Новосибирская область,2965,12,2541,1041,2017,06
89,Омская область,1892,12,1486,723,2017,06
90,Томская область,1088,5,948,387,2017,06
92,Республика Саха (Якутия),1173,2,710,313,2017,06
93,Камчатский край,280,3,274,145,2017,06
94,Приморский край,1587,9,1506,763,2017,06
95,Хабаровский край,1247,9,1123,561,2017,06
96,Амурская область,778,2,616,321,2017,06
97,Магаданская область,150,2,125,61,2017,06
98,Сахалинская область,519,5,376,210,2017,06
99,Еврейская автономная область,158,0,135,67,2017,06
100,Чукотский авт.округ,68,0,45,23,2017,06
