,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1200,5,575,542,2017,12
8,Брянская область,856,5,525,472,2017,12
9,Владимирская область,996,4,592,491,2017,12
10,Воронежская область,1775,7,967,871,2017,12
11,Ивановская область,762,4,449,371,2017,12
12,Калужская область,838,6,539,432,2017,12
13,Костромская область,485,6,282,235,2017,12
14,Курская область,830,6,397,401,2017,12
15,Липецкая область,833,4,427,426,2017,12
16,Московская область,7318,39,4108,3238,2017,12
17,Орловская область,541,2,293,255,2017,12
18,Рязанская область,822,3,382,461,2017,12
19,Смоленская область,667,2,388,373,2017,12
20,Тамбовская область,684,2,284,321,2017,12
21,Тверская область,1036,6,662,516,2017,12
22,Тульская область,972,8,676,575,2017,12
23,Ярославская область,1020,9,561,416,2017,12
24,г.Москва,10735,56,6145,4272,2017,12
26,Республика Карелия,503,6,328,226,2017,12
27,Республика Коми,733,2,512,366,2017,12
28,Архангельская область,988,3,622,439,2017,12
29,Hенецкий авт.округ,52,0,23,12,2017,12
30,Архангельская область без автономии,936,3,599,427,2017,12
31,Вологодская область,1048,5,531,404,2017,12
32,Калининградская область,819,5,534,421,2017,12
33,Ленинградская область,1161,3,693,638,2017,12
34,Мурманская область,630,8,535,357,2017,12
35,Новгородская область,464,8,272,245,2017,12
36,Псковская область,461,3,322,224,2017,12
37,г.Санкт-Петербург,5385,25,3472,2363,2017,12
39,Республика Адыгея,430,2,182,120,2017,12
40,Республика Калмыкия,258,1,98,71,2017,12
41,Республика Крым,1761,11,1054,605,2017,12
42,Краснодарский край,5798,25,3032,2283,2017,12
43,Астраханская область,1051,6,530,335,2017,12
44,Волгоградская область,1978,9,1001,887,2017,12
45,Ростовская область,3438,15,1793,1588,2017,12
48,Республика Дагестан,4004,44,1422,425,2017,12
49,Республика Ингушетия,632,3,184,44,2017,12
50,Кабардино-Балкарская Республика,868,2,403,182,2017,12
51,Карачаево-Черкесская Республика,398,4,190,110,2017,12
52,Республика Северная Осетия- Алания,692,2,281,159,2017,12
53,Чеченская Республика,2428,32,670,101,2017,12
54,Ставропольский край,2764,18,1103,1052,2017,12
56,Республика Башкортостан,4047,26,2091,1326,2017,12
57,Республика Марий Эл,579,0,266,197,2017,12
58,Республика Мордовия,533,2,192,230,2017,12
59,Республика Татарстан(Татарстан),3817,27,1912,1091,2017,12
60,Удмуртская Республика,1377,3,610,485,2017,12
61,Чувашская Республика(Чувашия),1091,4,369,330,2017,12
62,Пермский край,2402,12,1375,961,2017,12
63,Кировская область,1063,2,494,441,2017,12
64,Hижегородская область,2563,16,1076,1136,2017,12
65,Оренбургская область,1816,19,855,749,2017,12
66,Пензенская область,930,5,448,464,2017,12
67,Самарская область,2823,21,1263,1196,2017,12
68,Саратовская область,1927,14,1101,888,2017,12
69,Ульяновская область,925,7,501,437,2017,12
71,Курганская область,736,2,398,355,2017,12
72,Свердловская область,4213,15,2575,1701,2017,12
73,Тюменская область,4105,24,2401,1703,2017,12
74,Ханты-Мансийский авт.округ-Югра,1842,10,1058,752,2017,12
75,Ямало-Hенецкий авт.округ,624,8,430,281,2017,12
76,Тюменская область без автономии,1639,6,913,670,2017,12
77,Челябинская область,2988,23,1856,1352,2017,12
79,Республика Алтай,284,2,83,86,2017,12
80,Республика Бурятия,1105,9,490,278,2017,12
81,Республика Тыва,572,3,246,64,2017,12
82,Республика Хакасия,523,2,281,232,2017,12
83,Алтайский край,1899,10,1205,919,2017,12
84,Забайкальский край,1121,5,634,432,2017,12
85,Красноярский край,2708,21,1829,1252,2017,12
86,Иркутская область,2647,24,1577,1039,2017,12
87,Кемеровская область,2173,8,1341,943,2017,12
88,Новосибирская область,2567,8,1466,1075,2017,12
89,Омская область,1720,13,1031,742,2017,12
90,Томская область,1120,9,579,409,2017,12
92,Республика Саха (Якутия),1103,11,606,334,2017,12
93,Камчатский край,265,1,238,159,2017,12
94,Приморский край,1628,6,1147,806,2017,12
95,Хабаровский край,1306,3,860,588,2017,12
96,Амурская область,719,6,554,339,2017,12
97,Магаданская область,135,0,117,74,2017,12
98,Сахалинская область,495,3,296,219,2017,12
99,Еврейская автономная область,142,0,111,75,2017,12
100,Чукотский авт.округ,47,2,49,14,2017,12
