,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1118,7,705,537,2017,02
8,Брянская область,973,15,546,432,2017,02
9,Владимирская область,1006,5,552,412,2017,02
10,Воронежская область,1698,7,1022,632,2017,02
11,Ивановская область,735,5,398,262,2017,02
12,Калужская область,871,4,444,352,2017,02
13,Костромская область,527,3,293,187,2017,02
14,Курская область,841,8,547,347,2017,02
15,Липецкая область,866,2,577,362,2017,02
16,Московская область,6501,32,3585,2376,2017,02
17,Орловская область,561,5,303,270,2017,02
18,Рязанская область,878,4,515,355,2017,02
19,Смоленская область,650,4,389,306,2017,02
20,Тамбовская область,689,1,409,273,2017,02
21,Тверская область,968,4,499,402,2017,02
22,Тульская область,972,12,607,464,2017,02
23,Ярославская область,964,12,448,350,2017,02
24,г.Москва,10121,59,5546,2878,2017,02
26,Республика Карелия,460,1,240,188,2017,02
27,Республика Коми,778,3,362,387,2017,02
28,Архангельская область,933,12,517,396,2017,02
29,Hенецкий авт.округ,46,0,17,15,2017,02
30,Архангельская область без автономии,887,12,500,381,2017,02
31,Вологодская область,1062,3,415,295,2017,02
32,Калининградская область,860,1,422,374,2017,02
33,Ленинградская область,1130,7,489,559,2017,02
34,Мурманская область,596,6,394,320,2017,02
35,Новгородская область,505,0,316,193,2017,02
36,Псковская область,491,3,262,207,2017,02
37,г.Санкт-Петербург,4755,16,2842,1722,2017,02
39,Республика Адыгея,352,1,105,120,2017,02
40,Республика Калмыкия,220,1,53,67,2017,02
41,Республика Крым,1501,6,746,466,2017,02
42,Краснодарский край,4849,28,2533,1827,2017,02
43,Астраханская область,904,11,350,292,2017,02
44,Волгоградская область,1885,4,895,753,2017,02
45,Ростовская область,3374,15,1671,1244,2017,02
48,Республика Дагестан,3916,47,1052,354,2017,02
49,Республика Ингушетия,547,6,141,25,2017,02
50,Кабардино-Балкарская Республика,854,8,223,171,2017,02
51,Карачаево-Черкесская Республика,409,4,155,116,2017,02
52,Республика Северная Осетия- Алания,691,3,257,123,2017,02
53,Чеченская Республика,2232,19,567,93,2017,02
54,Ставропольский край,2432,25,1073,691,2017,02
56,Республика Башкортостан,3764,30,1676,1088,2017,02
57,Республика Марий Эл,616,1,264,193,2017,02
58,Республика Мордовия,485,1,333,182,2017,02
59,Республика Татарстан(Татарстан),3553,20,1557,1005,2017,02
60,Удмуртская Республика,1396,5,598,415,2017,02
61,Чувашская Республика(Чувашия),1075,4,534,310,2017,02
62,Пермский край,2432,16,1307,832,2017,02
63,Кировская область,979,2,486,389,2017,02
64,Hижегородская область,2644,8,1524,997,2017,02
65,Оренбургская область,1709,5,863,583,2017,02
66,Пензенская область,906,3,560,351,2017,02
67,Самарская область,2656,16,1357,990,2017,02
68,Саратовская область,1719,15,942,663,2017,02
69,Ульяновская область,988,9,561,370,2017,02
71,Курганская область,686,3,375,274,2017,02
72,Свердловская область,4113,22,1829,1428,2017,02
73,Тюменская область,3776,13,1988,1375,2017,02
74,Ханты-Мансийский авт.округ-Югра,1666,9,944,669,2017,02
75,Ямало-Hенецкий авт.округ,555,2,375,205,2017,02
76,Тюменская область без автономии,1555,2,669,501,2017,02
77,Челябинская область,3153,13,1514,1155,2017,02
79,Республика Алтай,248,2,104,70,2017,02
80,Республика Бурятия,1006,6,424,232,2017,02
81,Республика Тыва,477,4,178,39,2017,02
82,Республика Хакасия,494,0,263,188,2017,02
83,Алтайский край,1966,14,895,727,2017,02
84,Забайкальский край,950,7,503,339,2017,02
85,Красноярский край,2634,17,1349,956,2017,02
86,Иркутская область,2381,12,1315,862,2017,02
87,Кемеровская область,2154,23,1100,803,2017,02
88,Новосибирская область,2615,11,1102,855,2017,02
89,Омская область,1716,10,864,627,2017,02
90,Томская область,964,3,475,308,2017,02
92,Республика Саха (Якутия),1011,8,545,306,2017,02
93,Камчатский край,283,2,198,123,2017,02
94,Приморский край,1529,10,859,662,2017,02
95,Хабаровский край,1141,8,607,530,2017,02
96,Амурская область,761,7,387,269,2017,02
97,Магаданская область,100,2,83,82,2017,02
98,Сахалинская область,469,1,251,209,2017,02
99,Еврейская автономная область,147,2,84,50,2017,02
100,Чукотский авт.округ,61,0,28,15,2017,02
