,region,birth,death_children,marriage,divorce,year,month
7,Белгородская область,1299,4,816,593,2017,10
8,Брянская область,982,3,663,499,2017,10
9,Владимирская область,1207,8,574,520,2017,10
10,Воронежская область,1979,9,1331,856,2017,10
11,Ивановская область,886,4,440,344,2017,10
12,Калужская область,958,6,524,381,2017,10
13,Костромская область,639,3,303,247,2017,10
14,Курская область,963,3,556,446,2017,10
15,Липецкая область,1025,4,616,441,2017,10
16,Московская область,7178,36,4423,2828,2017,10
17,Орловская область,667,4,390,302,2017,10
18,Рязанская область,805,2,591,401,2017,10
19,Смоленская область,762,3,451,374,2017,10
20,Тамбовская область,757,0,487,378,2017,10
21,Тверская область,1071,3,690,499,2017,10
22,Тульская область,1147,11,704,612,2017,10
23,Ярославская область,1115,4,623,460,2017,10
24,г.Москва,11382,55,6794,3856,2017,10
26,Республика Карелия,559,5,319,246,2017,10
27,Республика Коми,900,2,416,375,2017,10
28,Архангельская область,1053,1,554,408,2017,10
29,Hенецкий авт.округ,65,0,17,9,2017,10
30,Архангельская область без автономии,988,1,537,399,2017,10
31,Вологодская область,1156,6,559,416,2017,10
32,Калининградская область,959,4,605,455,2017,10
33,Ленинградская область,1298,6,713,653,2017,10
34,Мурманская область,664,6,454,316,2017,10
35,Новгородская область,510,2,288,248,2017,10
36,Псковская область,534,3,328,239,2017,10
37,г.Санкт-Петербург,5731,21,4024,2111,2017,10
39,Республика Адыгея,405,2,248,135,2017,10
40,Республика Калмыкия,248,1,130,107,2017,10
41,Республика Крым,1849,9,1592,603,2017,10
42,Краснодарский край,5871,33,4558,2328,2017,10
43,Астраханская область,1063,6,580,339,2017,10
44,Волгоградская область,2240,9,1459,920,2017,10
45,Ростовская область,3846,23,2623,1635,2017,10
48,Республика Дагестан,4566,44,1382,422,2017,10
49,Республика Ингушетия,798,2,187,37,2017,10
50,Кабардино-Балкарская Республика,1033,3,507,220,2017,10
51,Карачаево-Черкесская Республика,430,1,238,115,2017,10
52,Республика Северная Осетия- Алания,738,3,337,158,2017,10
53,Чеченская Республика,2868,24,682,90,2017,10
54,Ставропольский край,2971,20,1567,876,2017,10
56,Республика Башкортостан,4220,34,1845,1273,2017,10
57,Республика Марий Эл,721,3,304,266,2017,10
58,Республика Мордовия,586,4,337,207,2017,10
59,Республика Татарстан(Татарстан),4094,27,1750,1139,2017,10
60,Удмуртская Республика,1528,3,641,472,2017,10
61,Чувашская Республика(Чувашия),1227,0,501,363,2017,10
62,Пермский край,2755,17,1300,984,2017,10
63,Кировская область,1273,8,525,470,2017,10
64,Hижегородская область,2929,17,1530,1152,2017,10
65,Оренбургская область,2002,21,1095,766,2017,10
66,Пензенская область,1006,5,583,441,2017,10
67,Самарская область,2957,8,1546,1209,2017,10
68,Саратовская область,2089,9,1201,897,2017,10
69,Ульяновская область,1106,1,526,418,2017,10
71,Курганская область,816,3,448,372,2017,10
72,Свердловская область,4781,25,2260,1802,2017,10
73,Тюменская область,4469,16,2231,1623,2017,10
74,Ханты-Мансийский авт.округ-Югра,1968,6,1022,764,2017,10
75,Ямало-Hенецкий авт.округ,644,3,375,283,2017,10
76,Тюменская область без автономии,1857,7,834,576,2017,10
77,Челябинская область,3495,29,1792,1358,2017,10
79,Республика Алтай,314,1,139,80,2017,10
80,Республика Бурятия,1319,7,541,317,2017,10
81,Республика Тыва,630,3,100,45,2017,10
82,Республика Хакасия,568,4,268,238,2017,10
83,Алтайский край,2195,17,1023,932,2017,10
84,Забайкальский край,1265,8,585,451,2017,10
85,Красноярский край,3056,28,1507,1277,2017,10
86,Иркутская область,2739,11,1490,1002,2017,10
87,Кемеровская область,2333,16,1228,1038,2017,10
88,Новосибирская область,2901,19,1678,1188,2017,10
89,Омская область,1913,9,1046,679,2017,10
90,Томская область,1059,2,533,417,2017,10
92,Республика Саха (Якутия),1237,3,451,351,2017,10
93,Камчатский край,337,1,219,162,2017,10
94,Приморский край,1886,12,1520,824,2017,10
95,Хабаровский край,1385,11,768,613,2017,10
96,Амурская область,848,1,420,382,2017,10
97,Магаданская область,154,0,109,77,2017,10
98,Сахалинская область,552,2,314,216,2017,10
99,Еврейская автономная область,175,1,103,77,2017,10
100,Чукотский авт.округ,47,0,34,17,2017,10
