,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1203,1861,6,-658,366,622
8,Брянская область,967,1666,2,-699,243,500
9,Владимирская область,1053,1950,2,-897,279,473
10,Воронежская область,2011,3061,10,-1050,640,810
11,Ивановская область,792,1542,2,-750,200,361
12,Калужская область,909,1334,4,-425,335,404
13,Костромская область,504,889,4,-385,117,213
14,Курская область,904,1597,6,-693,247,397
15,Липецкая область,915,1474,0,-559,244,424
16,Московская область,7334,7870,38,-536,2245,3032
17,Орловская область,579,1100,3,-521,151,264
18,Рязанская область,861,1521,8,-660,271,397
19,Смоленская область,712,1341,2,-629,215,370
20,Тамбовская область,792,1454,0,-662,198,324
21,Тверская область,1014,2028,4,-1014,372,535
22,Тульская область,1043,2050,5,-1007,371,499
23,Ярославская область,1086,1687,3,-601,322,482
24,г.Москва,11007,9808,54,1199,3872,4146
26,Республика Карелия,532,795,4,-263,142,230
27,Республика Коми,750,882,2,-132,199,358
28,Архангельская область,978,1375,1,-397,239,413
29,Hенецкий авт.округ,56,35,0,21,10,13
30,Архангельская область без автономии,922,1340,1,-418,229,400
31,Вологодская область,1080,1533,8,-453,267,386
32,Калининградская область,915,1066,6,-151,387,463
33,Ленинградская область,1315,2098,2,-783,413,647
34,Мурманская область,637,792,7,-155,293,350
35,Новгородская область,516,906,2,-390,140,229
36,Псковская область,502,925,1,-423,160,234
37,г.Санкт-Петербург,5837,5082,31,755,2578,2325
39,Республика Адыгея,319,492,1,-173,111,146
40,Республика Калмыкия,236,231,0,5,32,90
41,Республика Крым,1545,2412,5,-867,583,587
42,Краснодарский край,4949,6114,25,-1165,1755,2155
43,Астраханская область,941,1068,5,-127,275,348
44,Волгоградская область,1707,3104,9,-1397,620,861
45,Ростовская область,3386,5171,21,-1785,1147,1493
48,Республика Дагестан,3472,1224,32,2248,1068,377
49,Республика Ингушетия,606,122,5,484,174,32
50,Кабардино-Балкарская Республика,844,609,4,235,216,187
51,Карачаево-Черкесская Республика,407,403,4,4,136,138
52,Республика Северная Осетия- Алания,739,670,3,69,177,140
53,Чеченская Республика,2319,611,16,1708,544,88
54,Ставропольский край,2422,2884,10,-462,608,958
56,Республика Башкортостан,4074,4475,17,-401,895,1270
57,Республика Марий Эл,649,798,3,-149,147,210
58,Республика Мордовия,572,941,1,-369,104,214
59,Республика Татарстан(Татарстан),3964,3996,19,-32,849,1159
60,Удмуртская Республика,1430,1654,3,-224,313,467
61,Чувашская Республика(Чувашия),1107,1524,5,-417,260,298
62,Пермский край,2558,3256,12,-698,670,868
63,Кировская область,1090,1703,5,-613,299,423
64,Hижегородская область,2817,4333,23,-1516,818,1189
65,Оренбургская область,1748,2394,9,-646,474,712
66,Пензенская область,958,1639,6,-681,224,438
67,Самарская область,2780,3766,14,-986,714,1190
68,Саратовская область,1979,3172,10,-1193,434,834
69,Ульяновская область,1078,1585,6,-507,266,403
71,Курганская область,739,1269,4,-530,184,318
72,Свердловская область,4676,5300,27,-624,1143,1696
73,Тюменская область,4500,2619,22,1881,1183,1662
74,Ханты-Мансийский авт.округ-Югра,2017,883,5,1134,607,805
75,Ямало-Hенецкий авт.округ,647,208,9,439,161,286
76,Тюменская область без автономии,1836,1528,8,308,415,571
77,Челябинская область,3334,4180,20,-846,780,1417
79,Республика Алтай,272,177,1,95,44,68
80,Республика Бурятия,1198,885,5,313,170,293
81,Республика Тыва,510,245,4,265,121,55
82,Республика Хакасия,540,583,0,-43,122,204
83,Алтайский край,1919,3052,19,-1133,513,880
84,Забайкальский край,1155,1180,8,-25,268,420
85,Красноярский край,2978,3336,10,-358,813,1280
86,Иркутская область,2742,2767,17,-25,677,954
87,Кемеровская область,2342,3419,18,-1077,610,1125
88,Новосибирская область,2998,3126,12,-128,811,1230
89,Омская область,1790,2286,11,-496,514,711
90,Томская область,1119,1122,10,-3,280,410
92,Республика Саха (Якутия),1197,718,5,479,243,345
93,Камчатский край,335,335,1,0,114,169
94,Приморский край,1753,2271,8,-518,627,802
95,Хабаровский край,1232,1535,7,-303,454,590
96,Амурская область,784,921,6,-137,182,356
97,Магаданская область,150,139,0,11,36,62
98,Сахалинская область,560,576,1,-16,195,246
99,Еврейская автономная область,163,184,2,-21,45,80
100,Чукотский авт.округ,63,46,1,17,19,26
