,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1123,1760,9,-637,1117,525
8,Брянская область,864,1457,5,-593,849,424
9,Владимирская область,1112,1857,15,-745,935,424
10,Воронежская область,1700,2819,7,-1119,1681,802
11,Ивановская область,744,1266,1,-522,672,323
12,Калужская область,830,1280,5,-450,796,402
13,Костромская область,553,778,2,-225,405,191
14,Курская область,840,1389,5,-549,775,401
15,Липецкая область,892,1354,4,-462,703,401
16,Московская область,7481,7688,49,-207,5786,2746
17,Орловская область,510,974,5,-464,539,271
18,Рязанская область,874,1406,10,-532,748,390
19,Смоленская область,654,1136,2,-482,647,342
20,Тамбовская область,667,1310,3,-643,565,299
21,Тверская область,972,1684,4,-712,889,464
22,Тульская область,1055,1856,6,-801,957,532
23,Ярославская область,942,1571,5,-629,971,366
24,г.Москва,11128,9756,58,1372,9545,3702
26,Республика Карелия,492,739,2,-247,406,202
27,Республика Коми,645,832,3,-187,578,278
28,Архангельская область,937,1225,8,-288,842,428
29,Hенецкий авт.округ,44,42,0,2,32,15
30,Архангельская область без автономии,893,1183,8,-290,810,413
31,Вологодская область,956,1367,10,-411,792,343
32,Калининградская область,862,965,0,-103,770,360
33,Ленинградская область,1108,1805,3,-697,847,635
34,Мурманская область,614,727,2,-113,548,303
35,Новгородская область,505,788,1,-283,388,213
36,Псковская область,460,855,4,-395,457,247
37,г.Санкт-Петербург,5418,4800,18,618,5733,2098
39,Республика Адыгея,373,455,1,-82,235,134
40,Республика Калмыкия,239,203,1,36,139,80
41,Республика Крым,1620,2038,8,-418,1404,534
42,Краснодарский край,5185,5517,29,-332,4389,2058
43,Астраханская область,912,954,5,-42,513,335
44,Волгоградская область,2020,2772,11,-752,1433,762
45,Ростовская область,3296,4664,13,-1368,2921,1361
48,Республика Дагестан,3809,1216,32,2593,1056,395
49,Республика Ингушетия,546,108,2,438,136,25
50,Кабардино-Балкарская Республика,813,526,2,287,323,181
51,Карачаево-Черкесская Республика,374,311,3,63,195,147
52,Республика Северная Осетия- Алания,670,541,6,129,268,159
53,Чеченская Республика,2115,445,13,1670,568,87
54,Ставропольский край,2601,2604,14,-3,1587,826
56,Республика Башкортостан,3821,4154,24,-333,2879,1182
57,Республика Марий Эл,580,698,5,-118,384,204
58,Республика Мордовия,589,872,0,-283,304,214
59,Республика Татарстан(Татарстан),4021,3773,17,248,2387,1086
60,Удмуртская Республика,1354,1505,12,-151,941,406
61,Чувашская Республика(Чувашия),1106,1277,3,-171,624,294
62,Пермский край,2407,2991,10,-584,1837,879
63,Кировская область,1016,1635,11,-619,762,381
64,Hижегородская область,2573,4052,10,-1479,1931,1036
65,Оренбургская область,1765,2143,7,-378,1321,734
66,Пензенская область,965,1597,2,-632,738,419
67,Самарская область,2748,3611,4,-863,2229,1115
68,Саратовская область,1657,2848,6,-1191,1596,868
69,Ульяновская область,978,1434,6,-456,797,357
71,Курганская область,688,1053,6,-365,545,292
72,Свердловская область,4044,4768,13,-724,3304,1484
73,Тюменская область,4192,2396,14,1796,3110,1493
74,Ханты-Мансийский авт.округ-Югра,1832,831,3,1001,1447,706
75,Ямало-Hенецкий авт.округ,608,218,5,390,409,229
76,Тюменская область без автономии,1752,1347,6,405,1254,558
77,Челябинская область,3080,3727,24,-647,2557,1242
79,Республика Алтай,313,166,2,147,134,74
80,Республика Бурятия,1158,826,3,332,677,258
81,Республика Тыва,512,237,6,275,161,41
82,Республика Хакасия,544,526,5,18,371,194
83,Алтайский край,2028,2811,16,-783,1620,849
84,Забайкальский край,1160,1017,11,143,590,372
85,Красноярский край,2803,2894,16,-91,2414,1055
86,Иркутская область,2477,2511,19,-34,1888,966
87,Кемеровская область,2269,3179,16,-910,2239,930
88,Новосибирская область,2670,2940,16,-270,2254,1021
89,Омская область,1772,2024,11,-252,1475,766
90,Томская область,969,963,3,6,928,319
92,Республика Саха (Якутия),1127,605,6,522,724,335
93,Камчатский край,269,281,3,-12,239,145
94,Приморский край,1529,1867,5,-338,1559,735
95,Хабаровский край,1209,1301,7,-92,1085,551
96,Амурская область,694,870,0,-176,643,321
97,Магаданская область,98,132,2,-34,144,54
98,Сахалинская область,481,468,1,13,386,209
99,Еврейская автономная область,163,165,0,-2,109,79
100,Чукотский авт.округ,41,38,1,3,27,14
