,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
8,Белгородская область,1426,1640,8,-214,1898,634,2018,08
9,Брянская область,1038,1454,9,-416,1370,444,2018,08
10,Владимирская область,1153,1758,5,-605,1563,481,2018,08
11,Воронежская область,2031,2668,9,-637,2703,865,2018,08
12,Ивановская область,820,1353,5,-533,1108,368,2018,08
13,Калужская область,915,1235,3,-320,1175,390,2018,08
14,Костромская область,533,749,1,-216,689,198,2018,08
15,Курская область,919,1341,4,-422,1084,448,2018,08
16,Липецкая область,1049,1308,7,-259,1110,441,2018,08
17,Московская область,7931,7410,32,521,8447,2936,2018,08
18,Орловская область,630,944,2,-314,830,299,2018,08
19,Рязанская область,961,1477,5,-516,1069,458,2018,08
20,Смоленская область,752,1197,8,-445,978,355,2018,08
21,Тамбовская область,786,1287,1,-501,1090,362,2018,08
22,Тверская область,1132,1668,6,-536,1319,479,2018,08
23,Тульская область,1158,1904,10,-746,1540,589,2018,08
24,Ярославская область,1155,1511,3,-356,1474,497,2018,08
25,г.Москва,12185,9653,52,2532,12076,3986,2018,08
27,Республика Карелия,509,733,3,-224,685,231,2018,08
28,Республика Коми,740,857,6,-117,735,308,2018,08
29,Архангельская область,1030,1285,4,-255,1109,447,2018,08
30,Hенецкий авт.округ,61,34,1,27,31,12,2018,08
31,Архангельская область без автономии,969,1251,3,-282,1078,435,2018,08
32,Вологодская область,1144,1391,4,-247,1155,413,2018,08
33,Калининградская область,962,1067,5,-105,1177,461,2018,08
34,Ленинградская область,1133,1968,3,-835,1156,622,2018,08
35,Мурманская область,624,655,4,-31,606,348,2018,08
36,Новгородская область,533,794,2,-261,597,226,2018,08
37,Псковская область,549,836,3,-287,682,246,2018,08
38,г.Санкт-Петербург,5951,5007,20,944,7178,2322,2018,08
40,Республика Адыгея,396,476,2,-80,320,118,2018,08
41,Республика Калмыкия,287,225,1,62,175,104,2018,08
42,Республика Крым,1989,2269,5,-280,1717,609,2018,08
43,Краснодарский край,6308,5838,33,470,5513,2307,2018,08
44,Астраханская область,1167,885,8,282,881,382,2018,08
45,Волгоградская область,2273,2656,7,-383,2286,924,2018,08
46,Ростовская область,4047,4508,23,-461,4037,1752,2018,08
49,Республика Дагестан,4593,1190,30,3403,1912,425,2018,08
50,Республика Ингушетия,695,105,3,590,167,37,2018,08
51,Кабардино-Балкарская Республика,1009,507,3,502,631,184,2018,08
52,Карачаево-Черкесская Республика,480,323,4,157,334,136,2018,08
53,Республика Северная Осетия- Алания,911,522,2,389,429,167,2018,08
54,Чеченская Республика,2601,579,19,2022,726,82,2018,08
55,Ставропольский край,3111,2547,18,564,2258,909,2018,08
57,Республика Башкортостан,4184,4201,19,-17,4295,1316,2018,08
58,Республика Марий Эл,681,717,4,-36,592,257,2018,08
59,Республика Мордовия,671,878,3,-207,707,235,2018,08
60,Республика Татарстан(Татарстан),4269,3517,14,752,4620,1109,2018,08
61,Удмуртская Республика,1422,1432,3,-10,1498,463,2018,08
62,Чувашская Республика(Чувашия),1249,1232,6,17,1123,361,2018,08
63,Пермский край,2703,2788,14,-85,2885,968,2018,08
64,Кировская область,1113,1535,1,-422,1110,478,2018,08
65,Hижегородская область,2991,3888,19,-897,3801,1238,2018,08
66,Оренбургская область,2079,2195,9,-116,2155,763,2018,08
67,Пензенская область,1068,1491,2,-423,1206,483,2018,08
68,Самарская область,3130,3311,16,-181,3737,1281,2018,08
69,Саратовская область,2178,2735,7,-557,2670,953,2018,08
70,Ульяновская область,1118,1401,11,-283,1332,447,2018,08
72,Курганская область,773,1017,6,-244,799,364,2018,08
73,Свердловская область,4652,4696,24,-44,4908,1642,2018,08
74,Тюменская область,4444,2396,11,2048,3820,1610,2018,08
75,Ханты-Мансийский авт.округ-Югра,1934,830,4,1104,1678,734,2018,08
76,Ямало-Hенецкий авт.округ,577,224,3,353,415,236,2018,08
77,Тюменская область без автономии,1933,1342,4,591,1727,640,2018,08
78,Челябинская область,3470,3670,19,-200,4027,1442,2018,08
80,Республика Алтай,298,217,3,81,231,71,2018,08
81,Республика Бурятия,1231,842,8,389,875,318,2018,08
82,Республика Тыва,644,246,9,398,256,65,2018,08
83,Республика Хакасия,565,528,3,37,591,223,2018,08
84,Алтайский край,2241,2816,27,-575,2385,946,2018,08
85,Забайкальский край,1247,1053,5,194,893,445,2018,08
86,Красноярский край,2972,2976,21,-4,3014,1266,2018,08
87,Иркутская область,2808,2578,19,230,2864,1072,2018,08
88,Кемеровская область,2391,3140,10,-749,2476,1096,2018,08
89,Новосибирская область,2928,2950,8,-22,2999,1142,2018,08
90,Омская область,2014,1968,16,46,2021,802,2018,08
91,Томская область,1123,980,3,143,1214,431,2018,08
93,Республика Саха (Якутия),1169,636,6,533,952,341,2018,08
94,Камчатский край,319,283,3,36,353,139,2018,08
95,Приморский край,1848,2244,8,-396,1930,864,2018,08
96,Хабаровский край,1418,1318,10,100,1358,614,2018,08
97,Амурская область,838,820,3,18,900,362,2018,08
98,Магаданская область,122,146,0,-24,124,55,2018,08
99,Сахалинская область,574,487,2,87,540,253,2018,08
100,Еврейская автономная область,171,179,0,-8,148,71,2018,08
101,Чукотский авт.округ,49,44,2,5,26,19,2018,08
