,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1056,1594,5,-538,524,553
8,Брянская область,822,1581,3,-759,368,1213
9,Владимирская область,888,1636,1,-748,408,148
10,Воронежская область,1491,2884,5,-1393,427,1875
11,Ивановская область,671,1340,5,-669,420,346
12,Калужская область,728,1069,3,-341,257,277
13,Костромская область,468,719,3,-251,180,193
14,Курская область,689,1311,2,-622,286,339
15,Липецкая область,783,1160,4,-377,189,281
16,Московская область,5447,7467,15,-2020,2562,7268
17,Орловская область,502,921,3,-419,262,284
18,Рязанская область,754,1637,4,-883,268,970
19,Смоленская область,593,1046,1,-453,287,300
20,Тамбовская область,594,1167,12,-573,208,249
21,Тверская область,863,1752,6,-889,403,827
22,Тульская область,954,1896,5,-942,579,516
23,Ярославская область,941,1496,9,-555,524,492
24,г.Москва,10658,9466,41,1192,3485,1675
26,Республика Карелия,462,668,2,-206,299,247
27,Республика Коми,645,894,4,-249,241,733
28,Архангельская область,824,1192,7,-368,502,790
29,Hенецкий авт.округ,45,27,0,18,12,13
30,Архангельская область без автономии,779,1165,7,-386,490,777
31,Вологодская область,909,1292,6,-383,250,118
32,Калининградская область,710,1021,11,-311,364,472
33,Ленинградская область,1053,1706,3,-653,385,225
34,Мурманская область,576,613,3,-37,373,270
35,Новгородская область,398,789,0,-391,153,169
36,Псковская область,448,790,0,-342,182,71
37,г.Санкт-Петербург,4846,4351,11,495,1448,986
39,Республика Адыгея,373,502,2,-129,62,66
40,Республика Калмыкия,228,202,2,26,79,80
41,Республика Крым,1552,2062,7,-510,574,203
42,Краснодарский край,4706,6043,31,-1337,2212,5928
43,Астраханская область,892,981,2,-89,436,369
44,Волгоградская область,1830,2572,9,-742,648,221
45,Ростовская область,3303,4822,20,-1519,1238,3201
48,Республика Дагестан,3576,1096,22,2480,1066,300
49,Республика Ингушетия,522,168,3,354,156,28
50,Кабардино-Балкарская Республика,804,417,1,387,392,174
51,Карачаево-Черкесская Республика,416,333,1,83,355,256
52,Республика Северная Осетия- Алания,784,642,2,142,254,114
53,Чеченская Республика,2522,569,19,1953,393,16
54,Ставропольский край,1859,3271,24,-1412,434,1987
56,Республика Башкортостан,3758,4327,23,-569,2414,2299
57,Республика Марий Эл,522,635,6,-113,79,143
58,Республика Мордовия,539,863,2,-324,63,354
59,Республика Татарстан(Татарстан),3672,3511,25,161,1742,1087
60,Удмуртская Республика,1125,1437,5,-312,552,503
61,Чувашская Республика(Чувашия),906,1056,2,-150,268,217
62,Пермский край,2172,2537,7,-365,880,600
63,Кировская область,977,1349,3,-372,382,288
64,Hижегородская область,2433,3675,17,-1242,805,622
65,Оренбургская область,1629,1899,9,-270,813,706
66,Пензенская область,882,1760,5,-878,329,931
67,Самарская область,2510,3565,12,-1055,973,2599
68,Саратовская область,1586,2583,10,-997,664,669
69,Ульяновская область,905,1316,4,-411,372,301
71,Курганская область,595,1087,7,-492,355,316
72,Свердловская область,3715,4449,19,-734,1403,1359
73,Тюменская область,3838,2502,14,1336,1181,3197
74,Ханты-Мансийский авт.округ-Югра,1677,884,8,793,512,1474
75,Ямало-Hенецкий авт.округ,586,220,1,366,239,497
76,Тюменская область без автономии,1575,1398,5,177,430,1226
77,Челябинская область,2813,3495,7,-682,1064,1050
79,Республика Алтай,249,185,2,64,98,66
80,Республика Тыва,533,222,4,311,180,144
81,Республика Хакасия,443,581,3,-138,528,521
82,Алтайский край,1698,2684,13,-986,789,638
83,Красноярский край,2543,2981,15,-438,1572,1146
84,Иркутская область,2270,2913,19,-643,1515,1277
85,Кемеровская область,1953,2808,5,-855,881,637
86,Новосибирская область,2491,2820,12,-329,853,860
87,Омская область,1526,1866,12,-340,608,474
88,Томская область,926,943,3,-17,336,103
90,Республика Бурятия,1076,766,7,310,375,223
91,Республика Саха (Якутия),969,592,8,377,374,741
92,Забайкальский край,1031,1071,13,-40,553,402
93,Камчатский край,220,271,1,-51,115,56
94,Приморский край,1554,1995,10,-441,1059,876
95,Хабаровский край,1188,1357,7,-169,445,1200
96,Амурская область,677,862,5,-185,451,360
97,Магаданская область,90,157,0,-67,55,106
98,Сахалинская область,449,464,2,-15,282,237
99,Еврейская автономная область,132,197,4,-65,59,179
100,Чукотский авт.округ,60,41,0,19,44,27
