,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1199,1917,2,-718,376,576
8,Брянская область,913,1660,5,-747,297,416
9,Владимирская область,1100,2010,6,-910,352,444
10,Воронежская область,1698,3236,9,-1538,602,742
11,Ивановская область,743,1453,2,-710,316,374
12,Калужская область,864,1454,6,-590,373,391
13,Костромская область,546,821,0,-275,185,249
14,Курская область,818,1682,1,-864,280,402
15,Липецкая область,871,1580,3,-709,222,430
16,Московская область,7334,8687,26,-1353,2780,2883
17,Орловская область,563,1036,3,-473,214,215
18,Рязанская область,890,1682,5,-792,243,377
19,Смоленская область,655,1336,4,-681,277,332
20,Тамбовская область,684,1509,0,-825,183,356
21,Тверская область,964,2047,4,-1083,456,469
22,Тульская область,992,2362,1,-1370,398,518
23,Ярославская область,1044,1760,1,-716,437,487
24,г.Москва,10757,11681,74,-924,4524,4195
26,Республика Карелия,507,879,6,-372,271,236
27,Республика Коми,723,866,3,-143,420,327
28,Архангельская область,976,1426,5,-450,483,484
29,Hенецкий авт.округ,53,44,0,9,22,15
30,Архангельская область без автономии,923,1382,5,-459,461,469
31,Вологодская область,1065,1544,2,-479,396,435
32,Калининградская область,887,1106,1,-219,534,451
33,Ленинградская область,1051,2253,3,-1202,601,668
34,Мурманская область,606,744,2,-138,438,354
35,Новгородская область,488,945,4,-457,203,227
36,Псковская область,458,1095,2,-637,218,226
37,г.Санкт-Петербург,5416,6205,13,-789,3009,2302
39,Республика Адыгея,345,522,3,-177,147,124
40,Республика Калмыкия,269,230,1,39,66,84
41,Республика Крым,1666,2411,4,-745,743,571
42,Краснодарский край,5222,5866,28,-644,2473,2115
43,Астраханская область,965,1044,7,-79,335,311
44,Волгоградская область,1978,2950,11,-972,717,816
45,Ростовская область,3269,5069,22,-1800,1314,1378
48,Республика Дагестан,3933,1301,32,2632,1269,398
49,Республика Ингушетия,583,123,6,460,139,30
50,Кабардино-Балкарская Республика,836,665,6,171,297,177
51,Карачаево-Черкесская Республика,401,346,2,55,186,116
52,Республика Северная Осетия- Алания,804,677,2,127,237,148
53,Чеченская Республика,2159,540,19,1619,493,64
54,Ставропольский край,2509,2867,18,-358,785,813
56,Республика Башкортостан,3881,4643,23,-762,1756,1282
57,Республика Марий Эл,594,835,3,-241,193,209
58,Республика Мордовия,592,962,2,-370,119,245
59,Республика Татарстан(Татарстан),3857,4186,20,-329,1477,1156
60,Удмуртская Республика,1412,1723,10,-311,521,485
61,Чувашская Республика(Чувашия),1095,1408,6,-313,236,324
62,Пермский край,2542,3271,15,-729,1163,990
63,Кировская область,1040,1793,6,-753,412,450
64,Hижегородская область,2624,4392,14,-1768,706,1191
65,Оренбургская область,1838,2408,17,-570,667,728
66,Пензенская область,989,1934,2,-945,285,414
67,Самарская область,2792,4306,13,-1514,992,1186
68,Саратовская область,1784,3137,8,-1353,657,853
69,Ульяновская область,1101,1679,5,-578,360,396
71,Курганская область,772,1223,6,-451,350,339
72,Свердловская область,4024,5346,20,-1322,2369,1722
73,Тюменская область,4263,2624,19,1639,1985,1778
74,Ханты-Мансийский авт.округ-Югра,1860,969,10,891,979,863
75,Ямало-Hенецкий авт.округ,625,205,3,420,343,287
76,Тюменская область без автономии,1778,1450,6,328,663,628
77,Челябинская область,3102,4200,18,-1098,1460,1373
79,Республика Алтай,322,217,4,105,76,78
80,Республика Бурятия,1189,1010,5,179,430,302
81,Республика Тыва,606,247,3,359,138,44
82,Республика Хакасия,477,604,2,-127,254,212
83,Алтайский край,1896,2904,10,-1008,863,825
84,Забайкальский край,1136,1214,12,-78,514,463
85,Красноярский край,2739,3177,11,-438,1561,1221
86,Иркутская область,2531,2861,28,-330,1403,950
87,Кемеровская область,2260,3566,14,-1306,1100,1035
88,Новосибирская область,2683,3306,15,-623,1237,1132
89,Омская область,1818,2232,16,-414,917,717
90,Томская область,961,1056,3,-95,447,383
92,Республика Саха (Якутия),1104,670,2,434,589,355
93,Камчатский край,250,301,0,-51,211,135
94,Приморский край,1662,2378,6,-716,1050,783
95,Хабаровский край,1301,1502,3,-201,755,585
96,Амурская область,771,991,7,-220,368,370
97,Магаданская область,95,139,1,-44,95,83
98,Сахалинская область,527,617,1,-90,273,230
99,Еврейская автономная область,134,230,3,-96,77,61
100,Чукотский авт.округ,60,60,1,0,22,22
