,region,birth,death,death_children,inc_decr,marriage,divorce
6,Белгородская область,1136,1831,3,-695,889,522
7,Брянская область,868,1635,1,-767,651,393
8,Владимирская область,1001,1988,8,-987,668,457
9,Воронежская область,1619,2954,11,-1335,1442,740
10,Ивановская область,700,1435,3,-735,470,337
11,Калужская область,849,1328,2,-479,572,361
12,Костромская область,503,828,1,-325,324,218
13,Курская область,747,1468,7,-721,662,384
14,Липецкая область,847,1466,2,-619,705,354
15,Московская область,6449,8270,32,-1821,4686,2621
16,Орловская область,508,1061,4,-553,419,239
17,Рязанская область,756,1486,1,-730,688,427
18,Смоленская область,638,1232,4,-594,436,355
19,Тамбовская область,683,1440,2,-757,544,387
20,Тверская область,904,1908,6,-1004,626,408
21,Тульская область,967,2131,1,-1164,818,470
22,Ярославская область,964,1696,4,-732,580,426
23,г.Москва,10409,10825,75,-416,7564,3644
25,Республика Карелия,506,786,1,-280,280,198
26,Республика Коми,749,769,4,-20,397,322
27,Архангельская область,879,1306,2,-427,517,399
28,Hенецкий авт.округ,37,26,0,11,21,16
29,Архангельская область без автономии,842,1280,2,-438,496,383
30,Вологодская область,993,1507,7,-514,516,400
31,Калининградская область,838,1016,1,-178,601,413
32,Ленинградская область,1099,2069,7,-970,624,644
33,Мурманская область,598,704,3,-106,449,350
34,Новгородская область,514,934,3,-420,277,217
35,Псковская область,483,1007,2,-524,295,206
36,г.Санкт-Петербург,4915,5342,22,-427,3818,2182
38,Республика Адыгея,317,450,0,-133,229,141
39,Республика Калмыкия,235,221,3,14,117,79
40,Республика Крым,1363,2210,4,-847,1084,503
41,Краснодарский край,4610,5531,26,-921,3753,2047
42,Астраханская область,836,957,6,-121,632,311
43,Волгоградская область,1678,2801,9,-1123,1371,741
44,Ростовская область,2956,4847,11,-1891,2530,1302
47,Республика Дагестан,3722,1258,30,2464,1177,378
48,Республика Ингушетия,606,135,5,471,139,43
49,Кабардино-Балкарская Республика,805,608,5,197,399,180
50,Карачаево-Черкесская Республика,364,333,5,31,206,142
51,Республика Северная Осетия- Алания,603,560,4,43,320,156
52,Чеченская Республика,2118,525,17,1593,542,80
53,Ставропольский край,2207,2543,23,-336,1487,780
55,Республика Башкортостан,3676,4343,22,-667,1842,1259
56,Республика Марий Эл,593,753,3,-160,253,182
57,Республика Мордовия,496,1062,2,-566,396,207
58,Республика Татарстан(Татарстан),3719,3964,16,-245,1798,1118
59,Удмуртская Республика,1378,1547,5,-169,598,394
60,Чувашская Республика(Чувашия),1023,1407,5,-384,483,279
61,Пермский край,2416,3014,15,-598,1312,919
62,Кировская область,1037,1677,6,-640,516,404
63,Hижегородская область,2393,4464,18,-2071,1891,1038
64,Оренбургская область,1656,2282,12,-626,1088,651
65,Пензенская область,835,1722,3,-887,638,393
66,Самарская область,2415,3559,11,-1144,1703,1143
67,Саратовская область,1713,2873,8,-1160,1141,766
68,Ульяновская область,936,1580,5,-644,639,379
70,Курганская область,685,1161,6,-476,408,317
71,Свердловская область,4084,4883,21,-799,2331,1665
72,Тюменская область,3973,2396,16,1577,2257,1594
73,Ханты-Мансийский авт.округ-Югра,1801,859,5,942,1135,755
74,Ямало-Hенецкий авт.округ,579,215,6,364,372,249
75,Тюменская область без автономии,1593,1322,5,271,750,590
76,Челябинская область,3023,3960,17,-937,1748,1299
78,Республика Алтай,285,194,3,91,109,57
79,Республика Бурятия,1091,913,8,178,500,307
80,Республика Тыва,506,249,9,257,117,51
81,Республика Хакасия,482,596,3,-114,264,171
82,Алтайский край,1785,2754,11,-969,1017,801
83,Забайкальский край,1046,1092,5,-46,621,383
84,Красноярский край,2551,2983,16,-432,1595,1163
85,Иркутская область,2397,2540,13,-143,1365,943
86,Кемеровская область,2026,3199,11,-1173,1210,980
87,Новосибирская область,2494,3064,12,-570,1441,1142
88,Омская область,1606,2062,12,-456,977,671
89,Томская область,880,1071,7,-191,508,391
91,Республика Саха (Якутия),960,621,9,339,547,304
92,Камчатский край,289,263,2,26,191,147
93,Приморский край,1501,2023,6,-522,1189,815
94,Хабаровский край,1124,1447,4,-323,770,540
95,Амурская область,620,882,2,-262,515,342
96,Магаданская область,121,152,1,-31,99,66
97,Сахалинская область,416,489,1,-73,246,225
98,Еврейская автономная область,149,189,1,-40,87,52
99,Чукотский авт.округ,57,48,1,9,32,26
