,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
6,Белгородская область,1132,1686,3,-554,354,155,2018,11
7,Брянская область,908,1347,1,-439,408,132,2018,11
8,Владимирская область,1019,1665,5,-646,394,152,2018,11
9,Воронежская область,1669,2570,7,-901,632,311,2018,11
10,Ивановская область,738,1261,1,-523,360,338,2018,11
11,Калужская область,820,1100,0,-280,239,167,2018,11
12,Костромская область,459,744,7,-285,244,226,2018,11
13,Курская область,816,1369,6,-553,283,118,2018,11
14,Липецкая область,886,1305,1,-419,247,109,2018,11
15,Московская область,5942,6992,19,-1050,2157,1087,2018,11
16,Орловская область,510,939,2,-429,260,281,2018,11
17,Рязанская область,802,1228,2,-426,130,333,2018,11
18,Смоленская область,557,1064,2,-507,248,118,2018,11
19,Тамбовская область,681,1222,0,-541,288,90,2018,11
20,Тверская область,888,1558,5,-670,360,188,2018,11
21,Тульская область,968,1920,5,-952,676,562,2018,11
22,Ярославская область,1023,1431,3,-408,236,150,2018,11
23,г.Москва,11561,9768,44,1793,2962,1804,2018,11
25,Республика Карелия,470,758,5,-288,262,245,2018,11
26,Республика Коми,679,765,3,-86,254,154,2018,11
27,Архангельская область,893,1097,5,-204,319,169,2018,11
28,Hенецкий авт.округ,32,24,0,8,11,13,2018,11
29,Архангельская область без автономии,861,1073,5,-212,308,156,2018,11
30,Вологодская область,977,1245,4,-268,240,135,2018,11
31,Калининградская область,788,934,2,-146,332,414,2018,11
32,Ленинградская область,1128,1800,7,-672,412,255,2018,11
33,Мурманская область,537,615,2,-78,329,126,2018,11
34,Новгородская область,438,766,4,-328,106,97,2018,11
35,Псковская область,461,791,2,-330,238,211,2018,11
36,г.Санкт-Петербург,5060,4245,14,815,1114,1034,2018,11
38,Республика Адыгея,418,436,0,-18,191,140,2018,11
39,Республика Калмыкия,265,225,3,40,106,47,2018,11
40,Республика Крым,1698,2170,12,-472,575,222,2018,11
41,Краснодарский край,5143,5525,25,-382,2139,678,2018,11
42,Астраханская область,976,923,8,53,444,335,2018,11
43,Волгоградская область,1871,2630,14,-759,580,216,2018,11
44,Ростовская область,3306,4529,18,-1223,1324,505,2018,11
47,Республика Дагестан,4106,1206,39,2900,1115,394,2018,11
48,Республика Ингушетия,721,127,4,594,140,33,2018,11
49,Кабардино-Балкарская Республика,901,483,4,418,434,179,2018,11
50,Карачаево-Черкесская Республика,396,354,2,42,192,122,2018,11
51,Республика Северная Осетия- Алания,729,530,1,199,248,55,2018,11
52,Чеченская Республика,2430,354,5,2076,460,22,2018,11
53,Ставропольский край,1976,2032,0,-56,476,232,2018,11
55,Республика Башкортостан,3529,3723,15,-194,1032,330,2018,11
56,Республика Марий Эл,594,655,0,-61,247,240,2018,11
57,Республика Мордовия,504,856,3,-352,313,221,2018,11
58,Республика Татарстан(Татарстан),3724,3351,15,373,1487,1063,2018,11
59,Удмуртская Республика,1316,1391,4,-75,528,517,2018,11
60,Чувашская Республика(Чувашия),1018,1142,1,-124,325,76,2018,11
61,Пермский край,2251,2476,3,-225,819,336,2018,11
62,Кировская область,876,1409,4,-533,390,171,2018,11
63,Hижегородская область,2536,3538,11,-1002,1254,1190,2018,11
64,Оренбургская область,1780,2043,7,-263,850,689,2018,11
65,Пензенская область,881,1348,7,-467,378,126,2018,11
66,Самарская область,2602,3231,23,-629,846,422,2018,11
67,Саратовская область,1821,2616,9,-795,520,191,2018,11
68,Ульяновская область,941,1301,3,-360,363,119,2018,11
70,Курганская область,671,920,5,-249,379,288,2018,11
71,Свердловская область,3738,4426,20,-688,1407,660,2018,11
72,Тюменская область,3965,2299,18,1666,939,546,2018,11
73,Ханты-Мансийский авт.округ-Югра,1769,844,5,925,437,276,2018,11
74,Ямало-Hенецкий авт.округ,586,200,2,386,175,93,2018,11
75,Тюменская область без автономии,1610,1255,11,355,327,177,2018,11
76,Челябинская область,2951,3556,10,-605,869,419,2018,11
78,Республика Алтай,247,158,2,89,61,13,2018,11
79,Республика Тыва,521,217,3,304,128,11,2018,11
80,Республика Хакасия,471,521,0,-50,151,62,2018,11
81,Алтайский край,1812,2563,7,-751,663,299,2018,11
82,Красноярский край,2553,2524,17,29,1510,1115,2018,11
83,Иркутская область,2372,2227,14,145,968,374,2018,11
84,Кемеровская область,2063,2903,11,-840,1160,972,2018,11
85,Новосибирская область,2552,2633,16,-81,690,437,2018,11
86,Омская область,1656,1897,13,-241,524,193,2018,11
87,Томская область,927,904,7,23,315,107,2018,11
89,Республика Бурятия,1096,756,6,340,333,88,2018,11
90,Республика Саха (Якутия),961,497,3,464,320,56,2018,11
91,Забайкальский край,1123,1054,8,69,481,100,2018,11
92,Камчатский край,273,268,0,5,134,76,2018,11
93,Приморский край,1568,2077,7,-509,1098,731,2018,11
94,Хабаровский край,1149,1389,5,-240,426,169,2018,11
95,Амурская область,684,853,6,-169,363,336,2018,11
96,Магаданская область,120,132,0,-12,60,16,2018,11
97,Сахалинская область,477,505,3,-28,282,200,2018,11
98,Еврейская автономная область,176,163,0,13,64,9,2018,11
99,Чукотский авт.округ,44,46,0,-2,36,18,2018,11
