,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1339,1915,10,-576,399,601
8,Брянская область,947,1666,4,-719,298,455
9,Владимирская область,1169,1804,6,-635,366,554
10,Воронежская область,1905,3087,10,-1182,598,844
11,Ивановская область,908,1345,2,-437,290,370
12,Калужская область,938,1258,2,-320,347,381
13,Костромская область,634,860,3,-226,187,280
14,Курская область,922,1714,5,-792,268,473
15,Липецкая область,1005,1494,4,-489,225,453
16,Московская область,7833,7801,28,32,2811,3248
17,Орловская область,611,1073,4,-462,221,316
18,Рязанская область,985,1510,7,-525,308,447
19,Смоленская область,768,1323,4,-555,313,400
20,Тамбовская область,767,1357,1,-590,208,362
21,Тверская область,1193,1864,6,-671,532,549
22,Тульская область,1250,2207,2,-957,438,544
23,Ярославская область,1175,1652,8,-477,429,518
24,г.Москва,11492,10139,75,1353,4490,4253
26,Республика Карелия,576,796,2,-220,269,270
27,Республика Коми,851,902,5,-51,486,425
28,Архангельская область,1117,1356,9,-239,557,483
29,Hенецкий авт.округ,60,46,0,14,22,10
30,Архангельская область без автономии,1057,1310,9,-253,535,473
31,Вологодская область,1216,1445,6,-229,462,408
32,Калининградская область,994,1095,2,-101,522,449
33,Ленинградская область,1296,2128,5,-832,668,618
34,Мурманская область,728,774,3,-46,531,430
35,Новгородская область,548,917,5,-369,254,261
36,Псковская область,561,1042,4,-481,250,250
37,г.Санкт-Петербург,5807,5302,22,505,2868,2328
39,Республика Адыгея,405,554,3,-149,140,145
40,Республика Калмыкия,257,321,3,-64,67,71
41,Республика Крым,1858,2395,10,-537,818,542
42,Краснодарский край,5791,6134,22,-343,2437,2149
43,Астраханская область,1033,1054,3,-21,339,365
44,Волгоградская область,2180,2976,12,-796,703,922
45,Ростовская область,3796,5016,23,-1220,1434,1628
48,Республика Дагестан,4389,1427,36,2962,1236,406
49,Республика Ингушетия,662,132,7,530,184,33
50,Кабардино-Балкарская Республика,908,642,6,266,276,211
51,Карачаево-Черкесская Республика,465,416,3,49,163,119
52,Республика Северная Осетия- Алания,796,747,7,49,227,184
53,Чеченская Республика,2402,586,20,1816,597,91
54,Ставропольский край,2861,2872,20,-11,821,877
56,Республика Башкортостан,4385,4302,37,83,1814,1452
57,Республика Марий Эл,723,738,2,-15,179,235
58,Республика Мордовия,616,1005,6,-389,127,235
60,Удмуртская Республика,1610,1564,6,46,577,460
62,Пермский край,2840,3147,19,-307,1293,927
63,Кировская область,1228,1634,7,-406,499,509
64,Hижегородская область,2949,4066,11,-1117,802,1266
65,Оренбургская область,1969,2406,11,-437,702,785
66,Пензенская область,1111,1759,3,-648,312,455
67,Самарская область,3015,3839,10,-824,1019,1347
68,Саратовская область,2054,3016,10,-962,652,914
69,Ульяновская область,1020,1595,4,-575,365,433
71,Курганская область,835,1114,5,-279,418,358
72,Свердловская область,4606,4992,21,-386,2255,1868
73,Тюменская область,4360,2519,30,1841,2036,1707
74,Ханты-Мансийский авт.округ-Югра,1879,885,13,994,996,819
75,Ямало-Hенецкий авт.округ,640,219,5,421,345,283
76,Тюменская область без автономии,1841,1415,12,426,695,605
77,Челябинская область,3529,4090,30,-561,1513,1453
79,Республика Алтай,287,212,5,75,97,83
80,Республика Бурятия,1311,1041,5,270,481,354
81,Республика Тыва,674,262,5,412,163,55
82,Республика Хакасия,591,609,3,-18,307,227
83,Алтайский край,2243,2925,13,-682,882,956
84,Забайкальский край,1300,1193,11,107,668,442
85,Красноярский край,3184,3279,21,-95,1726,1309
86,Иркутская область,2885,2894,26,-9,1539,1070
87,Кемеровская область,2500,3385,16,-885,1090,1098
88,Новосибирская область,3104,3180,18,-76,1512,1218
89,Омская область,2099,2332,19,-233,941,852
90,Томская область,1084,1059,3,25,507,395
92,Республика Саха (Якутия),1328,702,5,626,572,393
93,Камчатский край,341,334,3,7,237,176
94,Приморский край,1931,2343,9,-412,1064,862
95,Хабаровский край,1429,1516,13,-87,804,616
96,Амурская область,897,1006,5,-109,416,355
97,Магаданская область,137,144,0,-7,91,91
98,Сахалинская область,543,499,6,44,307,260
99,Еврейская автономная область,175,230,3,-55,104,62
100,Чукотский авт.округ,66,39,2,27,38,40
