,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1299,1751,4,-452,816,593
8,Брянская область,982,1586,3,-604,663,499
9,Владимирская область,1207,1847,8,-640,574,520
10,Воронежская область,1979,2940,9,-961,1331,856
11,Ивановская область,886,1439,4,-553,440,344
12,Калужская область,958,1232,6,-274,524,381
13,Костромская область,639,824,3,-185,303,247
14,Курская область,963,1469,3,-506,556,446
15,Липецкая область,1025,1440,4,-415,616,441
16,Московская область,7178,8093,36,-915,4423,2828
17,Орловская область,667,1004,4,-337,390,302
18,Рязанская область,805,1381,2,-576,591,401
19,Смоленская область,762,1236,3,-474,451,374
20,Тамбовская область,757,1345,0,-588,487,378
21,Тверская область,1071,1901,3,-830,690,499
22,Тульская область,1147,2178,11,-1031,704,612
23,Ярославская область,1115,1676,4,-561,623,460
24,г.Москва,11382,10479,55,903,6794,3856
26,Республика Карелия,559,775,5,-216,319,246
27,Республика Коми,900,897,2,3,416,375
28,Архангельская область,1053,1205,1,-152,554,408
29,Hенецкий авт.округ,65,24,0,41,17,9
30,Архангельская область без автономии,988,1181,1,-193,537,399
31,Вологодская область,1156,1400,6,-244,559,416
32,Калининградская область,959,1088,4,-129,605,455
33,Ленинградская область,1298,2056,6,-758,713,653
34,Мурманская область,664,740,6,-76,454,316
35,Новгородская область,510,870,2,-360,288,248
36,Псковская область,534,972,3,-438,328,239
37,г.Санкт-Петербург,5731,5180,21,551,4024,2111
39,Республика Адыгея,405,474,2,-69,248,135
40,Республика Калмыкия,248,210,1,38,130,107
41,Республика Крым,1849,2258,9,-409,1592,603
42,Краснодарский край,5871,5723,33,148,4558,2328
43,Астраханская область,1063,934,6,129,580,339
44,Волгоградская область,2240,2688,9,-448,1459,920
45,Ростовская область,3846,4769,23,-923,2623,1635
48,Республика Дагестан,4566,1290,44,3276,1382,422
49,Республика Ингушетия,798,179,2,619,187,37
50,Кабардино-Балкарская Республика,1033,617,3,416,507,220
51,Карачаево-Черкесская Республика,430,355,1,75,238,115
52,Республика Северная Осетия- Алания,738,586,3,152,337,158
53,Чеченская Республика,2868,537,24,2331,682,90
54,Ставропольский край,2971,2565,20,406,1567,876
56,Республика Башкортостан,4220,4256,34,-36,1845,1273
57,Республика Марий Эл,721,736,3,-15,304,266
58,Республика Мордовия,586,882,4,-296,337,207
59,Республика Татарстан(Татарстан),4094,3787,27,307,1750,1139
60,Удмуртская Республика,1528,1543,3,-15,641,472
61,Чувашская Республика(Чувашия),1227,1348,0,-121,501,363
62,Пермский край,2755,2934,17,-179,1300,984
63,Кировская область,1273,1639,8,-366,525,470
64,Hижегородская область,2929,4113,17,-1184,1530,1152
65,Оренбургская область,2002,2304,21,-302,1095,766
66,Пензенская область,1006,1525,5,-519,583,441
67,Самарская область,2957,3721,8,-764,1546,1209
68,Саратовская область,2089,2905,9,-816,1201,897
69,Ульяновская область,1106,1518,1,-412,526,418
71,Курганская область,816,1074,3,-258,448,372
72,Свердловская область,4781,4934,25,-153,2260,1802
73,Тюменская область,4469,2548,16,1921,2231,1623
74,Ханты-Мансийский авт.округ-Югра,1968,880,6,1088,1022,764
75,Ямало-Hенецкий авт.округ,644,223,3,421,375,283
76,Тюменская область без автономии,1857,1445,7,412,834,576
77,Челябинская область,3495,3955,29,-460,1792,1358
79,Республика Алтай,314,171,1,143,139,80
80,Республика Бурятия,1319,883,7,436,541,317
81,Республика Тыва,630,233,3,397,100,45
82,Республика Хакасия,568,563,4,5,268,238
83,Алтайский край,2195,2763,17,-568,1023,932
84,Забайкальский край,1265,1052,8,213,585,451
85,Красноярский край,3056,2922,28,134,1507,1277
86,Иркутская область,2739,2567,11,172,1490,1002
87,Кемеровская область,2333,3154,16,-821,1228,1038
88,Новосибирская область,2901,2999,19,-98,1678,1188
89,Омская область,1913,2062,9,-149,1046,679
90,Томская область,1059,1022,2,37,533,417
92,Республика Саха (Якутия),1237,671,3,566,451,351
93,Камчатский край,337,321,1,16,219,162
94,Приморский край,1886,2112,12,-226,1520,824
95,Хабаровский край,1385,1525,11,-140,768,613
96,Амурская область,848,916,1,-68,420,382
97,Магаданская область,154,133,0,21,109,77
98,Сахалинская область,552,475,2,77,314,216
99,Еврейская автономная область,175,174,1,1,103,77
100,Чукотский авт.округ,47,36,0,11,34,17
