,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1518,1925,7,-407,1566,603
8,Брянская область,1117,1505,8,-388,1230,531
9,Владимирская область,1272,1784,2,-512,1291,479
10,Воронежская область,2272,2812,13,-540,2331,872
11,Ивановская область,901,1319,6,-418,1023,399
12,Калужская область,1060,1232,6,-172,1028,378
13,Костромская область,703,781,6,-78,674,206
14,Курская область,1123,1451,6,-328,983,477
15,Липецкая область,1139,1424,6,-285,1030,512
16,Московская область,8535,7445,28,1090,7592,3067
17,Орловская область,717,1036,5,-319,784,311
18,Рязанская область,1056,1437,7,-381,1084,471
19,Смоленская область,834,1257,5,-423,970,371
20,Тамбовская область,899,1309,3,-410,931,383
21,Тверская область,1233,1796,6,-563,1291,459
22,Тульская область,1298,1969,8,-671,1392,587
23,Ярославская область,1329,1579,12,-250,1354,485
24,г.Москва,12394,9618,59,2776,11828,3849
26,Республика Карелия,591,771,4,-180,603,249
27,Республика Коми,859,837,1,22,699,330
28,Архангельская область,1159,1307,9,-148,1028,441
29,Hенецкий авт.округ,64,29,0,35,32,11
30,Архангельская область без автономии,1095,1278,9,-183,996,430
31,Вологодская область,1241,1391,6,-150,1128,426
32,Калининградская область,1089,1010,4,79,1063,481
33,Ленинградская область,1413,1901,2,-488,1115,637
34,Мурманская область,687,662,2,25,549,320
35,Новгородская область,596,829,0,-233,629,244
36,Псковская область,597,917,3,-320,661,257
37,г.Санкт-Петербург,6401,4930,22,1471,7576,2124
39,Республика Адыгея,485,485,4,0,293,160
40,Республика Калмыкия,332,218,1,114,208,107
41,Республика Крым,2133,2604,12,-471,1680,709
42,Краснодарский край,6676,6193,20,483,4919,2216
43,Астраханская область,1157,988,8,169,842,372
44,Волгоградская область,2572,2947,10,-375,2158,974
45,Ростовская область,4435,5101,25,-666,3578,1706
48,Республика Дагестан,4759,1307,24,3452,2012,415
49,Республика Ингушетия,839,129,6,710,210,30
50,Кабардино-Балкарская Республика,1095,623,4,472,555,201
51,Карачаево-Черкесская Республика,488,347,5,141,290,115
52,Республика Северная Осетия- Алания,902,619,8,283,392,170
53,Чеченская Республика,2862,564,21,2298,734,88
54,Ставропольский край,3132,2675,12,457,2099,911
56,Республика Башкортостан,4678,4286,20,392,3972,1470
57,Республика Марий Эл,791,680,4,111,578,218
58,Республика Мордовия,662,898,3,-236,669,258
59,Республика Татарстан(Татарстан),4380,3569,14,811,4325,1136
60,Удмуртская Республика,1717,1466,7,251,1374,479
61,Чувашская Республика(Чувашия),1323,1290,6,33,1056,356
62,Пермский край,3031,2647,14,384,2492,1024
63,Кировская область,1299,1450,3,-151,1079,456
64,Hижегородская область,3403,3866,20,-463,3414,1307
65,Оренбургская область,2255,2257,15,-2,1873,792
66,Пензенская область,1195,1541,3,-346,1120,490
67,Самарская область,3380,3646,12,-266,3280,1209
68,Саратовская область,2371,2842,7,-471,2333,906
69,Ульяновская область,1273,1484,4,-211,1237,439
71,Курганская область,900,1108,3,-208,770,351
72,Свердловская область,4962,4669,17,293,4224,1764
73,Тюменская область,4937,2412,26,2525,3604,1569
74,Ханты-Мансийский авт.округ-Югра,2138,862,12,1276,1546,773
75,Ямало-Hенецкий авт.округ,713,213,5,500,378,207
76,Тюменская область без автономии,2086,1337,9,749,1680,589
77,Челябинская область,3784,3778,18,6,3413,1478
79,Республика Алтай,323,179,3,144,223,95
80,Республика Бурятия,1284,898,10,386,786,303
81,Республика Тыва,635,263,10,372,255,49
82,Республика Хакасия,572,560,4,12,533,224
83,Алтайский край,2457,2858,16,-401,2166,1004
84,Забайкальский край,1302,1074,13,228,915,445
85,Красноярский край,3420,2862,23,558,2743,1292
86,Иркутская область,2952,2647,20,305,2550,1123
87,Кемеровская область,2869,3268,20,-399,2331,1110
88,Новосибирская область,3247,3024,13,223,2893,1215
89,Омская область,2135,2130,13,5,1921,778
90,Томская область,1254,918,4,336,1151,373
92,Республика Саха (Якутия),1275,669,1,606,794,344
93,Камчатский край,368,306,2,62,288,136
94,Приморский край,2071,2160,12,-89,1826,808
95,Хабаровский край,1563,1418,6,145,1225,608
96,Амурская область,855,813,2,42,769,346
97,Магаданская область,152,133,0,19,110,76
98,Сахалинская область,583,539,4,44,480,215
99,Еврейская автономная область,152,180,2,-28,124,76
100,Чукотский авт.округ,46,36,1,10,30,19
