,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
7,Белгородская область,1314,1694,4,-380,1316,549,2017,06
8,Брянская область,992,1468,10,-476,944,416,2017,06
9,Владимирская область,1202,1778,9,-576,1010,495,2017,06
10,Воронежская область,1901,2719,5,-818,1769,744,2017,06
11,Ивановская область,844,1382,2,-538,695,349,2017,06
12,Калужская область,956,1236,5,-280,783,452,2017,06
13,Костромская область,615,791,4,-176,544,238,2017,06
14,Курская область,883,1416,5,-533,841,407,2017,06
15,Липецкая область,1042,1353,2,-311,877,409,2017,06
16,Московская область,7894,7437,28,457,6436,2971,2017,06
17,Орловская область,622,934,3,-312,614,270,2017,06
18,Рязанская область,1024,1437,3,-413,839,432,2017,06
19,Смоленская область,766,1232,3,-466,729,380,2017,06
20,Тамбовская область,788,1324,2,-536,690,374,2017,06
21,Тверская область,1143,1787,13,-644,989,486,2017,06
22,Тульская область,1176,1972,9,-796,1208,454,2017,06
23,Ярославская область,1175,1657,9,-482,970,372,2017,06
24,г.Москва,11431,9300,69,2131,10614,3552,2017,06
26,Республика Карелия,577,767,5,-190,463,224,2017,06
27,Республика Коми,824,812,4,12,679,329,2017,06
28,Архангельская область,1059,1251,3,-192,925,429,2017,06
29,Hенецкий авт.округ,46,32,0,14,30,13,2017,06
30,Архангельская область без автономии,1013,1219,3,-206,895,416,2017,06
31,Вологодская область,1126,1479,17,-353,902,400,2017,06
32,Калининградская область,849,987,5,-138,847,408,2017,06
33,Ленинградская область,1232,2008,8,-776,982,601,2017,06
34,Мурманская область,684,689,0,-5,570,300,2017,06
35,Новгородская область,539,897,4,-358,450,234,2017,06
36,Псковская область,532,927,1,-395,438,240,2017,06
37,г.Санкт-Петербург,5749,4895,21,854,6050,1922,2017,06
39,Республика Адыгея,403,456,2,-53,264,139,2017,06
40,Республика Калмыкия,239,213,0,26,131,65,2017,06
41,Республика Крым,1663,2289,10,-626,1296,516,2017,06
42,Краснодарский край,5429,5739,20,-310,4690,2128,2017,06
43,Астраханская область,1006,887,6,119,514,390,2017,06
44,Волгоградская область,2112,2726,14,-614,1630,917,2017,06
45,Ростовская область,3734,4623,25,-889,3118,1480,2017,06
48,Республика Дагестан,3748,1131,21,2617,1001,394,2017,06
49,Республика Ингушетия,473,100,6,373,112,27,2017,06
50,Кабардино-Балкарская Республика,887,501,6,386,238,237,2017,06
51,Карачаево-Черкесская Республика,426,335,1,91,181,144,2017,06
52,Республика Северная Осетия- Алания,728,598,6,130,273,134,2017,06
53,Чеченская Республика,1827,420,23,1407,335,87,2017,06
54,Ставропольский край,2580,2432,22,148,1703,814,2017,06
56,Республика Башкортостан,3955,4059,22,-104,2944,1278,2017,06
57,Республика Марий Эл,719,690,4,29,437,184,2017,06
58,Республика Мордовия,657,975,3,-318,463,249,2017,06
59,Республика Татарстан(Татарстан),4196,3612,19,584,2511,1146,2017,06
60,Удмуртская Республика,1511,1437,8,74,1117,425,2017,06
61,Чувашская Республика(Чувашия),1238,1309,4,-71,719,299,2017,06
62,Пермский край,2764,2957,9,-193,2158,904,2017,06
63,Кировская область,1187,1510,5,-323,821,452,2017,06
64,Hижегородская область,2895,4009,14,-1114,2409,1103,2017,06
65,Оренбургская область,1867,2204,12,-337,1401,708,2017,06
66,Пензенская область,1039,1475,5,-436,855,395,2017,06
67,Самарская область,2969,3670,18,-701,2578,1040,2017,06
68,Саратовская область,1894,2783,13,-889,1579,830,2017,06
69,Ульяновская область,1084,1427,7,-343,838,417,2017,06
71,Курганская область,809,1044,3,-235,613,320,2017,06
72,Свердловская область,4382,4734,23,-352,3832,1584,2017,06
73,Тюменская область,4349,2312,22,2037,3333,1591,2017,06
74,Ханты-Мансийский авт.округ-Югра,1956,844,10,1112,1611,779,2017,06
75,Ямало-Hенецкий авт.округ,621,202,1,419,432,241,2017,06
76,Тюменская область без автономии,1772,1266,11,506,1290,571,2017,06
77,Челябинская область,3437,3824,16,-387,2661,1313,2017,06
79,Республика Алтай,307,172,2,135,127,65,2017,06
80,Республика Бурятия,1191,887,6,304,678,283,2017,06
81,Республика Тыва,577,221,4,356,205,53,2017,06
82,Республика Хакасия,582,573,6,9,457,215,2017,06
83,Алтайский край,2215,2813,12,-598,1682,879,2017,06
84,Забайкальский край,1227,1068,8,159,913,419,2017,06
85,Красноярский край,3102,2971,17,131,2518,1065,2017,06
86,Иркутская область,2765,2605,23,160,2064,955,2017,06
87,Кемеровская область,2406,3089,17,-683,1962,985,2017,06
88,Новосибирская область,2965,3073,12,-108,2541,1041,2017,06
89,Омская область,1892,2137,12,-245,1486,723,2017,06
90,Томская область,1088,1065,5,23,948,387,2017,06
92,Республика Саха (Якутия),1173,661,2,512,710,313,2017,06
93,Камчатский край,280,283,3,-3,274,145,2017,06
94,Приморский край,1587,2050,9,-463,1506,763,2017,06
95,Хабаровский край,1247,1411,9,-164,1123,561,2017,06
96,Амурская область,778,856,2,-78,616,321,2017,06
97,Магаданская область,150,132,2,18,125,61,2017,06
98,Сахалинская область,519,466,5,53,376,210,2017,06
99,Еврейская автономная область,158,196,0,-38,135,67,2017,06
100,Чукотский авт.округ,68,48,0,20,45,23,2017,06
