,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
8,Белгородская область,1260,1744,13,-484,679,577,2017,11
9,Брянская область,994,1491,9,-497,631,486,2017,11
10,Владимирская область,1040,1690,9,-650,543,507,2017,11
11,Воронежская область,1861,2655,12,-794,1197,860,2017,11
12,Ивановская область,828,1301,2,-473,421,373,2017,11
13,Калужская область,855,1205,3,-350,487,370,2017,11
14,Костромская область,585,764,4,-179,308,232,2017,11
15,Курская область,858,1417,3,-559,538,414,2017,11
16,Липецкая область,869,1356,4,-487,567,393,2017,11
17,Московская область,7372,7445,37,-73,4023,3054,2017,11
18,Орловская область,612,952,4,-340,320,283,2017,11
19,Рязанская область,961,1380,4,-419,568,490,2017,11
20,Смоленская область,701,1146,3,-445,429,370,2017,11
21,Тамбовская область,725,1251,2,-526,454,351,2017,11
22,Тверская область,1048,1751,1,-703,612,490,2017,11
23,Тульская область,1102,1961,10,-859,647,506,2017,11
24,Ярославская область,1114,1578,5,-464,528,459,2017,11
25,г.Москва,10939,9637,57,1302,5615,3842,2017,11
27,Республика Карелия,485,723,5,-238,335,248,2017,11
28,Республика Коми,786,777,2,9,400,326,2017,11
29,Архангельская область,1002,1155,8,-153,502,405,2017,11
30,Hенецкий авт.округ,45,27,1,18,15,12,2017,11
31,Архангельская область без автономии,957,1128,7,-171,487,393,2017,11
32,Вологодская область,1054,1308,2,-254,506,396,2017,11
33,Калининградская область,898,987,3,-89,487,447,2017,11
34,Ленинградская область,1239,1834,8,-595,633,694,2017,11
35,Мурманская область,618,638,1,-20,454,370,2017,11
36,Новгородская область,495,859,5,-364,289,265,2017,11
37,Псковская область,505,891,3,-386,283,245,2017,11
38,г.Санкт-Петербург,5186,4893,22,293,3256,2196,2017,11
40,Республика Адыгея,401,486,4,-85,189,151,2017,11
41,Республика Калмыкия,260,192,1,68,102,72,2017,11
42,Республика Крым,1807,2209,4,-402,1109,593,2017,11
43,Краснодарский край,5580,5467,37,113,3260,2210,2017,11
44,Астраханская область,1036,898,5,138,505,360,2017,11
45,Волгоградская область,2074,2669,8,-595,1049,930,2017,11
46,Ростовская область,3617,4524,21,-907,1954,1573,2017,11
49,Республика Дагестан,4585,1405,39,3180,1461,386,2017,11
50,Республика Ингушетия,674,119,2,555,137,33,2017,11
51,Кабардино-Балкарская Республика,922,658,5,264,444,231,2017,11
52,Карачаево-Черкесская Республика,423,376,1,47,189,110,2017,11
53,Республика Северная Осетия- Алания,737,616,4,121,278,150,2017,11
54,Чеченская Республика,2557,548,25,2009,627,84,2017,11
55,Ставропольский край,2677,2578,24,99,1228,895,2017,11
57,Республика Башкортостан,4057,4001,21,56,1681,1431,2017,11
58,Республика Марий Эл,627,690,3,-63,292,191,2017,11
59,Республика Мордовия,567,865,2,-298,340,234,2017,11
60,Республика Татарстан(Татарстан),3971,3349,24,622,1635,1176,2017,11
61,Удмуртская Республика,1430,1517,16,-87,652,439,2017,11
62,Чувашская Республика(Чувашия),1109,1218,0,-109,455,314,2017,11
63,Пермский край,2435,2653,16,-218,1415,955,2017,11
64,Кировская область,1031,1350,7,-319,509,465,2017,11
65,Hижегородская область,2751,3886,19,-1135,1576,1161,2017,11
66,Оренбургская область,1811,2074,14,-263,939,781,2017,11
67,Пензенская область,885,1547,5,-662,531,481,2017,11
68,Самарская область,2795,3507,17,-712,1366,1152,2017,11
69,Саратовская область,2080,2658,8,-578,960,895,2017,11
70,Ульяновская область,1034,1367,5,-333,549,386,2017,11
72,Курганская область,758,990,4,-232,404,352,2017,11
73,Свердловская область,4363,4405,24,-42,2226,1731,2017,11
74,Тюменская область,4351,2264,21,2087,2177,1622,2017,11
75,Ханты-Мансийский авт.округ-Югра,1943,837,10,1106,1006,747,2017,11
76,Ямало-Hенецкий авт.округ,635,214,4,421,363,235,2017,11
77,Тюменская область без автономии,1773,1213,7,560,808,640,2017,11
78,Челябинская область,3329,3464,25,-135,1662,1403,2017,11
80,Республика Алтай,269,168,4,101,119,74,2017,11
81,Республика Бурятия,1126,801,5,325,455,291,2017,11
82,Республика Тыва,527,211,6,316,179,64,2017,11
83,Республика Хакасия,508,523,3,-15,249,195,2017,11
84,Алтайский край,2058,2646,14,-588,942,903,2017,11
85,Забайкальский край,1227,1025,7,202,602,453,2017,11
86,Красноярский край,2791,2884,15,-93,1597,1204,2017,11
87,Иркутская область,2552,2498,18,54,1386,974,2017,11
88,Кемеровская область,2275,3042,22,-767,1169,1017,2017,11
89,Новосибирская область,2713,2762,12,-49,1431,1102,2017,11
90,Омская область,1760,1945,16,-185,963,796,2017,11
91,Томская область,1020,1001,8,19,489,381,2017,11
93,Республика Саха (Якутия),1158,668,12,490,507,339,2017,11
94,Камчатский край,315,238,2,77,224,168,2017,11
95,Приморский край,1776,2065,10,-289,1132,854,2017,11
96,Хабаровский край,1326,1349,6,-23,656,554,2017,11
97,Амурская область,723,817,3,-94,436,320,2017,11
98,Магаданская область,137,146,1,-9,105,74,2017,11
99,Сахалинская область,505,472,3,33,320,235,2017,11
100,Еврейская автономная область,167,165,3,2,99,67,2017,11
101,Чукотский авт.округ,41,33,0,8,35,34,2017,11
