,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1239,1512,3,-273,1510,587
8,Брянская область,876,1369,2,-493,1054,471
9,Владимирская область,1087,1749,4,-662,1130,450
10,Воронежская область,1855,2591,14,-736,2308,811
11,Ивановская область,811,1238,1,-427,835,306
12,Калужская область,870,1178,2,-308,899,369
13,Костромская область,561,725,5,-164,494,242
14,Курская область,916,1290,3,-374,1055,417
15,Липецкая область,1025,1281,5,-256,1127,430
16,Московская область,7366,7472,31,-106,6623,2842
17,Орловская область,518,890,4,-372,692,251
18,Рязанская область,919,1288,3,-369,1058,419
19,Смоленская область,659,1175,8,-516,738,350
20,Тамбовская область,687,1173,3,-486,881,346
21,Тверская область,948,1647,5,-699,1033,462
22,Тульская область,1093,1999,5,-906,1192,534
23,Ярославская область,1042,1517,9,-475,1008,412
24,г.Москва,10854,9410,64,1444,11185,3663
26,Республика Карелия,515,734,5,-219,452,220
27,Республика Коми,794,737,7,57,588,305
28,Архангельская область,1026,1163,9,-137,842,403
29,Hенецкий авт.округ,65,26,1,39,22,6
30,Архангельская область без автономии,961,1137,8,-176,820,397
31,Вологодская область,1002,1346,7,-344,934,388
32,Калининградская область,978,998,7,-20,931,378
33,Ленинградская область,1140,1954,6,-814,932,555
34,Мурманская область,646,690,3,-44,558,342
35,Новгородская область,521,860,1,-339,497,228
36,Псковская область,461,858,3,-397,462,215
37,г.Санкт-Петербург,5132,5079,18,53,6538,1831
39,Республика Адыгея,391,401,2,-10,364,136
40,Республика Калмыкия,263,215,3,48,208,85
41,Республика Крым,1762,2049,9,-287,2103,569
42,Краснодарский край,6120,5362,23,758,6398,2076
43,Астраханская область,1177,815,3,362,961,356
44,Волгоградская область,2059,2364,7,-305,2423,818
45,Ростовская область,3756,4147,34,-391,4388,1557
48,Республика Дагестан,4600,1145,38,3455,1430,396
49,Республика Ингушетия,696,125,4,571,192,37
50,Кабардино-Балкарская Республика,875,472,2,403,575,189
51,Карачаево-Черкесская Республика,429,328,3,101,250,111
52,Республика Северная Осетия- Алания,795,535,4,260,382,144
53,Чеченская Республика,2619,404,17,2215,608,71
54,Ставропольский край,2824,2341,25,483,2297,910
56,Республика Башкортостан,4003,3798,14,205,2998,1252
57,Республика Марий Эл,649,635,2,14,449,179
58,Республика Мордовия,565,808,3,-243,607,240
59,Республика Татарстан(Татарстан),4231,3409,12,822,3200,1140
60,Удмуртская Республика,1430,1359,4,71,1050,402
61,Чувашская Республика(Чувашия),1139,1219,3,-80,943,284
62,Пермский край,2610,2860,19,-250,1976,936
63,Кировская область,1198,1477,4,-279,806,404
64,Hижегородская область,2804,3735,18,-931,2751,1061
65,Оренбургская область,1898,2023,23,-125,1593,713
66,Пензенская область,998,1425,2,-427,1114,454
67,Самарская область,3009,3438,9,-429,2889,1173
68,Саратовская область,1935,2514,13,-579,2058,832
69,Ульяновская область,1040,1318,3,-278,989,396
71,Курганская область,759,997,5,-238,583,375
72,Свердловская область,4140,4481,31,-341,3630,1540
73,Тюменская область,4386,2279,22,2107,3047,1391
74,Ханты-Мансийский авт.округ-Югра,1985,837,7,1148,1372,670
75,Ямало-Hенецкий авт.округ,598,200,5,398,405,199
76,Тюменская область без автономии,1803,1242,10,561,1270,522
77,Челябинская область,3230,3538,31,-308,2985,1323
79,Республика Алтай,277,160,4,117,204,93
80,Республика Бурятия,1215,798,7,417,540,288
81,Республика Тыва,565,217,2,348,194,33
82,Республика Хакасия,569,527,4,42,418,200
83,Алтайский край,2124,2483,15,-359,1776,869
84,Забайкальский край,1240,939,1,301,787,418
85,Красноярский край,2885,2909,10,-24,2418,1044
86,Иркутская область,2575,2433,19,142,1969,924
87,Кемеровская область,2393,3067,11,-674,2054,964
88,Новосибирская область,2868,2791,17,77,2552,1026
89,Омская область,1888,2003,12,-115,1560,703
90,Томская область,1000,1031,6,-31,882,348
92,Республика Саха (Якутия),1070,634,7,436,674,288
93,Камчатский край,292,300,1,-8,338,137
94,Приморский край,1716,1946,12,-230,2179,708
95,Хабаровский край,1321,1402,4,-81,1301,575
96,Амурская область,763,822,3,-59,676,346
97,Магаданская область,109,126,1,-17,111,56
98,Сахалинская область,569,485,1,84,462,214
99,Еврейская автономная область,164,151,0,13,142,54
100,Чукотский авт.округ,63,41,1,22,31,17
