,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
5,Российская Федерация,136544,179410,792,-42866,50940,47349,2017,01
6,Центральный федеральный округ,32304,49980,161,-17676,13495,12251,2017,01
7,Белгородская область,1243,1986,12,-743,564,541,2017,01
8,Брянская область,939,1901,11,-962,376,426,2017,01
9,Владимирская область,1135,2166,8,-1031,425,459,2017,01
10,Воронежская область,1768,3348,7,-1580,817,785,2017,01
11,Ивановская область,771,1569,2,-798,298,290,2017,01
12,Калужская область,905,1439,8,-534,360,331,2017,01
13,Костромская область,525,972,3,-447,206,207,2017,01
14,Курская область,867,1637,6,-770,421,357,2017,01
15,Липецкая область,949,1653,2,-704,430,352,2017,01
16,Московская область,6697,8869,31,-2172,2806,2451,2017,01
17,Орловская область,544,1136,1,-592,263,254,2017,01
18,Рязанская область,880,1789,1,-909,433,352,2017,01
19,Смоленская область,646,1533,2,-887,286,327,2017,01
20,Тамбовская область,764,1574,1,-810,337,310,2017,01
21,Тверская область,978,2215,3,-1237,459,442,2017,01
23,Ярославская область,1119,1902,3,-783,403,402,2017,01
24,г.Москва,10429,11858,54,-1429,4112,3461,2017,01
25,Северо-Западный федеральный округ,12366,17828,50,-5462,5317,5097,2017,01
26,Республика Карелия,512,919,2,-407,215,210,2017,01
27,Республика Коми,844,1043,6,-199,315,363,2017,01
28,Архангельская область,958,1667,3,-709,415,416,2017,01
29,Hенецкий авт.округ,53,43,1,10,11,17,2017,01
30,Архангельская область без автономии,905,1624,2,-719,404,399,2017,01
31,Вологодская область,1070,1694,4,-624,360,351,2017,01
32,Калининградская область,895,1235,3,-340,378,405,2017,01
33,Ленинградская область,1194,2309,9,-1115,534,626,2017,01
34,Мурманская область,640,795,3,-155,336,286,2017,01
35,Новгородская область,435,1022,0,-587,259,218,2017,01
36,Псковская область,494,1111,1,-617,191,206,2017,01
37,г.Санкт-Петербург,5324,6033,19,-709,2314,2016,2017,01
38,Южный федеральный округ,14752,21347,83,-6595,5311,5431,2017,01
39,Республика Адыгея,406,589,5,-183,104,119,2017,01
40,Республика Калмыкия,240,294,1,-54,61,84,2017,01
41,Республика Крым,1675,2859,13,-1184,670,415,2017,01
42,Краснодарский край,5514,7141,20,-1627,1900,2026,2017,01
43,Астраханская область,1077,1209,3,-132,304,320,2017,01
44,Волгоградская область,2055,3272,6,-1217,761,815,2017,01
45,Ростовская область,3406,5397,33,-1991,1313,1486,2017,01
47,Северо-Кавказский федеральный округ,12087,7139,106,4948,3342,1728,2017,01
48,Республика Дагестан,4178,1316,40,2862,1049,375,2017,01
49,Республика Ингушетия,681,99,5,582,144,26,2017,01
50,Кабардино-Балкарская Республика,918,776,3,142,311,195,2017,01
51,Карачаево-Черкесская Республика,419,447,4,-28,158,122,2017,01
52,Республика Северная Осетия- Алания,740,693,2,47,201,116,2017,01
53,Чеченская Республика,2503,662,28,1841,607,78,2017,01
54,Ставропольский край,2648,3146,24,-498,872,816,2017,01
55,Приволжский федеральный округ,26737,38133,155,-11396,9583,8978,2017,01
56,Республика Башкортостан,3991,5079,14,-1088,1362,1214,2017,01
57,Республика Марий Эл,655,817,3,-162,203,203,2017,01
58,Республика Мордовия,589,1030,3,-441,255,187,2017,01
59,Республика Татарстан(Татарстан),3674,4427,24,-753,1351,1110,2017,01
60,Удмуртская Республика,1548,1919,11,-371,479,405,2017,01
61,Чувашская Республика(Чувашия),1113,1481,3,-368,350,318,2017,01
62,Пермский край,2640,3496,16,-856,968,870,2017,01
63,Кировская область,1135,1920,6,-785,307,443,2017,01
64,Hижегородская область,2792,4467,16,-1675,1123,1018,2017,01
65,Оренбургская область,1980,2494,14,-514,697,653,2017,01
66,Пензенская область,976,1856,5,-880,392,397,2017,01
67,Самарская область,2744,4061,16,-1317,1015,1031,2017,01
68,Саратовская область,1869,3299,16,-1430,692,762,2017,01
69,Ульяновская область,1031,1787,8,-756,389,367,2017,01
70,Уральский федеральный округ,13148,14649,64,-1501,4501,4581,2017,01
71,Курганская область,818,1305,4,-487,302,297,2017,01
72,Свердловская область,4586,6022,30,-1436,1518,1575,2017,01
73,Тюменская область,4332,2870,11,1462,1467,1505,2017,01
74,Ханты-Мансийский авт.округ-Югра,1964,1022,2,942,691,716,2017,01
75,Ямало-Hенецкий авт.округ,632,286,5,346,240,254,2017,01
76,Тюменская область без автономии,1736,1562,4,174,536,535,2017,01
77,Челябинская область,3412,4452,19,-1040,1214,1204,2017,01
78,Сибирский федеральный округ,19015,23276,121,-4261,6978,6839,2017,01
79,Республика Алтай,256,193,1,63,69,50,2017,01
80,Республика Бурятия,1202,992,8,210,311,271,2017,01
81,Республика Тыва,600,278,10,322,115,39,2017,01
82,Республика Хакасия,522,634,3,-112,227,195,2017,01
83,Алтайский край,2009,3163,18,-1154,692,802,2017,01
84,Забайкальский край,1145,1219,6,-74,496,383,2017,01
85,Красноярский край,2882,3323,14,-441,1151,1070,2017,01
86,Иркутская область,2595,2920,21,-325,1107,955,2017,01
87,Кемеровская область,2283,3582,12,-1299,838,937,2017,01
88,Новосибирская область,2798,3315,14,-517,953,1119,2017,01
89,Омская область,1852,2441,10,-589,669,630,2017,01
90,Томская область,871,1216,4,-345,350,388,2017,01
91,Дальневосточный федеральный округ,6135,7058,52,-923,2413,2444,2017,01
92,Республика Саха (Якутия),1107,705,11,402,325,304,2017,01
93,Камчатский край,317,311,0,6,161,140,2017,01
94,Приморский край,1723,2312,19,-589,720,763,2017,01
95,Хабаровский край,1330,1716,12,-386,522,514,2017,01
96,Амурская область,778,1064,5,-286,315,305,2017,01
97,Магаданская область,126,130,0,-4,73,74,2017,01
98,Сахалинская область,531,554,2,-23,210,250,2017,01
99,Еврейская автономная область,167,227,3,-60,64,57,2017,01
100,Чукотский авт.округ,56,39,0,17,23,37,2017,01
