,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
7,Белгородская область,1322,1612,4,-290,1820,573,2017,07
8,Брянская область,1064,1449,12,-385,1399,458,2017,07
9,Владимирская область,1198,1737,8,-539,1674,466,2017,07
10,Воронежская область,1976,2644,8,-668,2688,737,2017,07
11,Ивановская область,890,1272,3,-382,1096,336,2017,07
12,Калужская область,959,1178,2,-219,1253,375,2017,07
13,Костромская область,614,771,5,-157,646,233,2017,07
14,Курская область,939,1331,6,-392,1212,417,2017,07
15,Липецкая область,1052,1331,3,-279,1278,413,2017,07
16,Московская область,8034,7420,22,614,8724,2868,2017,07
17,Орловская область,653,900,5,-247,902,287,2017,07
18,Рязанская область,931,1323,4,-392,1349,384,2017,07
19,Смоленская область,797,1178,2,-381,1034,366,2017,07
20,Тамбовская область,796,1202,2,-406,1068,356,2017,07
21,Тверская область,1137,1733,3,-596,1369,476,2017,07
22,Тульская область,1138,1887,9,-749,1753,486,2017,07
23,Ярославская область,1145,1594,6,-449,1432,449,2017,07
24,г.Москва,12203,9658,64,2545,12228,3578,2017,07
26,Республика Карелия,586,701,3,-115,655,221,2017,07
27,Республика Коми,842,777,3,65,821,310,2017,07
28,Архангельская область,1048,1139,7,-91,1239,357,2017,07
29,Hенецкий авт.округ,59,23,0,36,29,4,2017,07
30,Архангельская область без автономии,989,1116,7,-127,1210,353,2017,07
31,Вологодская область,1234,1381,14,-147,1145,420,2017,07
32,Калининградская область,895,924,3,-29,1111,428,2017,07
33,Ленинградская область,1335,1900,3,-565,1245,632,2017,07
34,Мурманская область,637,664,5,-27,648,284,2017,07
35,Новгородская область,613,836,6,-223,688,245,2017,07
36,Псковская область,490,797,1,-307,696,249,2017,07
37,г.Санкт-Петербург,6125,4705,13,1420,7184,2092,2017,07
39,Республика Адыгея,395,440,3,-45,298,155,2017,07
40,Республика Калмыкия,247,204,1,43,136,74,2017,07
41,Республика Крым,1840,1914,10,-74,1591,597,2017,07
42,Краснодарский край,5827,5339,23,488,5010,1994,2017,07
43,Астраханская область,981,931,5,50,780,347,2017,07
44,Волгоградская область,2239,2665,9,-426,2161,837,2017,07
45,Ростовская область,3718,4580,29,-862,3617,1439,2017,07
48,Республика Дагестан,4153,1206,37,2947,1533,363,2017,07
49,Республика Ингушетия,781,96,6,685,179,32,2017,07
50,Кабардино-Балкарская Республика,1018,656,3,362,544,225,2017,07
51,Карачаево-Черкесская Республика,436,329,2,107,262,95,2017,07
52,Республика Северная Осетия- Алания,792,549,2,243,379,153,2017,07
53,Чеченская Республика,3286,642,29,2644,710,100,2017,07
54,Ставропольский край,2744,2470,21,274,2034,869,2017,07
56,Республика Башкортостан,4200,4051,36,149,4450,1221,2017,07
57,Республика Марий Эл,733,718,5,15,613,212,2017,07
58,Республика Мордовия,610,846,5,-236,753,196,2017,07
59,Республика Татарстан(Татарстан),4145,3615,22,530,4366,1173,2017,07
60,Удмуртская Республика,1499,1456,11,43,1502,459,2017,07
61,Чувашская Республика(Чувашия),1276,1250,6,26,1174,297,2017,07
62,Пермский край,2930,2737,9,193,2984,925,2017,07
63,Кировская область,1209,1489,3,-280,1104,438,2017,07
64,Hижегородская область,3069,3785,15,-716,3975,1120,2017,07
65,Оренбургская область,1990,2111,18,-121,2074,706,2017,07
66,Пензенская область,1069,1423,3,-354,1269,462,2017,07
67,Самарская область,2920,3378,8,-458,3702,1125,2017,07
68,Саратовская область,1945,2567,1,-622,2392,823,2017,07
69,Ульяновская область,1054,1327,3,-273,1341,392,2017,07
71,Курганская область,821,981,2,-160,756,351,2017,07
72,Свердловская область,4709,4707,18,2,5032,1720,2017,07
73,Тюменская область,4601,2242,16,2359,4071,1559,2017,07
74,Ханты-Мансийский авт.округ-Югра,2116,814,9,1302,1913,715,2017,07
75,Ямало-Hенецкий авт.округ,573,209,2,364,538,203,2017,07
76,Тюменская область без автономии,1912,1219,5,693,1620,641,2017,07
77,Челябинская область,3343,3451,13,-108,3989,1387,2017,07
79,Республика Алтай,275,167,4,108,247,78,2017,07
80,Республика Бурятия,1239,842,8,397,890,288,2017,07
81,Республика Тыва,572,263,6,309,330,47,2017,07
82,Республика Хакасия,583,512,2,71,595,203,2017,07
83,Алтайский край,2115,2386,19,-271,2405,911,2017,07
84,Забайкальский край,1223,1007,3,216,1001,429,2017,07
85,Красноярский край,3082,2772,20,310,3387,1176,2017,07
86,Иркутская область,2731,2425,23,306,2933,996,2017,07
87,Кемеровская область,2389,2766,14,-377,2725,983,2017,07
88,Новосибирская область,3058,2818,21,240,2879,1074,2017,07
89,Омская область,1943,1988,16,-45,1950,747,2017,07
90,Томская область,1139,982,8,157,1369,395,2017,07
92,Республика Саха (Якутия),1194,598,4,596,830,363,2017,07
93,Камчатский край,319,236,2,83,263,139,2017,07
94,Приморский край,1752,1971,14,-219,1946,672,2017,07
95,Хабаровский край,1386,1380,5,6,1283,583,2017,07
96,Амурская область,835,846,3,-11,827,337,2017,07
97,Магаданская область,133,133,0,0,123,61,2017,07
98,Сахалинская область,537,479,2,58,516,224,2017,07
99,Еврейская автономная область,165,175,3,-10,149,72,2017,07
100,Чукотский авт.округ,53,40,0,13,35,24,2017,07
